 z  paib bScale paiv vScale 
  0 0.244 5.658 0.117 3.603
  1 0.244 19.631 0.117 4.604
  2 0.244 21.648 0.098 6.621
  3 0.240 23.328 0.085 8.760
  4 0.233 23.818 0.074 10.839
  5 0.230 23.610 0.064 12.960
  6 0.229 23.585 0.054 16.342
  7 0.228 23.692 0.045 18.827
  8 0.227 23.698 0.036 21.851
  9 0.226 23.727 0.029 26.102
 10 0.224 24.359 0.022 32.500
 11 0.182 83.498 0.016 41.571
 12 0.127 208.062 0.011 48.299
 13 0.069 202.220 0.007 44.832
 14 0.014 160.582 0.004 49.057
 15 0.001 16.545 0.002 57.600
 16 0.000 7.429 0.001 60.615
