Wd Paved Buildings EvergreenTrees DecidiousTrees Grass Baresoil Water
  0 0.208 0.030 0.100 0.541 0.120 0.000 0.000
  5 0.177 0.040 0.107 0.535 0.140 0.000 0.000
 10 0.166 0.129 0.030 0.446 0.230 0.000 0.000
 15 0.182 0.143 0.010 0.564 0.102 0.000 0.000
 20 0.388 0.104 0.012 0.418 0.078 0.000 0.000
 25 0.387 0.096 0.011 0.433 0.073 0.000 0.000
 30 0.329 0.131 0.017 0.375 0.148 0.000 0.000
 35 0.337 0.160 0.019 0.374 0.109 0.000 0.000
 40 0.391 0.177 0.021 0.272 0.139 0.000 0.000
 45 0.420 0.098 0.021 0.288 0.173 0.000 0.000
 50 0.299 0.135 0.039 0.374 0.154 0.000 0.000
 55 0.267 0.103 0.062 0.358 0.210 0.000 0.000
 60 0.303 0.196 0.122 0.283 0.096 0.000 0.000
 65 0.214 0.301 0.116 0.262 0.107 0.000 0.000
 70 0.307 0.142 0.173 0.314 0.064 0.000 0.000
 75 0.293 0.136 0.189 0.220 0.162 0.000 0.000
 80 0.282 0.262 0.210 0.223 0.022 0.000 0.000
 85 0.193 0.273 0.160 0.285 0.090 0.000 0.000
 90 0.246 0.233 0.100 0.321 0.100 0.000 0.000
 95 0.292 0.182 0.070 0.365 0.090 0.000 0.000
100 0.215 0.220 0.092 0.354 0.119 0.000 0.000
105 0.215 0.155 0.109 0.409 0.111 0.000 0.000
110 0.255 0.173 0.092 0.362 0.118 0.000 0.000
115 0.246 0.114 0.082 0.330 0.228 0.000 0.000
120 0.159 0.216 0.094 0.366 0.166 0.000 0.000
125 0.265 0.278 0.062 0.230 0.165 0.000 0.000
130 0.272 0.204 0.073 0.324 0.127 0.000 0.000
135 0.295 0.133 0.098 0.395 0.078 0.000 0.000
140 0.249 0.092 0.098 0.513 0.048 0.000 0.000
145 0.200 0.062 0.105 0.562 0.072 0.000 0.000
150 0.281 0.063 0.133 0.466 0.057 0.000 0.000
155 0.157 0.087 0.169 0.499 0.089 0.000 0.000
160 0.187 0.137 0.104 0.447 0.125 0.000 0.000
165 0.203 0.174 0.107 0.426 0.090 0.000 0.000
170 0.282 0.158 0.109 0.384 0.067 0.000 0.000
175 0.328 0.115 0.117 0.365 0.075 0.000 0.000
180 0.208 0.030 0.100 0.541 0.120 0.000 0.000
185 0.160 0.040 0.133 0.540 0.128 0.000 0.000
190 0.200 0.114 0.050 0.441 0.196 0.000 0.000
195 0.182 0.143 0.010 0.564 0.102 0.000 0.000
200 0.388 0.104 0.012 0.418 0.078 0.000 0.000
205 0.353 0.098 0.018 0.449 0.082 0.000 0.000
210 0.329 0.126 0.020 0.377 0.148 0.000 0.000
215 0.350 0.171 0.019 0.344 0.117 0.000 0.000
220 0.408 0.191 0.019 0.262 0.119 0.000 0.000
225 0.432 0.119 0.021 0.290 0.137 0.000 0.000
230 0.312 0.137 0.039 0.374 0.139 0.000 0.000
235 0.286 0.099 0.064 0.331 0.220 0.000 0.000
240 0.307 0.196 0.124 0.277 0.096 0.000 0.000
245 0.226 0.310 0.105 0.262 0.098 0.000 0.000
250 0.307 0.142 0.173 0.314 0.064 0.000 0.000
255 0.293 0.136 0.189 0.220 0.162 0.000 0.000
260 0.270 0.265 0.208 0.228 0.030 0.000 0.000
265 0.198 0.237 0.170 0.335 0.060 0.000 0.000
270 0.246 0.233 0.100 0.321 0.100 0.000 0.000
275 0.292 0.200 0.070 0.345 0.092 0.000 0.000
280 0.223 0.225 0.092 0.361 0.099 0.000 0.000
285 0.215 0.155 0.109 0.409 0.111 0.000 0.000
290 0.255 0.173 0.092 0.362 0.118 0.000 0.000
295 0.255 0.118 0.093 0.308 0.226 0.000 0.000
300 0.161 0.216 0.092 0.366 0.166 0.000 0.000
305 0.286 0.265 0.064 0.239 0.146 0.000 0.000
310 0.304 0.181 0.067 0.310 0.137 0.000 0.000
315 0.301 0.128 0.094 0.377 0.100 0.000 0.000
320 0.224 0.096 0.098 0.520 0.062 0.000 0.000
325 0.210 0.070 0.099 0.553 0.068 0.000 0.000
330 0.279 0.061 0.124 0.475 0.061 0.000 0.000
335 0.169 0.100 0.155 0.485 0.091 0.000 0.000
340 0.187 0.137 0.104 0.447 0.125 0.000 0.000
345 0.203 0.174 0.107 0.426 0.090 0.000 0.000
350 0.275 0.156 0.129 0.376 0.064 0.000 0.000
355 0.338 0.080 0.120 0.393 0.070 0.000 0.000
