ID Paved Buildings EvergreenTrees DecidiousTrees Grass Baresoil Water
  1 0.304 0.174 0.025 0.311 0.186 0.000 0.000
  2 0.268 0.128 0.013 0.344 0.247 0.000 0.000
  3 0.473 0.124 0.006 0.131 0.222 0.044 0.000
  4 0.395 0.191 0.016 0.168 0.230 0.000 0.000
  5 0.474 0.229 0.006 0.095 0.196 0.000 0.000
  6 0.515 0.132 0.006 0.175 0.172 0.000 0.000
  7 0.355 0.217 0.026 0.173 0.229 0.000 0.000
  8 0.359 0.244 0.007 0.107 0.283 0.000 0.000
  9 0.339 0.141 0.047 0.357 0.116 0.000 0.000
 10 0.570 0.268 0.000 0.074 0.086 0.000 0.002
 11 0.462 0.315 0.000 0.051 0.141 0.009 0.022
 12 0.468 0.317 0.006 0.113 0.081 0.000 0.015
 13 0.587 0.239 0.002 0.063 0.085 0.000 0.024
 14 0.622 0.265 0.004 0.055 0.054 0.000 0.000
 15 0.727 0.082 0.005 0.072 0.087 0.000 0.027
