 z  paib bScale paiv vScale 
  0 0.190 9.024 0.184 3.557
  1 0.190 12.344 0.184 4.598
  2 0.190 13.820 0.141 6.264
  3 0.169 16.010 0.105 8.058
  4 0.157 17.013 0.080 10.291
  5 0.148 18.114 0.063 13.003
  6 0.129 22.351 0.051 15.497
  7 0.101 21.854 0.043 18.315
  8 0.088 22.717 0.036 22.041
  9 0.080 23.275 0.029 28.794
 10 0.075 23.678 0.024 34.331
 11 0.071 26.117 0.020 40.259
 12 0.032 119.435 0.016 45.947
 13 0.002 26.256 0.014 52.883
 14 0.000 9.280 0.011 70.835
 15 0.000 9.280 0.010 88.171
 16 0.000 9.280 0.008 114.977
 17 0.000 26.400 0.007 156.593
 18 0.000 0.000 0.005 190.889
 19 0.000 0.000 0.004 324.500
