Wd Paved Buildings EvergreenTrees DecidiousTrees Grass Baresoil Water
  0 0.251 0.040 0.000 0.519 0.190 0.000 0.000
  5 0.180 0.010 0.000 0.500 0.310 0.000 0.000
 10 0.166 0.099 0.000 0.475 0.260 0.000 0.000
 15 0.220 0.114 0.000 0.402 0.264 0.000 0.000
 20 0.175 0.121 0.000 0.366 0.338 0.000 0.000
 25 0.351 0.123 0.000 0.173 0.353 0.000 0.000
 30 0.340 0.203 0.000 0.148 0.309 0.000 0.000
 35 0.284 0.177 0.012 0.216 0.311 0.000 0.000
 40 0.243 0.185 0.000 0.189 0.383 0.000 0.000
 45 0.310 0.198 0.009 0.201 0.283 0.000 0.000
 50 0.198 0.164 0.000 0.264 0.374 0.000 0.000
 55 0.278 0.249 0.004 0.109 0.360 0.000 0.000
 60 0.275 0.233 0.020 0.150 0.322 0.000 0.000
 65 0.323 0.146 0.000 0.180 0.351 0.000 0.000
 70 0.296 0.116 0.019 0.232 0.338 0.000 0.000
 75 0.368 0.094 0.000 0.315 0.223 0.000 0.000
 80 0.238 0.153 0.045 0.344 0.220 0.000 0.000
 85 0.205 0.060 0.000 0.417 0.318 0.000 0.000
 90 0.190 0.108 0.000 0.421 0.281 0.000 0.000
 95 0.135 0.138 0.000 0.400 0.328 0.000 0.000
100 0.186 0.104 0.000 0.438 0.272 0.000 0.000
105 0.286 0.107 0.010 0.308 0.291 0.000 0.000
110 0.180 0.083 0.021 0.421 0.296 0.000 0.000
115 0.132 0.116 0.000 0.408 0.344 0.000 0.000
120 0.144 0.078 0.000 0.458 0.320 0.000 0.000
125 0.169 0.074 0.000 0.481 0.276 0.000 0.000
130 0.214 0.056 0.000 0.507 0.224 0.000 0.000
135 0.253 0.130 0.000 0.447 0.171 0.000 0.000
140 0.202 0.071 0.031 0.432 0.264 0.000 0.000
145 0.187 0.049 0.035 0.434 0.294 0.000 0.000
150 0.209 0.000 0.000 0.425 0.366 0.000 0.000
155 0.182 0.000 0.000 0.538 0.280 0.000 0.000
160 0.184 0.000 0.047 0.501 0.267 0.000 0.000
165 0.288 0.000 0.010 0.492 0.211 0.000 0.000
170 0.292 0.022 0.010 0.485 0.191 0.000 0.000
175 0.318 0.010 0.000 0.502 0.170 0.000 0.000
180 0.251 0.040 0.000 0.519 0.190 0.000 0.000
185 0.180 0.010 0.000 0.530 0.280 0.000 0.000
190 0.188 0.089 0.000 0.453 0.270 0.000 0.000
195 0.220 0.114 0.000 0.402 0.264 0.000 0.000
200 0.175 0.121 0.000 0.366 0.338 0.000 0.000
205 0.351 0.116 0.000 0.189 0.344 0.000 0.000
210 0.338 0.205 0.000 0.155 0.303 0.000 0.000
215 0.282 0.183 0.006 0.191 0.337 0.000 0.000
220 0.220 0.197 0.004 0.197 0.383 0.000 0.000
225 0.285 0.201 0.009 0.194 0.311 0.000 0.000
230 0.210 0.164 0.004 0.250 0.372 0.000 0.000
235 0.249 0.237 0.002 0.140 0.372 0.000 0.000
240 0.277 0.235 0.020 0.139 0.329 0.000 0.000
245 0.298 0.171 0.000 0.180 0.351 0.000 0.000
250 0.296 0.116 0.019 0.232 0.338 0.000 0.000
255 0.368 0.094 0.000 0.315 0.223 0.000 0.000
260 0.282 0.119 0.030 0.349 0.220 0.000 0.000
265 0.177 0.070 0.000 0.417 0.335 0.000 0.000
270 0.190 0.108 0.000 0.421 0.281 0.000 0.000
275 0.122 0.138 0.000 0.403 0.338 0.000 0.000
280 0.196 0.101 0.012 0.426 0.265 0.000 0.000
285 0.286 0.107 0.010 0.308 0.291 0.000 0.000
290 0.180 0.083 0.021 0.421 0.296 0.000 0.000
295 0.139 0.118 0.000 0.405 0.337 0.000 0.000
300 0.148 0.078 0.000 0.451 0.322 0.000 0.000
305 0.152 0.084 0.000 0.471 0.292 0.000 0.000
310 0.216 0.052 0.000 0.497 0.235 0.000 0.000
315 0.251 0.130 0.000 0.466 0.153 0.000 0.000
320 0.187 0.083 0.029 0.453 0.249 0.000 0.000
325 0.171 0.066 0.035 0.453 0.276 0.000 0.000
330 0.207 0.000 0.000 0.434 0.359 0.000 0.000
335 0.182 0.000 0.000 0.540 0.278 0.000 0.000
340 0.184 0.000 0.047 0.501 0.267 0.000 0.000
345 0.288 0.000 0.010 0.492 0.211 0.000 0.000
350 0.290 0.025 0.010 0.490 0.186 0.000 0.000
355 0.310 0.010 0.000 0.500 0.180 0.000 0.000
