 id  pai   fai   zH  zHmax   zHstd  zd  z0  wai 
  1 0.266 0.263 7.592 25.172 4.429 5.315 0.759 0.780
  2 0.324 0.324 10.381 32.368 5.692 7.266 1.038 0.939
  3 0.111 0.136 7.619 32.532 5.448 5.333 0.762 0.392
  4 0.141 0.152 6.248 27.191 4.600 4.373 0.625 0.463
  5 0.088 0.153 6.710 22.317 3.316 4.697 0.671 0.311
  6 0.164 0.184 8.323 26.125 4.290 5.826 0.832 0.525
  7 0.150 0.152 6.166 24.808 4.379 4.316 0.617 0.475
  8 0.098 0.096 7.118 19.439 3.606 4.983 0.712 0.329
  9 0.372 0.343 10.011 24.962 5.440 7.007 1.001 0.939
 10 0.059 0.055 7.072 23.476 4.219 4.951 0.707 0.193
 11 0.071 0.080 7.983 27.729 4.471 5.588 0.798 0.292
 12 0.117 0.172 7.765 22.067 4.188 5.435 0.776 0.423
 13 0.037 0.043 7.283 24.152 3.571 5.098 0.728 0.146
 14 0.051 0.038 7.220 19.941 3.445 5.054 0.722 0.158
 15 0.075 0.075 7.726 34.953 4.635 5.408 0.773 0.267
