Year	DOY	Hour	Min	 Dectime	 azimuth	altitude	GlobalRad	DiffuseRad	DirectRad	 Kdown2d	   Kup2d	  Ksouth	   Kwest	  Knorth	   Keast	 Ldown2d	   Lup2d	  Lsouth	   Lwest	  Lnorth	   Least	    Tmrt	      I0	      CI	SH_Ground	SH_Walls	SVF_Ground	SVF_Roof	SVF_BdVeg	Emis_Sky	      Ta	      Tg	      Tw
2018	  1	   1	  0	  0.0417	 30.0425	-52.5688	   0.0000	    0.0000	   0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	309.0348	327.3267	317.3644	317.3644	317.3644	317.3644	  0.3879	 51.3199	  0.5152	   0.0000	  0.0000	    0.7935	  0.9278	   0.7935	  0.7607	  6.0458	  0.0000	  0.0000
2018	  1	   2	  0	  0.0833	 50.0474	-47.4388	   0.0000	    0.0000	   0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	309.0377	328.1289	318.1228	318.1228	318.1228	318.1228	  0.5419	 51.3206	  0.5152	   0.0000	  0.0000	    0.7935	  0.9278	   0.7935	  0.7606	  6.2167	  0.0000	  0.0000
2018	  1	   3	  0	  0.1250	 66.8260	-40.6486	   0.0000	    0.0000	   0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	310.7883	328.9907	319.0287	319.0287	319.0287	319.0287	  0.7469	 51.2935	  0.5152	   0.0000	  0.0000	    0.7935	  0.9278	   0.7935	  0.7620	  6.4000	  0.0000	  0.0000
2018	  1	   4	  0	  0.1667	 81.2049	-32.9881	   0.0000	    0.0000	   0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	311.9724	328.7359	318.8491	318.8491	318.8491	318.8491	  0.7249	 51.2760	  0.5152	   0.0000	  0.0000	    0.7935	  0.9278	   0.7935	  0.7630	  6.3458	  0.0000	  0.0000
2018	  1	   5	  0	  0.2083	 94.1088	-25.0284	   0.0000	    0.0000	   0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	313.1629	329.2852	319.4306	319.4306	319.4306	319.4306	  0.8570	 51.2588	  0.5152	   0.0000	  0.0000	    0.7935	  0.9278	   0.7935	  0.7640	  6.4625	  0.0000	  0.0000
2018	  1	   6	  0	  0.2500	106.2831	-17.1914	   0.0000	    0.0000	   0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	312.9175	328.6580	318.8240	318.8240	318.8240	318.8240	  0.7312	 51.2638	  0.5152	   0.0000	  0.0000	    0.7935	  0.9278	   0.7935	  0.7638	  6.3292	  0.0000	  0.0000
2018	  1	   7	  0	  0.2917	118.2716	 -9.8295	   0.0102	    0.0000	   0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	310.9194	326.3123	316.4974	316.4974	316.4974	316.4974	  0.2346	 51.2960	  0.5154	   0.0000	  0.0000	    0.7935	  0.9278	   0.7935	  0.7622	  5.8292	  0.0000	  0.0000
2018	  1	   8	  0	  0.3333	130.4724	 -2.7861	   0.8167	    0.2212	   0.1141	  0.1089	  0.0088	  0.0415	  0.0415	  0.0415	  0.0415	307.1550	323.4759	312.8047	312.6442	312.6442	312.8047	 -0.5657	 47.2800	  0.5672	   0.0000	  0.0004	    0.7935	  0.9278	   0.7935	  0.7593	  5.2208	  0.2247	  0.0000
2018	  1	   9	  0	  0.3750	143.1343	  2.5891	   6.2313	    1.3188	   6.1802	  5.8714	  0.4667	  2.0804	  2.0804	  2.0804	  2.0804	305.7360	319.7357	307.5095	305.5973	305.5973	307.5095	 -1.4780	 51.5966	  0.6746	   0.0000	  0.0404	    0.7935	  0.9278	   0.7935	  0.7581	  4.4125	  1.7925	  0.0000
2018	  1	  10	  0	  0.4167	156.3588	  6.4641	  16.2662	    0.7705	  16.1771	 15.3555	  1.2221	  5.4485	  5.4146	  5.4146	  5.4282	305.8475	317.1656	307.5354	305.6404	305.6404	307.5354	 -0.9402	126.4153	  0.5089	   0.0455	  0.1149	    0.7935	  0.9278	   0.7935	  0.7580	  3.7833	  1.5389	  0.0000
2018	  1	  11	  0	  0.4583	170.0646	  8.7407	  32.0131	    3.5588	  31.4569	 30.2452	  2.3774	 10.6574	 10.5827	 10.5827	 10.5881	306.8646	317.3205	307.6373	305.7400	305.7400	307.6373	 -0.0409	170.2618	  0.5217	   0.0092	  0.1344	    0.7935	  0.9278	   0.7935	  0.7588	  3.8708	  1.6606	  0.0000
2018	  1	  12	  0	  0.5000	184.0029	  9.1527	  59.6831	   17.3926	  56.9108	 56.4986	  4.3159	 20.0141	 19.1465	 19.1197	 19.1253	307.5275	319.4992	307.3800	306.9037	305.4719	305.9482	  1.4022	178.1371	  0.6633	   0.0510	  0.1423	    0.7935	  0.9278	   0.7935	  0.7594	  4.2625	  2.0044	  0.0000
2018	  1	  13	  0	  0.5417	197.8470	  7.6603	  32.1450	    5.2672	  31.4175	 30.3806	  2.3752	 10.6781	 10.6020	 10.5523	 10.5523	308.6311	320.1206	309.5087	309.5087	307.5968	307.5968	  0.3738	149.3632	  0.5678	   0.0405	  0.1268	    0.7935	  0.9278	   0.7935	  0.7602	  4.4000	  2.2586	  0.0000
2018	  1	  14	  0	  0.5833	211.2983	  4.4164	  14.1929	    2.4243	  14.0048	 13.4053	  1.0580	  4.7254	  4.7187	  4.7125	  4.7125	312.0154	320.7360	309.8713	309.8713	307.9534	307.9534	 -0.4851	 86.7183	  0.6039	   0.0051	  0.0725	    0.7935	  0.9278	   0.7935	  0.7628	  4.6167	  2.9499	  0.0000
2018	  1	  15	  0	  0.6250	224.2051	 -0.1422	   2.7698	    1.5305	   2.0851	  2.0008	  0.1576	  0.7038	  0.7038	  0.7038	  0.7038	315.6647	323.0305	310.9142	310.9142	309.9508	309.9508	 -0.7893	 37.3057	  0.6917	   0.0000	  0.0111	    0.7935	  0.9278	   0.7935	  0.7656	  5.1250	  2.5927	  0.0006
2018	  1	  16	  0	  0.6667	236.5836	 -6.8244	   0.1985	    0.0000	   0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	316.7791	324.3085	314.8255	314.8255	314.8255	314.8255	 -0.0332	 51.2142	  0.5191	   0.0000	  0.0000	    0.7935	  0.9278	   0.7935	  0.7666	  5.4000	  0.0000	  0.0000
2018	  1	  17	  0	  0.7083	248.6274	-13.9485	   0.0031	    0.0000	   0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	315.0090	323.8044	314.3194	314.3194	314.3194	314.3194	 -0.1593	 51.2382	  0.5153	   0.0000	  0.0000	    0.7935	  0.9278	   0.7935	  0.7653	  5.2917	  0.0000	  0.0000
2018	  1	  18	  0	  0.7500	260.6723	-21.6180	   0.0000	    0.0000	   0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	314.6120	323.8819	314.3751	314.3751	314.3751	314.3751	 -0.1528	 51.2420	  0.5152	   0.0000	  0.0000	    0.7935	  0.9278	   0.7935	  0.7650	  5.3083	  0.0000	  0.0000
2018	  1	  19	  0	  0.7917	273.1917	-29.5661	   0.0000	    0.0000	   0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	314.2562	324.0563	314.5238	314.5238	314.5238	314.5238	 -0.1268	 51.2451	  0.5152	   0.0000	  0.0000	    0.7935	  0.9278	   0.7935	  0.7647	  5.3458	  0.0000	  0.0000
2018	  1	  20	  0	  0.8333	286.8424	-37.4068	   0.0000	    0.0000	   0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	312.4769	323.0879	313.5175	313.5175	313.5175	313.5175	 -0.3547	 51.2711	  0.5152	   0.0000	  0.0000	    0.7935	  0.9278	   0.7935	  0.7633	  5.1375	  0.0000	  0.0000
2018	  1	  21	  0	  0.8750	302.4836	-44.6441	   0.0000	    0.0000	   0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	312.3818	323.4559	313.8626	313.8626	313.8626	313.8626	 -0.2852	 51.2706	  0.5152	   0.0000	  0.0000	    0.7935	  0.9278	   0.7935	  0.7633	  5.2167	  0.0000	  0.0000
2018	  1	  22	  0	  0.9167	321.0451	-50.5837	   0.0000	    0.0000	   0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	308.7946	324.5609	314.7334	314.7334	314.7334	314.7334	 -0.1513	 51.3208	  0.5152	   0.0000	  0.0000	    0.7935	  0.9278	   0.7935	  0.7605	  5.4542	  0.0000	  0.0000
2018	  1	  23	  0	  0.9583	342.9170	-54.3263	   0.0000	    0.0000	   0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	306.3954	324.7745	314.8153	314.8153	314.8153	314.8153	 -0.1641	 51.3562	  0.5152	   0.0000	  0.0000	    0.7935	  0.9278	   0.7935	  0.7586	  5.5000	  0.0000	  0.0000
2018	  2	   0	  0	  1.0000	 96.8058	-55.0378	   0.0000	    0.0000	   0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	309.6396	323.5142	313.7818	313.7818	313.7818	313.7818	 -0.3356	 51.2762	  0.5153	   0.0000	  0.0000	    0.7935	  0.9278	   0.7935	  0.7612	  5.2292	  0.0000	  0.0000
2018	  2	   1	  0	  1.0417	 29.8323	-52.5274	   0.0000	    0.0000	   0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	312.3827	323.4559	313.8463	313.8463	313.8463	313.8463	 -0.2883	 50.8846	  0.5164	   0.0000	  0.0000	    0.7934	  0.9277	   0.7934	  0.7633	  5.2167	  0.0000	  0.0000
2018	  2	   2	  0	  1.0833	 49.8543	-47.4176	   0.0000	    0.0000	   0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	308.7957	324.5609	314.7169	314.7169	314.7169	314.7169	 -0.1544	 50.9344	  0.5164	   0.0000	  0.0000	    0.7934	  0.9277	   0.7934	  0.7605	  5.4542	  0.0000	  0.0000
2018	  2	   3	  0	  1.1250	 66.6498	-40.6412	   0.0000	    0.0000	   0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	305.6191	325.0271	314.9977	314.9977	314.9977	314.9977	 -0.1361	 50.9815	  0.5164	   0.0000	  0.0000	    0.7934	  0.9277	   0.7934	  0.7580	  5.5542	  0.0000	  0.0000
2018	  2	   4	  0	  1.1667	 81.0450	-32.9869	   0.0000	    0.0000	   0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	305.0230	324.9882	314.9303	314.9303	314.9303	314.9303	 -0.1572	 50.9900	  0.5164	   0.0000	  0.0000	    0.7934	  0.9277	   0.7934	  0.7575	  5.5458	  0.0000	  0.0000
