 z  paib bScale paiv vScale 
  0 0.264 44.123 0.059 3.970
  1 0.264 60.633 0.059 5.318
  2 0.264 68.289 0.051 7.275
  3 0.264 77.590 0.047 9.662
  4 0.251 95.461 0.042 12.464
  5 0.217 111.958 0.036 16.558
  6 0.152 109.753 0.029 21.370
  7 0.103 115.866 0.023 25.668
  8 0.054 118.491 0.018 28.172
  9 0.013 83.080 0.013 32.736
 10 0.009 76.507 0.010 37.895
 11 0.008 96.800 0.007 53.528
 12 0.006 89.913 0.005 68.735
 13 0.004 244.000 0.004 65.714
 14 0.002 134.000 0.002 83.789
 15 0.001 65.333 0.002 197.600
 16 0.000 0.000 0.001 588.000
