Wd Paved Buildings EvergreenTrees DecidiousTrees Grass Baresoil Water
  0 0.642 0.291 0.000 0.050 0.018 0.000 0.000
  5 0.645 0.325 0.000 0.030 0.000 0.000 0.000
 10 0.626 0.354 0.000 0.020 0.000 0.000 0.000
 15 0.700 0.288 0.000 0.012 0.000 0.000 0.000
 20 0.657 0.286 0.000 0.050 0.007 0.000 0.000
 25 0.572 0.396 0.000 0.032 0.000 0.000 0.000
 30 0.538 0.390 0.000 0.050 0.022 0.000 0.000
 35 0.562 0.284 0.000 0.107 0.047 0.000 0.000
 40 0.653 0.224 0.000 0.067 0.056 0.000 0.000
 45 0.550 0.310 0.000 0.121 0.020 0.000 0.000
 50 0.615 0.277 0.000 0.040 0.067 0.000 0.000
 55 0.654 0.255 0.000 0.037 0.053 0.000 0.000
 60 0.519 0.325 0.000 0.089 0.068 0.000 0.000
 65 0.576 0.369 0.000 0.043 0.011 0.000 0.000
 70 0.551 0.345 0.000 0.059 0.045 0.000 0.000
 75 0.644 0.257 0.000 0.065 0.034 0.000 0.000
 80 0.520 0.374 0.000 0.067 0.040 0.000 0.000
 85 0.682 0.235 0.000 0.062 0.020 0.000 0.000
 90 0.591 0.236 0.000 0.070 0.103 0.000 0.000
 95 0.593 0.268 0.000 0.070 0.070 0.000 0.000
100 0.552 0.265 0.000 0.079 0.104 0.000 0.000
105 0.494 0.356 0.000 0.121 0.029 0.000 0.000
110 0.615 0.326 0.000 0.040 0.019 0.000 0.000
115 0.592 0.232 0.000 0.055 0.121 0.000 0.000
120 0.562 0.211 0.000 0.078 0.148 0.000 0.000
125 0.531 0.214 0.000 0.056 0.195 0.000 0.004
130 0.634 0.131 0.000 0.116 0.106 0.000 0.013
135 0.717 0.057 0.000 0.144 0.069 0.000 0.012
140 0.694 0.052 0.000 0.164 0.091 0.000 0.000
145 0.695 0.000 0.000 0.093 0.212 0.000 0.000
150 0.786 0.035 0.000 0.085 0.094 0.000 0.000
155 0.754 0.050 0.000 0.178 0.018 0.000 0.000
160 0.636 0.215 0.000 0.066 0.083 0.000 0.000
165 0.625 0.259 0.000 0.046 0.070 0.000 0.000
170 0.619 0.292 0.000 0.069 0.020 0.000 0.000
175 0.627 0.305 0.000 0.037 0.030 0.000 0.000
180 0.642 0.291 0.000 0.050 0.018 0.000 0.000
185 0.630 0.347 0.000 0.022 0.000 0.000 0.000
190 0.621 0.359 0.000 0.020 0.000 0.000 0.000
195 0.700 0.288 0.000 0.012 0.000 0.000 0.000
200 0.657 0.286 0.000 0.050 0.007 0.000 0.000
205 0.574 0.385 0.000 0.039 0.002 0.000 0.000
210 0.538 0.390 0.000 0.050 0.022 0.000 0.000
215 0.562 0.290 0.000 0.101 0.047 0.000 0.000
220 0.649 0.220 0.000 0.066 0.066 0.000 0.000
225 0.548 0.319 0.000 0.114 0.020 0.000 0.000
230 0.609 0.276 0.000 0.037 0.079 0.000 0.000
235 0.658 0.251 0.000 0.039 0.051 0.000 0.000
240 0.514 0.325 0.000 0.089 0.072 0.000 0.000
245 0.567 0.367 0.000 0.048 0.018 0.000 0.000
250 0.551 0.345 0.000 0.059 0.045 0.000 0.000
255 0.644 0.257 0.000 0.065 0.034 0.000 0.000
260 0.520 0.376 0.000 0.062 0.042 0.000 0.000
265 0.682 0.235 0.000 0.062 0.020 0.000 0.000
270 0.591 0.236 0.000 0.070 0.103 0.000 0.000
275 0.578 0.253 0.000 0.080 0.090 0.000 0.000
280 0.545 0.262 0.000 0.084 0.109 0.000 0.000
285 0.494 0.356 0.000 0.121 0.029 0.000 0.000
290 0.615 0.326 0.000 0.040 0.019 0.000 0.000
295 0.585 0.251 0.000 0.046 0.118 0.000 0.000
300 0.556 0.218 0.000 0.078 0.148 0.000 0.000
305 0.535 0.226 0.000 0.047 0.187 0.000 0.004
310 0.615 0.146 0.000 0.123 0.102 0.000 0.013
315 0.694 0.064 0.000 0.148 0.080 0.000 0.014
320 0.707 0.060 0.000 0.152 0.081 0.000 0.000
325 0.671 0.000 0.000 0.115 0.214 0.000 0.000
330 0.786 0.035 0.000 0.096 0.083 0.000 0.000
335 0.740 0.050 0.000 0.189 0.021 0.000 0.000
340 0.636 0.215 0.000 0.066 0.083 0.000 0.000
345 0.625 0.259 0.000 0.046 0.070 0.000 0.000
350 0.621 0.290 0.000 0.069 0.020 0.000 0.000
355 0.640 0.300 0.000 0.030 0.030 0.000 0.000
