iy   id  it imin qn   qh   qe   qs   qf   U     RH    Tair  pres   rain kdown  snow ldown fcld wuh  xsmd lai  kdiff kdir wdir
2013 1   0  0    -999 -999 -999 -999 -999 3.17  82.66 9.94  99.22  0    0      -999 -999  -999 -999 -999 -999 -999  -999 -999
2013 1   1  0    -999 -999 -999 -999 -999 3.11  82.44 9.72  99.24  0    0      -999 -999  -999 -999 -999 -999 -999  -999 -999
2013 1   2  0    -999 -999 -999 -999 -999 3.52  82.95 9.51  99.26  0    0      -999 -999  -999 -999 -999 -999 -999  -999 -999
2013 1   3  0    -999 -999 -999 -999 -999 4.39  80.99 8.32  99.33  0.8  0      -999 -999  -999 -999 -999 -999 -999  -999 -999
2013 1   4  0    -999 -999 -999 -999 -999 3.34  76.34 8.16  99.38  0    0      -999 -999  -999 -999 -999 -999 -999  -999 -999
2013 1   5  0    -999 -999 -999 -999 -999 4.26  76.53 7.52  99.44  0    0      -999 -999  -999 -999 -999 -999 -999  -999 -999
2013 1   6  0    -999 -999 -999 -999 -999 3.96  76.42 6.7   99.54  0    0      -999 -999  -999 -999 -999 -999 -999  -999 -999
2013 1   7  0    -999 -999 -999 -999 -999 3.82  76.09 6.1   99.62  0    0      -999 -999  -999 -999 -999 -999 -999  -999 -999
2013 1   8  0    -999 -999 -999 -999 -999 4.17  77.54 5.58  99.71  0    0      -999 -999  -999 -999 -999 -999 -999  -999 -999
2013 1   9  0    -999 -999 -999 -999 -999 4.31  77.64 5.22  99.81  0    20.4   -999 -999  -999 -999 -999 -999 -999  -999 -999
2013 1   10 0    -999 -999 -999 -999 -999 4.44  75.45 5.46  99.92  0    97.6   -999 -999  -999 -999 -999 -999 -999  -999 -999
2013 1   11 0    -999 -999 -999 -999 -999 4.19  72.24 6.03  100.03 0    171.44 -999 -999  -999 -999 -999 -999 -999  -999 -999
2013 1   12 0    -999 -999 -999 -999 -999 4.3   68.44 6.77  100.07 0    214.06 -999 -999  -999 -999 -999 -999 -999  -999 -999
2013 1   13 0    -999 -999 -999 -999 -999 4.1   65.97 7.19  100.12 0    220.58 -999 -999  -999 -999 -999 -999 -999  -999 -999
2013 1   14 0    -999 -999 -999 -999 -999 4.8   59.84 7.67  100.2  0    123    -999 -999  -999 -999 -999 -999 -999  -999 -999
2013 1   15 0    -999 -999 -999 -999 -999 5.28  59.48 7.69  100.25 0    63.97  -999 -999  -999 -999 -999 -999 -999  -999 -999
2013 1   16 0    -999 -999 -999 -999 -999 4.99  61.02 7.54  100.31 0    24.97  -999 -999  -999 -999 -999 -999 -999  -999 -999
2013 1   17 0    -999 -999 -999 -999 -999 4.82  63.57 7.35  100.38 0    0      -999 -999  -999 -999 -999 -999 -999  -999 -999
2013 1   18 0    -999 -999 -999 -999 -999 3.81  63.83 7.06  100.48 0    0      -999 -999  -999 -999 -999 -999 -999  -999 -999
2013 1   19 0    -999 -999 -999 -999 -999 3.42  67.98 6.45  100.55 0    0      -999 -999  -999 -999 -999 -999 -999  -999 -999
2013 1   20 0    -999 -999 -999 -999 -999 2.85  67.56 6.41  100.66 0    0      -999 -999  -999 -999 -999 -999 -999  -999 -999
