Year  DOY Hour  Min  Dectime  RSS_Paved  RSS_Bldgs  RSS_EveTr  RSS_DecTr  RSS_Grass  RSS_BSoil  RSS_Water state_Pave state_Bldg state_EveT state_DecT state_Gras state_BSoi state_Wate         RS         RA         RB     RAsnow    vpd_hPa     avdens       avcp      s_hPa   psyc_hPa
2011    1    1    0   0.0417     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0975     0.0000     0.0000     0.0974     0.0974     0.0000  1667.1250  9999.9999   190.9862    18.8594   196.6174     2.2206     1.2782  1008.5093     0.5883     0.6623
2011    1    2    0   0.0833   217.4736  1787.4438  2500.0000   366.3324   667.8293  2500.0000     0.1526     0.1073     0.0013     0.0000     0.1074     0.1074     0.0000     0.4996  9999.9999   120.9933     8.2512   191.6353     2.0439     1.2788  1008.5440     0.5816     0.6621
2011    1    3    0   0.1250  1461.4126  8090.7243  9999.9999  2227.6477  3766.2966  9999.9999     5.3934     0.1014     0.0048     0.0000     0.1083     0.1087     0.0000     0.4923  9999.9999   193.2227    18.1039   200.0000     2.0272     1.2790  1008.5207     0.5780     0.6619
2011    1    4    0   0.1667   979.3095  7214.4446  9999.9999  1419.0818  2570.5470  9999.9999     8.2626     0.0901     0.0044     0.0000     0.1039     0.1050     0.0000     0.4790  9999.9999   104.8012     7.1972   178.1749     2.0186     1.2788  1008.4957     0.5746     0.6615
2011    1    5    0   0.2083   983.5776  7225.1630  9999.9999  1331.2685  2405.4440  9999.9999    15.3937     0.0803     0.0039     0.0000     0.0988     0.1010     0.0000     0.4581  9999.9999    92.1652     6.9493   154.1657     1.9683     1.2791  1008.4624     0.5678     0.6611
2011    1    6    0   0.2500  1100.7789  7530.7245  9999.9999  1406.1234  2492.8178  9999.9999    24.8951     0.0723     0.0033     0.0000     0.0938     0.0970     0.0000     0.4361  9999.9999    93.0657     6.9835   156.7920     1.8955     1.2796  1008.4466     0.5617     0.6609
2011    1    7    0   0.2917  1469.4269 25429.3779 **********  1822.6431  3414.8691 **********    39.2377     0.0659     0.0028     0.0000     0.0890     0.0932     0.0000     0.4157 **********   105.7010     7.3263   186.2757     1.8081     1.2798  1008.4838     0.5606     0.6609
2011    1    8    0   0.3333  1689.0130 40611.7603 **********  2046.7372  4014.1910 **********    51.0639     0.0605     0.0026     0.0000     0.0846     0.0897     0.0000     0.3941 **********   102.2145     7.3613   184.3935     1.7463     1.2792  1008.5682     0.5662     0.6612
2011    1    9    0   0.3750  1799.4218 28965.7736 86070.5819  2100.4303  3959.3910 86070.5819    65.1279     0.0556     0.0025     0.0000     0.0801     0.0863     0.0000     0.3715 86070.5819   100.9399     7.3550   182.8502     1.7106     1.2783  1008.6644     0.5747     0.6615
2011    1   10    0   0.4167  1815.9041 17412.0096 28833.8103  2047.3496  3619.9615 28833.8103    78.6309     0.0513     0.0022     0.0000     0.0758     0.0828     0.0000     0.3498 28833.8103    98.4813     7.2890   177.3252     1.6597     1.2776  1008.7653     0.5828     0.6619
2011    1   11    0   0.4583  1534.3358  6751.9487  7658.6959  1676.6247  2620.1582  7658.6959    86.3694     0.0474     0.0016     0.0000     0.0712     0.0791     0.0000     0.3275  7658.6959    89.6193     7.0829   158.5301     1.5393     1.2766  1008.9084     0.5914     0.6623
