  iy  id it imin     qn     qh     qe     qs     qf        U       RH     Tair     pres     rain    kdown   snow    ldown   fcld    Wuh   xsmd    lai  kdiff   kdir  wdir
2012   1  1    0 -999.0 -999.0 -999.0 -999.0 -999.0    5.592   82.662   13.315  100.105    0.043    0.000 -999.0  376.545 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0  50.9
2012   1  2    0 -999.0 -999.0 -999.0 -999.0 -999.0    5.218   83.302   13.202  100.095    0.004    0.000 -999.0  377.826 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0  51.8
2012   1  3    0 -999.0 -999.0 -999.0 -999.0 -999.0    4.869   83.319   13.095  100.060    0.000    0.000 -999.0  379.086 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0  50.3
2012   1  4    0 -999.0 -999.0 -999.0 -999.0 -999.0    4.651   82.194   13.153  100.074    0.001    0.000 -999.0  380.532 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0  50.5
2012   1  5    0 -999.0 -999.0 -999.0 -999.0 -999.0    4.642   82.311   12.935  100.040    0.000    0.000 -999.0  372.472 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0  48.7
2012   1  6    0 -999.0 -999.0 -999.0 -999.0 -999.0    4.660   82.501   12.586  100.053    0.000    0.000 -999.0  371.688 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0  47.1
2012   1  7    0 -999.0 -999.0 -999.0 -999.0 -999.0    4.750   81.939   12.514  100.033    0.000    0.000 -999.0  375.005 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0  44.1
2012   1  8    0 -999.0 -999.0 -999.0 -999.0 -999.0    4.795   81.464   12.357  100.033    0.000    0.000 -999.0  372.180 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0  41.3
2012   1  9    0 -999.0 -999.0 -999.0 -999.0 -999.0    5.036   81.586   12.238  100.004    0.000    3.554 -999.0  370.511 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0  40.3
2012   1 10    0 -999.0 -999.0 -999.0 -999.0 -999.0    4.651   81.838   12.274  100.001    0.089   18.806 -999.0  370.055 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0  34.2
2012   1 11    0 -999.0 -999.0 -999.0 -999.0 -999.0    4.901   80.419   12.534   99.909    0.169   43.959 -999.0  373.561 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0  33.3
2012   1 12    0 -999.0 -999.0 -999.0 -999.0 -999.0    5.091   80.065   12.687   99.857    0.119   83.193 -999.0  359.421 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0  33.9
2012   1 13    0 -999.0 -999.0 -999.0 -999.0 -999.0    5.031   80.757   12.526   99.727    0.056  121.586 -999.0  352.223 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0  29.4
2012   1 14    0 -999.0 -999.0 -999.0 -999.0 -999.0    4.736   81.840   12.240   99.600    0.296   58.567 -999.0  357.756 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0  28.5
2012   1 15    0 -999.0 -999.0 -999.0 -999.0 -999.0    4.200   86.011   11.950   99.511    2.076   22.849 -999.0  364.231 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0  39.3
2012   1 16    0 -999.0 -999.0 -999.0 -999.0 -999.0    3.589   87.861   11.759   99.411    4.816    1.601 -999.0  370.031 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0  41.1
2012   1 17    0 -999.0 -999.0 -999.0 -999.0 -999.0    3.394   84.924   11.683   99.348    3.618    0.000 -999.0  374.242 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0  49.4
2012   1 18    0 -999.0 -999.0 -999.0 -999.0 -999.0    3.675   81.357   11.445   99.357    0.930    0.000 -999.0  368.839 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0  61.1
2012   1 19    0 -999.0 -999.0 -999.0 -999.0 -999.0    4.200   79.460   11.201   99.379    1.273    0.000 -999.0  357.260 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0  68.6
