 z  paib bScale paiv vScale 
  0 0.116 12.707 0.181 3.773
  1 0.116 17.433 0.181 4.925
  2 0.116 19.133 0.164 7.083
  3 0.109 21.563 0.152 9.512
  4 0.105 22.409 0.139 12.232
  5 0.099 23.222 0.123 15.749
  6 0.096 23.098 0.107 19.692
  7 0.093 23.302 0.091 25.288
  8 0.092 23.613 0.075 31.047
  9 0.089 23.131 0.063 37.695
 10 0.089 23.284 0.051 45.480
 11 0.088 24.267 0.041 53.182
 12 0.081 23.625 0.032 60.513
 13 0.073 23.584 0.024 73.151
 14 0.064 22.291 0.018 83.620
 15 0.062 23.141 0.013 88.298
 16 0.059 22.579 0.009 85.600
 17 0.058 22.901 0.007 95.364
 18 0.058 23.503 0.005 105.286
 19 0.056 23.631 0.003 128.800
 20 0.053 22.848 0.002 244.000
 21 0.051 22.484 0.001 416.000
 22 0.049 22.672 0.001 0.000
 23 0.045 27.202 0.001 0.000
 24 0.036 29.726 0.000 0.000
 25 0.028 24.434 0.000 0.000
 26 0.023 20.173 0.000 0.000
 27 0.023 19.892 0.000 0.000
 28 0.023 19.864 0.000 0.000
 29 0.023 20.116 0.000 0.000
 30 0.023 20.724 0.000 0.000
 31 0.022 21.639 0.000 0.000
 32 0.020 22.516 0.000 0.000
 33 0.017 23.983 0.000 0.000
 34 0.015 24.745 0.000 0.000
 35 0.012 26.871 0.000 0.000
 36 0.008 24.365 0.000 0.000
 37 0.006 23.088 0.000 0.000
 38 0.004 29.720 0.000 0.000
 39 0.004 27.560 0.000 0.000
 40 0.004 26.989 0.000 0.000
 41 0.002 17.854 0.000 0.000
 42 0.001 25.250 0.000 0.000
 43 0.000 224.000 0.000 0.000
 44 0.000 0.000 0.000 0.000
 45 0.000 0.000 0.000 0.000
