 id  pai   fai   zH  zHmax   zHstd  zd  z0  wai 
  1 0.170 0.094 6.442 13.235 2.893 4.509 0.644 0.293
  2 0.127 0.066 9.762 14.775 3.538 6.833 0.976 0.260
  3 0.122 0.046 8.454 16.071 3.114 5.918 0.845 0.164
  4 0.190 0.121 8.059 18.298 3.505 5.641 0.806 0.371
  5 0.229 0.164 11.841 30.798 4.960 8.288 1.184 0.479
  6 0.116 0.113 18.554 45.131 10.995 12.988 1.855 0.395
  7 0.214 0.135 7.557 16.667 2.815 5.290 0.756 0.439
  8 0.244 0.178 11.650 16.246 2.411 8.155 1.165 0.525
  9 0.142 0.118 13.499 37.388 9.998 9.449 1.350 0.402
 10 0.268 0.068 7.330 17.307 2.824 5.131 0.733 0.237
 11 0.331 0.367 16.492 49.338 8.313 11.545 1.649 0.915
 12 0.323 0.165 11.259 22.952 3.607 7.881 1.126 0.560
 13 0.235 0.054 6.983 15.733 1.704 4.888 0.698 0.115
 14 0.264 0.044 6.580 15.458 1.863 4.606 0.658 0.091
 15 0.101 0.072 11.824 57.096 9.324 8.277 1.182 0.191
