Wd Paved Buildings EvergreenTrees DecidiousTrees Grass Baresoil Water
  0 0.549 0.130 0.000 0.070 0.251 0.000 0.000
  5 0.620 0.185 0.000 0.060 0.135 0.000 0.000
 10 0.525 0.292 0.000 0.072 0.111 0.000 0.000
 15 0.518 0.303 0.000 0.039 0.140 0.000 0.000
 20 0.499 0.343 0.000 0.035 0.123 0.000 0.000
 25 0.513 0.424 0.000 0.002 0.062 0.000 0.000
 30 0.510 0.468 0.000 0.011 0.011 0.000 0.000
 35 0.484 0.488 0.000 0.019 0.010 0.000 0.000
 40 0.513 0.466 0.000 0.010 0.012 0.000 0.000
 45 0.749 0.222 0.000 0.020 0.009 0.000 0.000
 50 0.703 0.266 0.000 0.010 0.010 0.000 0.012
 55 0.753 0.156 0.000 0.029 0.031 0.000 0.031
 60 0.553 0.216 0.004 0.094 0.094 0.000 0.039
 65 0.449 0.264 0.034 0.066 0.157 0.000 0.030
 70 0.426 0.260 0.012 0.139 0.132 0.000 0.031
 75 0.540 0.196 0.000 0.157 0.075 0.000 0.031
 80 0.606 0.186 0.000 0.124 0.054 0.000 0.030
 85 0.647 0.193 0.000 0.070 0.070 0.000 0.020
 90 0.612 0.228 0.000 0.050 0.090 0.000 0.020
 95 0.560 0.268 0.000 0.055 0.098 0.000 0.020
100 0.522 0.337 0.000 0.022 0.089 0.000 0.030
105 0.521 0.329 0.000 0.041 0.090 0.000 0.019
110 0.560 0.317 0.000 0.054 0.040 0.000 0.028
115 0.560 0.314 0.000 0.039 0.066 0.000 0.021
120 0.571 0.283 0.000 0.048 0.068 0.000 0.031
125 0.685 0.088 0.000 0.072 0.132 0.000 0.023
130 0.630 0.060 0.000 0.064 0.225 0.000 0.021
135 0.722 0.044 0.000 0.078 0.135 0.000 0.020
140 0.592 0.141 0.000 0.170 0.075 0.000 0.023
145 0.562 0.270 0.000 0.095 0.074 0.000 0.000
150 0.516 0.394 0.000 0.031 0.059 0.000 0.000
155 0.604 0.298 0.000 0.055 0.043 0.000 0.000
160 0.667 0.220 0.000 0.019 0.095 0.000 0.000
165 0.753 0.179 0.000 0.000 0.068 0.000 0.000
170 0.683 0.134 0.000 0.050 0.134 0.000 0.000
175 0.623 0.145 0.000 0.033 0.200 0.000 0.000
180 0.549 0.130 0.000 0.070 0.251 0.000 0.000
185 0.600 0.190 0.000 0.052 0.158 0.000 0.000
190 0.545 0.290 0.000 0.064 0.101 0.000 0.000
195 0.518 0.303 0.000 0.039 0.140 0.000 0.000
200 0.499 0.343 0.000 0.035 0.123 0.000 0.000
205 0.508 0.435 0.000 0.007 0.050 0.000 0.000
210 0.505 0.473 0.000 0.011 0.011 0.000 0.000
215 0.461 0.510 0.000 0.021 0.008 0.000 0.000
220 0.491 0.487 0.000 0.012 0.010 0.000 0.000
225 0.740 0.230 0.000 0.016 0.012 0.000 0.002
230 0.697 0.268 0.000 0.013 0.010 0.000 0.012
235 0.747 0.167 0.000 0.027 0.027 0.000 0.033
240 0.556 0.216 0.004 0.094 0.092 0.000 0.039
245 0.451 0.269 0.023 0.071 0.157 0.000 0.030
250 0.426 0.260 0.012 0.139 0.132 0.000 0.031
255 0.540 0.196 0.000 0.157 0.075 0.000 0.031
260 0.594 0.193 0.000 0.126 0.057 0.000 0.030
265 0.642 0.195 0.000 0.068 0.075 0.000 0.020
270 0.612 0.228 0.000 0.050 0.090 0.000 0.020
275 0.552 0.268 0.000 0.040 0.120 0.000 0.020
280 0.542 0.317 0.000 0.020 0.092 0.000 0.030
285 0.521 0.329 0.000 0.041 0.090 0.000 0.019
290 0.560 0.317 0.000 0.054 0.040 0.000 0.028
295 0.554 0.303 0.000 0.055 0.068 0.000 0.021
300 0.573 0.283 0.000 0.048 0.065 0.000 0.031
305 0.679 0.095 0.000 0.064 0.136 0.000 0.027
310 0.647 0.064 0.000 0.066 0.202 0.000 0.021
315 0.772 0.046 0.000 0.053 0.109 0.000 0.020
320 0.532 0.158 0.000 0.187 0.100 0.000 0.023
325 0.556 0.282 0.000 0.103 0.060 0.000 0.000
330 0.521 0.394 0.000 0.026 0.059 0.000 0.000
335 0.597 0.301 0.000 0.055 0.048 0.000 0.000
340 0.667 0.220 0.000 0.019 0.095 0.000 0.000
345 0.753 0.179 0.000 0.000 0.068 0.000 0.000
350 0.715 0.136 0.000 0.050 0.099 0.000 0.000
355 0.610 0.150 0.000 0.037 0.203 0.000 0.000
