Year	DOY	Hour	Min	 Dectime	   Kdown	     Kup	   Ldown	     Lup	   Tsurf	      QN	      QF	      QS	      QH	      QE	 QHlumps	 QElumps	 QHresis	    Rain	     Irr	    Evap	      RO	   TotCh	  SurfCh	   State	NWtrState	Drainage	     SMD	  FlowCh	AddWater	  ROSoil	  ROPipe	   ROImp	   ROVeg	 ROWater	   WUInt	 WUEveTr	 WUDecTr	 WUGrass	SMDPaved	SMDBldgs	SMDEveTr	SMDDecTr	SMDGrass	SMDBSoil	 StPaved	 StBldgs	 StEveTr	 StDecTr	 StGrass	 StBSoil	 StWater	  Zenith	 Azimuth	 AlbBulk	    Fcld	     LAI	     z0m	     zdm	   UStar	     Lob	      RA	      RS	      Fc	 FcPhoto	 FcRespi	 FcMetab	 FcTraff	 FcBuild	 FcPoint	QNSnowFr	  QNSnow	 AlbSnow	      QM	QMFreeze	  QMRain	     SWE	MeltWater	MeltWStore	  SnowCh	SnowRPaved	SnowRBldgs	      Ts	      T2	      Q2	     U10	     RH2
2018	  1	   1	  0	  0.0417	  0.0000	  0.0000	306.5357	342.4049	  6.0458	-35.8692	  2.6051	-44.5040	  2.6310	  8.6089	  6.8689	  4.3709	  1.2577	  0.0000	  0.0000	  0.0125	  0.0601	 -0.0726	 -0.0726	  2.8077	   1.1629	  0.0629	  0.0097	  0.0000	  0.0000	  0.0000	  0.0601	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0115	  0.0115	-999.0000	  0.0000	  0.0000	-999.0000	  0.0742	  0.0418	-999.0000	  6.6390	  7.1606	-999.0000	823.5613	140.5695	 39.7837	  0.1087	  0.5386	  0.4180	  0.7304	  5.1130	  0.3448	-1401.2365	 63.3440	9999.9999	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	-35.8692	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	   0.0000	    0.0000	  0.0000	    0.0000	    0.0000	  6.1797	  6.0548	  5.0383	  1.9948	 84.7100
2018	  1	   2	  0	  0.0833	  0.0000	  0.0000	306.4793	343.1980	  6.2167	-36.7186	  2.2598	-44.8252	  1.0044	  9.3620	  6.0954	  4.2710	 -0.5867	  0.0000	  0.0000	  0.0135	  0.0541	 -0.0676	 -0.0676	  2.7401	   1.0952	  0.0566	  0.0097	  0.0000	  0.0000	  0.0000	  0.0541	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0115	  0.0115	-999.0000	  0.0000	  0.0000	-999.0000	  0.0674	  0.0341	-999.0000	  6.2769	  6.7558	-999.0000	823.5152	134.5278	 58.2195	  0.1087	  0.5289	  0.4180	  0.7304	  5.1130	  0.4073	-4600.6051	 56.4041	9999.9999	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	-36.7186	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	   0.0000	    0.0000	  0.0000	    0.0000	    0.0000	  6.2639	  6.2201	  5.0400	  2.3146	 83.7520
2018	  1	   3	  0	  0.1250	  0.0000	  0.0000	308.2893	344.1566	  6.4000	-35.8673	  2.6679	-44.2966	  1.9186	  9.1785	  6.7289	  4.3682	  0.1481	  0.0000	  0.0000	  0.0133	  0.0487	 -0.0620	 -0.0620	  2.6781	   1.0332	  0.0510	  0.0097	  0.0000	  0.0000	  0.0000	  0.0487	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0115	  0.0115	-999.0000	  0.0000	  0.0000	-999.0000	  0.0616	  0.0276	-999.0000	  5.9419	  6.3830	-999.0000	823.4674	127.2279	 73.7347	  0.1087	  0.5384	  0.4180	  0.7304	  5.1130	  0.4393	-4294.5462	 52.9523	9999.9999	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	-35.8673	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	   0.0000	    0.0000	  0.0000	    0.0000	    0.0000	  6.4825	  6.4058	  5.1420	  2.5024	 84.3279
2018	  1	   4	  0	  0.1667	  0.0000	  0.0000	309.5755	343.9769	  6.3458	-34.4014	  3.8292	-43.3978	  5.0889	  7.7366	  8.2465	  4.5791	  3.4434	  0.0000	  0.0000	  0.0112	  0.0442	 -0.0554	 -0.0554	  2.6227	   0.9778	  0.0462	  0.0097	  0.0000	  0.0000	  0.0000	  0.0442	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0115	  0.0115	-999.0000	  0.0000	  0.0000	-999.0000	  0.0572	  0.0228	-999.0000	  5.6380	  6.0455	-999.0000	823.4253	119.3514	 87.2967	  0.1087	  0.5550	  0.4180	  0.7304	  5.1130	  0.3821	-1045.9550	 58.3271	9999.9999	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	-34.4014	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	   0.0000	    0.0000	  0.0000	    0.0000	    0.0000	  6.5864	  6.3596	  5.2109	  2.1852	 85.6749
2018	  1	   5	  0	  0.2083	  0.0000	  0.0000	310.8092	344.5926	  6.4625	-33.7834	  5.3357	-42.9885	  7.3480	  7.1928	  9.7435	  4.7972	  5.7221	  0.0000	  0.0000	  0.0104	  0.0402	 -0.0507	 -0.0507	  2.5720	   0.9271	  0.0421	  0.0097	  0.0000	  0.0000	  0.0000	  0.0402	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0115	  0.0115	-999.0000	  0.0000	  0.0000	-999.0000	  0.0535	  0.0188	-999.0000	  5.3578	  5.7355	-999.0000	823.3849	111.3861	 99.7607	  0.1087	  0.5619	  0.4180	  0.7304	  5.1130	  0.3472	-505.4534	 61.9985	9999.9999	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	-33.7834	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	   0.0000	    0.0000	  0.0000	    0.0000	    0.0000	  6.8295	  6.4781	  5.2816	  1.9852	 86.0598
2018	  1	   6	  0	  0.2500	  0.0000	  0.0000	310.5930	343.9576	  6.3292	-33.3646	  6.8423	-42.7516	  9.5133	  6.7160	 11.2313	  4.9981	  7.9687	  0.0000	  0.0000	  0.0097	  0.0368	 -0.0465	 -0.0465	  2.5256	   0.8806	  0.0385	  0.0097	  0.0000	  0.0000	  0.0000	  0.0368	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0115	  0.0115	-999.0000	  0.0000	  0.0000	-999.0000	  0.0503	  0.0156	-999.0000	  5.0990	  5.4499	-999.0000	823.3459	103.7147	111.7725	  0.1087	  0.5669	  0.4180	  0.7304	  5.1130	  0.3187	-308.6614	 65.3726	9999.9999	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	-33.3646	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	   0.0000	    0.0000	  0.0000	    0.0000	    0.0000	  6.8314	  6.3446	  5.2662	  1.8218	 86.5606
2018	  1	   7	  0	  0.2917	  0.0102	  0.0011	308.6280	341.5179	  5.8293	-32.8809	  8.3488	-42.5067	  2.8655	 15.1091	 12.7944	  5.1802	  1.9025	  0.7000	  0.0000	  0.0219	  0.2957	  0.3824	  0.3824	  2.9080	   1.2625	  0.3096	  0.0097	  0.0000	  0.0000	  0.0000	  0.2957	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0115	  0.0115	-999.0000	  0.0000	  0.0000	-999.0000	  0.4101	  0.4011	-999.0000	  5.5431	  5.9128	-999.0000	824.0148	 96.6468	123.8045	  0.1087	  0.5728	  0.4180	  0.7304	  5.1130	  0.2184	-438.6908	 90.1199	22661778.8355	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	-32.8809	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	   0.0000	    0.0000	  0.0000	    0.0000	    0.0000	  6.0092	  5.8349	  5.1702	  1.2466	 88.0341
2018	  1	   8	  0	  0.3333	  0.8167	  0.0888	304.8088	338.5422	  5.2335	-33.0055	  9.8554	-42.5908	 -2.3621	 21.8028	 14.1260	  5.3146	 -3.0279	  0.8000	  0.0000	  0.0315	  0.6613	  0.1072	  0.1072	  3.0152	   1.3684	  0.6935	  0.0097	  0.0000	  0.0000	  0.0000	  0.6613	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0115	  0.0115	-999.0000	  0.0000	  0.0000	-999.0000	  0.4318	  0.4238	-999.0000	  6.0493	  6.4915	-999.0000	824.7814	 89.8953	136.1867	  0.1087	  0.5642	  0.4180	  0.7304	  5.1130	  0.2589	 94.1023	 81.9924	6403943.7385	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	-33.0055	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	   0.0000	    0.0000	  0.0000	    0.0000	    0.0000	  5.0806	  5.2073	  4.9940	  1.4776	 88.8261
2018	  1	   9	  0	  0.3750	  6.2313	  0.6772	303.5670	335.1447	  4.5098	-26.0237	 10.9539	-39.0064	  3.1478	 20.7888	 18.1596	  5.7770	  2.1727	  0.5000	  0.0000	  0.0300	  0.4899	 -0.0199	 -0.0199	  2.9953	   1.3475	  0.5136	  0.0097	  0.0000	  0.0000	  0.0000	  0.4899	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0115	  0.0115	-999.0000	  0.0000	  0.0000	-999.0000	  0.3693	  0.3609	-999.0000	  6.2274	  6.7064	-999.0000	825.2476	 85.4153	149.1048	  0.1087	  0.5945	  0.4180	  0.7304	  5.1130	  0.3298	-760.7697	 65.3240	125375.8881	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	-26.0237	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	   0.0000	    0.0000	  0.0000	    0.0000	    0.0000	  4.5775	  4.4182	  4.8687	  1.8817	 91.5260
2018	  1	  10	  0	  0.4167	 16.2662	  1.7677	303.9004	333.0100	  4.0385	-14.6111	 11.7072	-32.7831	 14.4796	 15.3996	 23.4811	  6.3981	 13.1732	  0.1000	  0.0000	  0.0222	  0.2280	 -0.1502	 -0.1502	  2.8451	   1.1968	  0.2389	  0.0097	  0.0000	  0.0000	  0.0000	  0.2280	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0115	  0.0115	-999.0000	  0.0000	  0.0000	-999.0000	  0.2333	  0.2214	-999.0000	  6.0103	  6.4811	-999.0000	825.3182	 82.2004	162.5770	  0.1087	  0.6327	  0.4180	  0.7304	  5.1130	  0.2723	-136.3737	 70.9446	43542.4866	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	-14.6111	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	   0.0000	    0.0000	  0.0000	    0.0000	    0.0000	  4.6097	  3.8010	  4.8223	  1.4898	 94.6564
