Year	DOY	Hour	Min	 Dectime	 azimuth	altitude	GlobalRad	DiffuseRad	DirectRad	 Kdown2d	   Kup2d	  Ksouth	   Kwest	  Knorth	   Keast	 Ldown2d	   Lup2d	  Lsouth	   Lwest	  Lnorth	   Least	    Tmrt	      I0	      CI	SH_Ground	SH_Walls	SVF_Ground	SVF_Roof	SVF_BdVeg	Emis_Sky	      Ta	      Tg	      Tw
2018	  1	   1	  0	  0.0417	 30.0157	-52.5773	   0.0000	    0.0000	   0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	303.7770	321.3703	312.9546	312.9546	312.9546	312.9546	 -0.5983	 51.3230	  0.5152	   0.0000	  0.0000	    0.9022	  0.9557	   0.9022	  0.7607	  6.0458	  0.0000	  0.0000
2018	  1	   2	  0	  0.0833	 50.0258	-47.4493	   0.0000	    0.0000	   0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	304.5127	322.1579	313.7186	313.7186	313.7186	313.7186	 -0.4322	 51.3237	  0.5152	   0.0000	  0.0000	    0.9022	  0.9557	   0.9022	  0.7606	  6.2167	  0.0000	  0.0000
2018	  1	   3	  0	  0.1250	 66.8082	-40.6599	   0.0000	    0.0000	   0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	305.5552	323.0041	314.6227	314.6227	314.6227	314.6227	 -0.2348	 51.2966	  0.5152	   0.0000	  0.0000	    0.9022	  0.9557	   0.9022	  0.7620	  6.4000	  0.0000	  0.0000
2018	  1	   4	  0	  0.1667	 81.1890	-32.9992	   0.0000	    0.0000	   0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	305.4905	322.7538	314.4358	314.4358	314.4358	314.4358	 -0.2746	 51.2791	  0.5152	   0.0000	  0.0000	    0.9022	  0.9557	   0.9022	  0.7630	  6.3458	  0.0000	  0.0000
2018	  1	   5	  0	  0.2083	 94.0938	-25.0389	   0.0000	    0.0000	   0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	306.1665	323.2932	315.0159	315.0159	315.0159	315.0159	 -0.1481	 51.2618	  0.5152	   0.0000	  0.0000	    0.9022	  0.9557	   0.9022	  0.7640	  6.4625	  0.0000	  0.0000
2018	  1	   6	  0	  0.2500	106.2681	-17.2006	   0.0000	    0.0000	   0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	305.5520	322.6773	314.4055	314.4055	314.4055	314.4055	 -0.2806	 51.2669	  0.5152	   0.0000	  0.0000	    0.9022	  0.9557	   0.9022	  0.7638	  6.3292	  0.0000	  0.0000
2018	  1	   7	  0	  0.2917	118.2560	 -9.8373	   0.0102	    0.0000	   0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	303.0880	320.3744	312.0680	312.0680	312.0680	312.0680	 -0.7905	 51.2991	  0.5154	   0.0000	  0.0000	    0.9022	  0.9557	   0.9022	  0.7622	  5.8292	  0.0000	  0.0000
2018	  1	   8	  0	  0.3333	130.4559	 -2.7926	   0.8167	    0.2212	   0.1179	  0.1144	  0.0098	  0.0493	  0.0493	  0.0493	  0.0493	295.8678	317.5896	307.8416	307.7916	307.7916	307.8416	 -1.7395	 47.2752	  0.5672	   0.0000	  0.0012	    0.9022	  0.9557	   0.9022	  0.7593	  5.2208	  0.2248	  0.0000
2018	  1	   9	  0	  0.3750	143.1168	  2.5858	   6.2313	    1.3242	   6.1799	  5.9932	  0.5113	  2.5057	  2.5051	  2.5051	  2.5055	283.7717	313.9255	301.4224	300.8260	300.8260	301.4224	 -2.8468	 51.5325	  0.6750	   0.0012	  0.1144	    0.9022	  0.9557	   0.9022	  0.7581	  4.4125	  1.7936	  0.0000
2018	  1	  10	  0	  0.4167	156.3405	  6.4631	  16.2662	    0.7712	  16.1771	 15.6748	  1.3390	  6.5617	  6.4964	  6.4964	  6.5233	294.0952	311.7021	303.2688	302.6777	302.6777	303.2688	 -1.7088	126.3961	  0.5090	   0.0899	  0.2285	    0.9022	  0.9557	   0.9022	  0.7580	  3.7833	  1.5393	  0.0000
2018	  1	  11	  0	  0.4583	170.0459	  8.7424	  32.0131	    3.5561	  31.4572	 30.8646	  2.6077	 12.9837	 12.6343	 12.6343	 12.6771	293.6113	312.1903	303.4182	302.8264	302.8264	303.4182	 -0.6602	170.2939	  0.5217	   0.0957	  0.2853	    0.9022	  0.9557	   0.9022	  0.7588	  3.8708	  1.6608	  0.0000
2018	  1	  12	  0	  0.5000	183.9842	  9.1570	  59.6831	   17.3647	  56.9140	 57.6119	  4.7370	 24.7029	 22.9965	 22.8692	 22.8764	284.4112	314.2090	301.6796	301.5311	301.0845	301.2330	  0.6472	178.2195	  0.6631	   0.1075	  0.2947	    0.9022	  0.9557	   0.9022	  0.7594	  4.2625	  2.0041	  0.0000
2018	  1	  13	  0	  0.5417	197.8287	  7.6670	  32.1450	    5.2543	  31.4187	 30.9985	  2.6058	 13.0974	 12.7638	 12.6233	 12.6233	292.5538	314.8713	304.8000	304.8000	304.2036	304.2036	 -0.3669	149.4906	  0.5675	   0.0984	  0.2588	    0.9022	  0.9557	   0.9022	  0.7602	  4.4000	  2.2581	  0.0000
2018	  1	  14	  0	  0.5833	211.2808	  4.4248	  14.1929	    2.4073	  14.0056	 13.6813	  1.1594	  5.7267	  5.6923	  5.6566	  5.6566	291.1938	315.2057	304.6674	304.6674	304.0692	304.0692	 -1.5688	 86.8790	  0.6033	   0.0306	  0.1736	    0.9022	  0.9557	   0.9022	  0.7628	  4.6167	  2.9483	  0.0000
2018	  1	  15	  0	  0.6250	224.1881	 -0.1323	   2.7698	    1.5171	   2.0904	  2.0467	  0.1730	  0.8484	  0.8484	  0.8484	  0.8484	286.9807	317.1522	304.6896	304.6896	304.3893	304.3893	 -2.3707	 37.3937	  0.6906	   0.0000	  0.0318	    0.9022	  0.9557	   0.9022	  0.7656	  5.1250	  2.5869	  0.0007
2018	  1	  16	  0	  0.6667	236.5669	 -6.8128	   0.1985	    0.0000	   0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	301.6827	318.4071	310.3022	310.3022	310.3022	310.3022	 -1.1744	 51.2173	  0.5191	   0.0000	  0.0000	    0.9022	  0.9557	   0.9022	  0.7666	  5.4000	  0.0000	  0.0000
2018	  1	  17	  0	  0.7083	248.6105	-13.9372	   0.0031	    0.0000	   0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	301.2790	317.9121	309.8414	309.8414	309.8414	309.8414	 -1.2752	 51.2413	  0.5153	   0.0000	  0.0000	    0.9022	  0.9557	   0.9022	  0.7653	  5.2917	  0.0000	  0.0000
2018	  1	  18	  0	  0.7500	260.6545	-21.6069	   0.0000	    0.0000	   0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	301.3079	317.9882	309.9013	309.9013	309.9013	309.9013	 -1.2622	 51.2450	  0.5152	   0.0000	  0.0000	    0.9022	  0.9557	   0.9022	  0.7650	  5.3083	  0.0000	  0.0000
2018	  1	  19	  0	  0.7917	273.1722	-29.5556	   0.0000	    0.0000	   0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	301.4283	318.1595	310.0544	310.0544	310.0544	310.0544	 -1.2289	 51.2482	  0.5152	   0.0000	  0.0000	    0.9022	  0.9557	   0.9022	  0.7647	  5.3458	  0.0000	  0.0000
2018	  1	  20	  0	  0.8333	286.8203	-37.3976	   0.0000	    0.0000	   0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	300.2932	317.2087	309.0505	309.0505	309.0505	309.0505	 -1.4503	 51.2742	  0.5152	   0.0000	  0.0000	    0.9022	  0.9557	   0.9022	  0.7633	  5.1375	  0.0000	  0.0000
2018	  1	  21	  0	  0.8750	302.4579	-44.6370	   0.0000	    0.0000	   0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	300.6275	317.5699	309.3999	309.3999	309.3999	309.3999	 -1.3736	 51.2737	  0.5152	   0.0000	  0.0000	    0.9022	  0.9557	   0.9022	  0.7633	  5.2167	  0.0000	  0.0000
