Year	DOY	Hour	Min	 Dectime	   Kdown	     Kup	   Ldown	     Lup	   Tsurf	      QN	      QF	      QS	      QH	      QE	    Rain	     Irr	    Evap	      RO	   TotCh	  SurfCh	   State	NWtrState	Drainage	     SMD	  Zenith	 Azimuth	 AlbBulk	    Fcld	     LAI	   UStar	     Lob	      Fc	      Ts	      T2	      Q2	     U10	     RH2
2017	  1	   1	  0	  0.0417	  0.0000	  0.0000	329.8204	351.2125	  7.6833	-21.3922	  5.8114	-43.5017	 14.1585	 13.7625	  0.6000	  0.0000	  0.0200	  0.2383	  0.3417	  0.3417	 27.4228	   0.4345	  0.2358	  0.0000	140.5650	 39.7508	  0.1088	  0.7065	  0.2312	  0.5827	-1325.4480	  0.0000	  8.1791	  7.7430	  6.2823	  1.5753	 95.7377
2017	  1	   2	  0	  0.0833	  0.0000	  0.0000	328.8389	350.0345	  7.4458	-21.1956	  5.0412	-42.6802	  9.7765	 16.7492	  0.4000	  0.0000	  0.0243	  0.3460	  0.0297	  0.0297	 27.4525	   0.4651	  0.3553	  0.0000	134.5250	 58.1896	  0.1088	  0.7094	  0.2312	  0.5277	-1358.2113	  0.0000	  7.8200	  7.4923	  6.2266	  1.4248	 96.4758
2017	  1	   3	  0	  0.1250	  0.0000	  0.0000	327.1709	349.2033	  7.2917	-22.0325	  5.9515	-42.7724	 12.8131	 13.8783	  0.0000	  0.0000	  0.0201	  0.1192	 -0.1394	 -0.1394	 27.3132	   0.3228	  0.1261	  0.0000	127.2252	 73.7072	  0.1088	  0.6990	  0.2312	  0.5310	-1072.6425	  0.0000	  7.7780	  7.3506	  6.1199	  1.4437	 95.7082
2017	  1	   4	  0	  0.1667	  0.0000	  0.0000	323.0526	348.2500	  7.1458	-25.1974	  8.5421	-44.4642	 14.8688	 12.9401	  0.0000	  0.0000	  0.0187	  0.0285	 -0.0473	 -0.0473	 27.2659	   0.2753	  0.0301	  0.0000	119.3477	 87.2706	  0.1088	  0.6598	  0.2312	  0.5464	-990.2761	  0.0000	  7.6977	  7.2120	  5.8911	  1.4888	 92.9885
2017	  1	   5	  0	  0.2083	  0.0000	  0.0000	319.5888	347.5547	  7.0458	-27.9659	 11.9029	-46.0768	 16.8799	 13.1339	  0.0000	  0.0000	  0.0190	  0.0132	 -0.0323	 -0.0323	 27.2336	   0.2436	  0.0140	  0.0000	111.3805	 99.7352	  0.1088	  0.6261	  0.2312	  0.5397	-846.7847	  0.0000	  7.6773	  7.1204	  5.7032	  1.4791	 90.5801
2017	  1	   6	  0	  0.2500	  0.0000	  0.0000	317.7322	346.4623	  6.8375	-28.7302	 15.2637	-46.4501	 20.8503	 12.1333	  0.0000	  0.0000	  0.0176	  0.0076	 -0.0252	 -0.0252	 27.2085	   0.2191	  0.0080	  0.0000	103.7066	111.7471	  0.1088	  0.6171	  0.2312	  0.5137	-589.6356	  0.0000	  7.6416	  6.9220	  5.5896	  1.4040	 89.9838
2017	  1	   7	  0	  0.2917	  0.1356	  0.0147	313.9160	344.3256	  6.4313	-30.2888	 18.6245	-47.2684	 24.7108	 10.8933	  0.0000	  0.0000	  0.0158	  0.0049	 -0.0207	 -0.0207	 27.1878	   0.1993	  0.0052	  0.0000	 96.6353	123.7792	  0.1088	  0.5977	  0.2312	  0.4239	-290.6451	  0.0000	  7.5165	  6.5052	  5.3603	  1.1556	 88.8072
2017	  1	   8	  0	  0.3333	  2.4271	  0.2640	308.0771	342.7927	  6.1834	-32.5524	 21.9854	-48.5769	 27.2731	 10.7367	  0.0000	  0.0000	  0.0155	  0.0034	 -0.0189	 -0.0189	 27.1689	   0.1815	  0.0036	  0.0000	 89.8830	136.1616	  0.1088	  0.5498	  0.2312	  0.3453	-136.4089	  0.0000	  7.4947	  6.2004	  5.0333	  0.9799	 85.2015
2017	  1	   9	  0	  0.3750	 15.6813	  1.7054	304.6116	342.7976	  6.2342	-24.2102	 24.4360	-43.4977	 33.0020	 10.7214	  0.0000	  0.0000	  0.0155	  0.0025	 -0.0180	 -0.0180	 27.1509	   0.1648	  0.0026	  0.0000	 85.3973	149.0805	  0.1088	  0.5212	  0.2312	  0.2987	-75.4174	  0.0000	  7.7442	  6.0449	  4.8421	  0.8915	 82.8839
2017	  1	  10	  0	  0.4167	 45.8740	  4.9890	302.4918	343.6408	  6.4473	 -0.2641	 26.1164	-28.5917	 43.8919	 10.5521	  0.0000	  0.0000	  0.0153	  0.0013	 -0.0165	 -0.0165	 27.1344	   0.1498	  0.0013	  0.0000	 82.1785	162.5543	  0.1088	  0.5122	  0.2312	  0.2391	-28.9916	  0.0000	  8.2558	  5.8075	  4.7244	  0.7188	 82.2462
