Year	DOY	Hour	Min	 Dectime	 azimuth	altitude	GlobalRad	DiffuseRad	DirectRad	 Kdown2d	   Kup2d	  Ksouth	   Kwest	  Knorth	   Keast	 Ldown2d	   Lup2d	  Lsouth	   Lwest	  Lnorth	   Least	    Tmrt	      I0	      CI	SH_Ground	SH_Walls	SVF_Ground	SVF_Roof	SVF_BdVeg	Emis_Sky	      Ta	      Tg	      Tw
2017	  1	   1	  0	  0.0417	 29.9651	-52.5640	   0.0000	    0.0000	   0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	315.4070	326.7244	321.3854	321.3854	321.3854	321.3854	  1.2208	 51.1296	  0.5147	   0.0000	  0.0000	    0.7698	  0.9210	   0.7698	  0.7786	  7.6833	  0.0000	  0.0000
2017	  1	   2	  0	  0.0833	 49.9774	-47.4417	   0.0000	    0.0000	   0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	314.1927	325.6202	320.2677	320.2677	320.2677	320.2677	  0.9809	 51.1481	  0.5147	   0.0000	  0.0000	    0.7698	  0.9210	   0.7698	  0.7777	  7.4458	  0.0000	  0.0000
2017	  1	   3	  0	  0.1250	 66.7642	-40.6562	   0.0000	    0.0000	   0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	313.2859	324.9053	319.5183	319.5183	319.5183	319.5183	  0.8188	 51.1735	  0.5147	   0.0000	  0.0000	    0.7698	  0.9210	   0.7698	  0.7764	  7.2917	  0.0000	  0.0000
2017	  1	   4	  0	  0.1667	 81.1494	-32.9979	   0.0000	    0.0000	   0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	312.1259	324.2299	318.7459	318.7459	318.7459	318.7459	  0.6493	 51.2308	  0.5147	   0.0000	  0.0000	    0.7698	  0.9210	   0.7698	  0.7734	  7.1458	  0.0000	  0.0000
2017	  1	   5	  0	  0.2083	 94.0575	-25.0385	   0.0000	    0.0000	   0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	311.2494	323.7675	318.1995	318.1995	318.1995	318.1995	  0.5287	 51.2795	  0.5147	   0.0000	  0.0000	    0.7698	  0.9210	   0.7698	  0.7708	  7.0458	  0.0000	  0.0000
2017	  1	   6	  0	  0.2500	106.2341	-17.2002	   0.0000	    0.0000	   0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	310.0815	322.8058	317.2026	317.2026	317.2026	317.2026	  0.3123	 51.3080	  0.5147	   0.0000	  0.0000	    0.7698	  0.9210	   0.7698	  0.7693	  6.8375	  0.0000	  0.0000
2017	  1	   7	  0	  0.2917	118.2236	 -9.8357	   0.1356	    0.0000	   0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	307.5844	320.9271	315.2092	315.2092	315.2092	315.2092	 -0.1237	 51.3658	  0.5173	   0.0000	  0.0000	    0.7698	  0.9210	   0.7698	  0.7663	  6.4292	  0.0000	  0.0000
2017	  1	   8	  0	  0.3333	130.4247	 -2.7889	   2.4271	    0.0000	   0.5329	  0.4995	  0.0392	  0.1707	  0.1707	  0.1707	  0.1707	299.8690	319.6277	312.5562	312.3649	312.3649	312.5562	 -0.7397	 47.3674	  0.5919	   0.0000	  0.0004	    0.7698	  0.9210	   0.7698	  0.7618	  6.1458	  0.2211	  0.0000
2017	  1	   9	  0	  0.3750	143.0866	  2.5915	  15.6813	   13.2027	  14.5000	 14.2265	  1.0693	  4.6781	  4.6781	  4.6781	  4.6781	280.1340	318.9226	307.8491	305.5570	305.5570	307.8491	 -1.3520	 51.5806	  0.8308	   0.0000	  0.0349	    0.7698	  0.9210	   0.7698	  0.7591	  5.9917	  1.8869	  0.0000
2017	  1	  10	  0	  0.4167	156.3114	  6.4722	  45.8740	   24.9368	  42.9609	 43.2074	  3.1773	 14.6612	 13.7811	 13.7811	 14.1357	285.7809	318.0670	308.2667	305.9829	305.9829	308.2667	  0.3860	126.4689	  0.7416	   0.0391	  0.1049	    0.7698	  0.9210	   0.7698	  0.7575	  5.7375	  1.7075	  0.0000
2017	  1	  11	  0	  0.4583	170.0185	  8.7551	  67.1215	   48.4295	  59.7578	 63.4393	  4.4154	 19.5606	 19.3410	 19.3410	 19.3563	285.7291	317.4363	307.8285	305.5475	305.5475	307.8285	  1.2177	170.6626	  0.7285	   0.0058	  0.1179	    0.7698	  0.9210	   0.7698	  0.7544	  5.6542	  2.0226	  0.0000
2017	  1	  12	  0	  0.5000	183.9592	  9.1734	  70.1908	   46.6504	  62.8267	 66.3165	  4.6561	 21.4655	 20.2592	 20.2375	 20.2531	284.2411	316.5365	306.7181	306.1483	304.4462	305.0160	  1.1643	179.0067	  0.7208	   0.0460	  0.1285	    0.7698	  0.9210	   0.7698	  0.7503	  5.3750	  2.2778	  0.0000
2017	  1	  13	  0	  0.5417	197.8068	  7.6867	  78.2817	  174.8522	  54.8872	 75.0356	  4.1524	 23.6237	 20.3728	 18.2292	 18.2292	269.8058	315.2833	302.6106	302.6106	300.3494	300.3494	  0.2038	150.5319	  0.8746	   0.0359	  0.1141	    0.7698	  0.9210	   0.7698	  0.7467	  5.0458	  3.9986	  0.0000
2017	  1	  14	  0	  0.5833	211.2621	  4.4470	  33.4306	   41.5280	  29.7048	 31.6008	  2.1968	  9.9330	  9.7663	  9.6184	  9.6184	271.6907	311.7847	300.4431	300.4431	298.2027	298.2027	 -2.1069	 87.8417	  0.8131	   0.0032	  0.0642	    0.7698	  0.9210	   0.7698	  0.7447	  4.4042	  3.3742	  0.0000
2017	  1	  15	  0	  0.6250	224.1727	 -0.1072	   7.1273	   19.9883	   4.0398	  4.3479	  0.2999	  1.3304	  1.3304	  1.3304	  1.3304	269.0526	306.5792	295.8950	295.8950	294.7898	294.7897	 -4.4762	 37.9934	  0.7821	   0.0000	  0.0098	    0.7698	  0.9210	   0.7698	  0.7436	  3.2500	  2.8854	  0.0015
2017	  1	  16	  0	  0.6667	236.5543	 -6.7836	   0.5750	    0.0000	   0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	284.3127	301.2897	294.9746	294.9746	294.9746	294.9746	 -4.6503	 51.8551	  0.5258	   0.0000	  0.0000	    0.7698	  0.9210	   0.7698	  0.7421	  2.0500	  0.0000	  0.0000
2017	  1	  17	  0	  0.7083	248.6001	-13.9085	   0.0052	    0.0000	   0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	281.5311	297.7088	291.5959	291.5959	291.5959	291.5959	 -5.4173	 51.8912	  0.5148	   0.0000	  0.0000	    0.7698	  0.9210	   0.7698	  0.7404	  1.2292	  0.0000	  0.0000
2017	  1	  18	  0	  0.7500	260.6454	-21.5769	   0.0000	    0.0000	   0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	279.9093	296.0123	289.9305	289.9305	289.9305	289.9305	 -5.8005	 51.8955	  0.5147	   0.0000	  0.0000	    0.7698	  0.9210	   0.7698	  0.7403	  0.8375	  0.0000	  0.0000
2017	  1	  19	  0	  0.7917	273.1634	-29.5246	   0.0000	    0.0000	   0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	278.1356	294.2519	288.1831	288.1831	288.1831	288.1831	 -6.2052	 51.9112	  0.5147	   0.0000	  0.0000	    0.7698	  0.9210	   0.7698	  0.7396	  0.4292	  0.0000	  0.0000
