1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25
Code	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23
60240880.0	0.40000000759999993	0.29999999969999996	0.29999999969999996	0.40000000759999993	0.5999999993999999	0.7999999912	1.000000007	1.1999999987999999	1.3999999906	1.4999999984999999	1.6000000063999997	1.6000000063999997	1.6000000063999997	1.6000000063999997	1.4999999984999999	1.3999999906	1.1999999987999999	1.0999999908999998	1.000000007	0.8999999991	0.7999999912	0.7000000072999999	0.5999999993999999	0.49999999149999996
60240881.0	0.10000000810000001	0.10000000810000001	0.1999999922	0.4999999925	0.7999999928	1.000000009	1.3999999934	1.6999999937	1.5000000015000001	1.3999999934	1.3000000093000001	1.3000000093000001	1.3999999934	1.5000000015000001	1.6000000096000002	1.6999999937	1.8000000018	1.3999999934	1.000000009	0.7999999928	0.6000000006000001	0.40000000840000005	0.30000000030000007	0.1999999922
60240420.0	1.0	1.0	1.0	1.0	1.0	1.5	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.5	1.0	1.0
60240421.0	1.0	1.0	1.0	1.0	1.0	1.5	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.5	1.0	1.0
60240006.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
60240007.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
60240000.0	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.12	0.12	0.12	0.12	0.03	0.03	0.03	0.03
60240001.0	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.05	0.05	0.05	0.05	0.04	0.04	0.04	0.04
-9.0																								
-9.0																								
