Year	DOY	Hour	Min	 Dectime	 azimuth	altitude	GlobalRad	DiffuseRad	DirectRad	 Kdown2d	   Kup2d	  Ksouth	   Kwest	  Knorth	   Keast	 Ldown2d	   Lup2d	  Lsouth	   Lwest	  Lnorth	   Least	    Tmrt	      I0	      CI	SH_Ground	SH_Walls	SVF_Ground	SVF_Roof	SVF_BdVeg	Emis_Sky	      Ta	      Tg	      Tw
2018	  1	   1	  0	  0.0417	 30.0402	-52.5658	   0.0000	    0.0000	   0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	303.4997	326.6763	315.2788	315.2788	315.2788	315.2788	 -0.0886	 51.3169	  0.5152	   0.0000	  0.0000	    0.9326	  0.9629	   0.9326	  0.7607	  6.0458	  0.0000	  0.0000
2018	  1	   2	  0	  0.0833	 50.0444	-47.4365	   0.0000	    0.0000	   0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	304.2347	327.4769	316.0481	316.0481	316.0481	316.0481	  0.0777	 51.3177	  0.5152	   0.0000	  0.0000	    0.9326	  0.9629	   0.9326	  0.7606	  6.2167	  0.0000	  0.0000
2018	  1	   3	  0	  0.1250	 66.8232	-40.6472	   0.0000	    0.0000	   0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	305.2780	328.3370	316.9694	316.9694	316.9694	316.9694	  0.2775	 51.2905	  0.5152	   0.0000	  0.0000	    0.9326	  0.9629	   0.9326	  0.7620	  6.4000	  0.0000	  0.0000
2018	  1	   4	  0	  0.1667	 81.2026	-32.9875	   0.0000	    0.0000	   0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	305.2147	328.0826	316.7884	316.7884	316.7884	316.7884	  0.2390	 51.2730	  0.5152	   0.0000	  0.0000	    0.9326	  0.9629	   0.9326	  0.7630	  6.3458	  0.0000	  0.0000
2018	  1	   5	  0	  0.2083	 94.1072	-25.0287	   0.0000	    0.0000	   0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	305.8914	328.6309	317.3800	317.3800	317.3800	317.3800	  0.3671	 51.2558	  0.5152	   0.0000	  0.0000	    0.9326	  0.9629	   0.9326	  0.7640	  6.4625	  0.0000	  0.0000
2018	  1	   6	  0	  0.2500	106.2821	-17.1924	   0.0000	    0.0000	   0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	305.2773	328.0049	316.7636	316.7636	316.7636	316.7636	  0.2340	 51.2608	  0.5152	   0.0000	  0.0000	    0.9326	  0.9629	   0.9326	  0.7638	  6.3292	  0.0000	  0.0000
2018	  1	   7	  0	  0.2917	118.2710	 -9.8312	   0.0102	    0.0000	   0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	302.8133	325.6639	314.3965	314.3965	314.3965	314.3965	 -0.2791	 51.2930	  0.5154	   0.0000	  0.0000	    0.9326	  0.9629	   0.9326	  0.7622	  5.8292	  0.0000	  0.0000
2018	  1	   8	  0	  0.3333	130.4722	 -2.7886	   0.8167	    0.2212	   0.1161	  0.1129	  0.0099	  0.0510	  0.0510	  0.0510	  0.0510	295.5645	322.8331	309.9414	309.9149	309.9149	309.9414	 -1.2663	 47.2732	  0.5672	   0.0000	  0.0021	    0.9326	  0.9629	   0.9326	  0.7593	  5.2208	  0.2247	  0.0000
2018	  1	   9	  0	  0.3750	143.1344	  2.5865	   6.2313	    1.3229	   6.1800	  6.0179	  0.5234	  2.6808	  2.6621	  2.6621	  2.6753	283.4232	319.3358	303.2235	302.9080	302.9080	303.2235	 -2.3761	 51.5447	  0.6749	   0.0323	  0.1884	    0.9326	  0.9629	   0.9326	  0.7581	  4.4125	  1.7930	  0.0000
2018	  1	  10	  0	  0.4167	156.3589	  6.4608	  16.2662	    0.7727	  16.1769	 15.7395	  1.3711	  7.0012	  6.8968	  6.8968	  6.9396	293.8213	317.2213	305.7122	305.3995	305.3995	305.7122	 -1.0817	126.3530	  0.5091	   0.1428	  0.3433	    0.9326	  0.9629	   0.9326	  0.7580	  3.7833	  1.5390	  0.0000
2018	  1	  11	  0	  0.4583	170.0647	  8.7372	  32.0131	    3.5635	  31.4564	 30.9898	  2.6736	 14.0376	 13.3653	 13.3653	 13.4474	293.3231	318.0136	305.9743	305.6612	305.6612	305.9743	  0.0417	170.1946	  0.5219	   0.1833	  0.4092	    0.9326	  0.9629	   0.9326	  0.7588	  3.8708	  1.6607	  0.0000
2018	  1	  12	  0	  0.5000	184.0028	  9.1491	  59.6831	   17.4158	  56.9082	 57.8358	  4.8708	 27.6502	 24.4142	 24.1711	 24.1844	284.0314	320.2701	303.8540	303.7754	303.5392	303.6177	  1.3960	178.0691	  0.6635	   0.2022	  0.4176	    0.9326	  0.9629	   0.9326	  0.7594	  4.2625	  2.0045	  0.0000
2018	  1	  13	  0	  0.5417	197.8468	  7.6570	  32.1450	    5.2740	  31.4169	 31.1233	  2.6717	 14.2185	 13.6190	 13.3762	 13.3762	292.2202	320.7655	307.2299	307.2299	306.9145	306.9145	  0.3161	149.2984	  0.5680	   0.1661	  0.3802	    0.9326	  0.9629	   0.9326	  0.7602	  4.4000	  2.2587	  0.0000
2018	  1	  14	  0	  0.5833	211.2982	  4.4135	  14.1929	    2.4302	  14.0045	 13.7372	  1.1875	  6.1735	  6.0997	  6.0061	  6.0061	290.8146	321.0480	306.9570	306.9570	306.6406	306.6406	 -0.9730	 86.6613	  0.6041	   0.0783	  0.2706	    0.9326	  0.9629	   0.9326	  0.7628	  4.6167	  2.9501	  0.0000
2018	  1	  15	  0	  0.6250	224.2051	 -0.1447	   2.7698	    1.5344	   2.0836	  2.0486	  0.1765	  0.9133	  0.9111	  0.9006	  0.9006	286.5560	322.4813	306.4192	306.4192	306.2603	306.2603	 -1.9476	 37.2802	  0.6920	   0.0049	  0.0550	    0.9326	  0.9629	   0.9326	  0.7656	  5.1250	  2.5940	  0.0005
2018	  1	  16	  0	  0.6667	236.5840	 -6.8266	   0.1985	    0.0000	   0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	301.4128	323.6641	312.6371	312.6371	312.6371	312.6371	 -0.6601	 51.2112	  0.5191	   0.0000	  0.0000	    0.9326	  0.9629	   0.9326	  0.7666	  5.4000	  0.0000	  0.0000
