Year	DOY	Hour	Min	 Dectime	   Kdown	     Kup	   Ldown	     Lup	   Tsurf	      QN	      QF	      QS	      QH	      QE	 QHlumps	 QElumps	 QHresis	    Rain	     Irr	    Evap	      RO	   TotCh	  SurfCh	   State	NWtrState	Drainage	     SMD	  FlowCh	AddWater	  ROSoil	  ROPipe	   ROImp	   ROVeg	 ROWater	   WUInt	 WUEveTr	 WUDecTr	 WUGrass	SMDPaved	SMDBldgs	SMDEveTr	SMDDecTr	SMDGrass	SMDBSoil	 StPaved	 StBldgs	 StEveTr	 StDecTr	 StGrass	 StBSoil	 StWater	  Zenith	 Azimuth	 AlbBulk	    Fcld	     LAI	     z0m	     zdm	   UStar	     Lob	      RA	      RS	      Fc	 FcPhoto	 FcRespi	 FcMetab	 FcTraff	 FcBuild	 FcPoint	QNSnowFr	  QNSnow	 AlbSnow	      QM	QMFreeze	  QMRain	     SWE	MeltWater	MeltWStore	  SnowCh	SnowRPaved	SnowRBldgs	      Ts	      T2	      Q2	     U10	     RH2
2018	  1	   1	  0	  0.0417	  0.0000	  0.0000	306.5357	341.9292	  6.0458	-35.3935	 29.4246	-40.3310	 21.9837	 12.3784	 26.7094	  7.6527	 20.2233	  0.0000	  0.0000	  0.0179	  0.0618	 -0.0797	 -0.0797	  8.5089	   1.2829	  0.0648	  0.0091	  0.0000	  0.0000	  0.0000	  0.0618	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0115	  0.0115	-999.0000	  0.0000	  0.0000	  0.0000	  0.0559	  0.0217	-999.0000	  6.1530	  6.4377	  0.0596	329.7370	140.5722	 39.7865	  0.1430	  0.5386	  0.6150	  1.5974	 11.1821	  0.3963	-253.3843	 61.0768	9999.9999	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	-35.3935	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	   0.0000	    0.0000	  0.0000	    0.0000	    0.0000	  7.1237	  6.2092	  5.0771	  0.3560	 84.4548
2018	  1	   2	  0	  0.0833	  0.0000	  0.0000	306.4793	342.7110	  6.2167	-36.2317	 25.5250	-40.6263	 17.6680	 12.2515	 22.8472	  7.0723	 15.8056	  0.0000	  0.0000	  0.0177	  0.0558	 -0.0735	 -0.0735	  8.4354	   1.2091	  0.0585	  0.0091	  0.0000	  0.0000	  0.0000	  0.0558	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0115	  0.0115	-999.0000	  0.0000	  0.0000	  0.0000	  0.0501	  0.0164	-999.0000	  5.8159	  6.0786	  0.0537	329.6772	134.5297	 58.2225	  0.1430	  0.5289	  0.6150	  1.5974	 11.1821	  0.4523	-472.7699	 56.6323	9999.9999	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	-36.2317	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	   0.0000	    0.0000	  0.0000	    0.0000	    0.0000	  7.0218	  6.3842	  5.0928	  0.3815	 83.6741
2018	  1	   3	  0	  0.1250	  0.0000	  0.0000	308.2893	343.6810	  6.4000	-35.3917	 30.1337	-40.1417	 22.1812	 12.7024	 27.1092	  7.7744	 20.2262	  0.0000	  0.0000	  0.0184	  0.0501	 -0.0685	 -0.0685	  8.3669	   1.1405	  0.0525	  0.0091	  0.0000	  0.0000	  0.0000	  0.0501	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0115	  0.0115	-999.0000	  0.0000	  0.0000	  0.0000	  0.0456	  0.0120	-999.0000	  5.4995	  5.7427	  0.0486	329.6126	127.2289	 73.7373	  0.1430	  0.5384	  0.6150	  1.5974	 11.1821	  0.4876	-473.1349	 53.3674	9999.9999	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	-35.3917	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	   0.0000	    0.0000	  0.0000	    0.0000	    0.0000	  7.3530	  6.6021	  5.1968	  0.4094	 84.0770
2018	  1	   4	  0	  0.1667	  0.0000	  0.0000	309.5755	343.5207	  6.3458	-33.9452	 43.2507	-39.3178	 35.4078	 13.2155	 38.9781	  9.6452	 34.0739	  0.0000	  0.0000	  0.0191	  0.0454	 -0.0645	 -0.0645	  8.3024	   1.0761	  0.0476	  0.0091	  0.0000	  0.0000	  0.0000	  0.0454	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0115	  0.0115	-999.0000	  0.0000	  0.0000	  0.0000	  0.0410	  0.0083	-999.0000	  5.2013	  5.4270	  0.0446	329.5433	119.3516	 87.2987	  0.1430	  0.5550	  0.6150	  1.5974	 11.1821	  0.4416	-224.5734	 55.8613	9999.9999	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	-33.9452	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	   0.0000	    0.0000	  0.0000	    0.0000	    0.0000	  7.9421	  6.5586	  5.2474	  0.4056	 85.0964
2018	  1	   5	  0	  0.2083	  0.0000	  0.0000	310.8092	344.1446	  6.4625	-33.3354	 60.2673	-38.9427	 50.9991	 14.8755	 53.8352	 12.0395	 49.5029	  0.0000	  0.0000	  0.0215	  0.0412	 -0.0627	 -0.0627	  8.2397	   1.0138	  0.0432	  0.0091	  0.0000	  0.0000	  0.0000	  0.0412	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0115	  0.0115	-999.0000	  0.0000	  0.0000	  0.0000	  0.0359	  0.0052	-999.0000	  4.9129	  5.1230	  0.0403	329.4628	111.3855	 99.7620	  0.1430	  0.5619	  0.6150	  1.5974	 11.1821	  0.4131	-122.9486	 56.9651	9999.9999	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	-33.3354	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	   0.0000	    0.0000	  0.0000	    0.0000	    0.0000	  8.8014	  6.6814	  5.3115	  0.4197	 85.3419
2018	  1	   6	  0	  0.2500	  0.0000	  0.0000	310.5930	343.5151	  6.3292	-32.9221	 77.2840	-38.7255	 66.7770	 16.3104	 68.7334	 14.3540	 65.1634	  0.0000	  0.0000	  0.0236	  0.0373	 -0.0609	 -0.0609	  8.1788	   0.9536	  0.0391	  0.0091	  0.0000	  0.0000	  0.0000	  0.0373	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0115	  0.0115	-999.0000	  0.0000	  0.0000	  0.0000	  0.0306	  0.0027	-999.0000	  4.6336	  4.8297	  0.0358	329.3716	103.7134	111.7733	  0.1430	  0.5669	  0.6150	  1.5974	 11.1821	  0.3904	-80.1906	 57.7039	9999.9999	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	-32.9221	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	   0.0000	    0.0000	  0.0000	    0.0000	    0.0000	  9.4369	  6.5946	  5.2992	  0.4243	 85.6135
2018	  1	   7	  0	  0.2917	  0.0102	  0.0015	308.6280	341.0817	  5.8293	-32.4450	 94.3006	-38.5009	 52.3762	 47.9803	 83.8452	 16.5112	 51.2627	  0.7000	  0.0000	  0.0694	  0.2435	  0.3871	  0.3871	  8.5659	   1.3358	  0.2606	  0.0091	  0.0000	  0.0000	  0.0000	  0.2435	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0115	  0.0115	-999.0000	  0.0000	  0.0000	  0.0000	  0.3989	  0.3843	-999.0000	  5.0467	  5.2488	  0.4004	329.9759	 96.6447	123.8049	  0.1430	  0.5728	  0.6150	  1.5974	 11.1821	  0.2934	-43.5307	 68.1649	16351229.5533	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	-32.4450	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	   0.0000	    0.0000	  0.0000	    0.0000	    0.0000	  8.6647	  6.0581	  5.2724	  0.3420	 88.4005
2018	  1	   8	  0	  0.3333	  0.8167	  0.1168	304.8088	338.0934	  5.2332	-32.5847	111.3173	-38.5858	 47.2571	 70.0613	 98.8141	 18.5043	 46.1809	  0.8000	  0.0000	  0.1013	  0.5703	  0.1284	  0.1284	  8.6942	   1.4515	  0.6127	  0.0091	  0.0000	  0.0000	  0.0000	  0.5703	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0115	  0.0115	-999.0000	  0.0000	  0.0000	  0.0000	  0.4213	  0.4090	-999.0000	  5.5168	  5.7510	  0.4220	330.6680	 89.8932	136.1867	  0.1430	  0.5642	  0.6150	  1.5974	 11.1821	  0.3461	-82.9862	 63.4420	4620265.5353	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	-32.5847	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	   0.0000	    0.0000	  0.0000	    0.0000	    0.0000	  7.6233	  5.4332	  5.1160	  0.3734	 89.5708
2018	  1	   9	  0	  0.3750	  6.2313	  0.8910	303.5670	334.7148	  4.5073	-25.8076	123.7252	-35.3524	 64.2573	 69.0128	113.0995	 20.1706	 63.0358	  0.5000	  0.0000	  0.0997	  0.4147	 -0.0145	 -0.0145	  8.6798	   1.4279	  0.4449	  0.0091	  0.0000	  0.0000	  0.0000	  0.4147	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0115	  0.0115	-999.0000	  0.0000	  0.0000	  0.0000	  0.3557	  0.3401	-999.0000	  5.6596	  5.9090	  0.3589	331.0561	 85.4123	149.1047	  0.1430	  0.5945	  0.6150	  1.5974	 11.1821	  0.4129	-99.4509	 56.1379	90455.1818	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	-25.8076	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	   0.0000	    0.0000	  0.0000	    0.0000	    0.0000	  7.3032	  4.6683	  4.9988	  0.4349	 92.3329
2018	  1	  10	  0	  0.4167	 16.2662	  2.3259	303.9004	332.5947	  4.0320	-14.7540	132.2336	-29.7488	 89.7397	 57.4886	125.6397	 21.5887	 88.4316	  0.1000	  0.0000	  0.0830	  0.1831	 -0.1661	 -0.1661	  8.5137	   1.2583	  0.1953	  0.0091	  0.0000	  0.0000	  0.0000	  0.1831	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0115	  0.0115	-999.0000	  0.0000	  0.0000	  0.0000	  0.2122	  0.1844	-999.0000	  5.4069	  5.6508	  0.2216	331.0457	 82.1970	162.5768	  0.1430	  0.6327	  0.6150	  1.5974	 11.1821	  0.3430	-41.6745	 60.0668	31414.6810	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	-14.7540	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	   0.0000	    0.0000	  0.0000	    0.0000	    0.0000	  8.0994	  4.1113	  4.9417	  0.4019	 94.8986
