year;dectime;dryQSresid
2004;3.0417;-64.5645
2004;3.0616;-58.4494
2004;3.0833;-50.1401
2004;3.1033;-40.1201
2004;3.125;-35.8317
2004;3.1449;-39.2306
2004;3.1667;-43.7432
2004;3.1866;-43.2923
2004;3.2083;-39.6853
2004;3.2283;-38.7145
2004;3.25;-41.7369
2004;3.2699;-46.5524
2004;3.2917;-51.1857
2004;3.3116;-51.8817
2004;3.3333;-49.1334
2004;3.3532;-42.7801
2004;3.375;-26.2981
2004;3.3949;-1.5723
2004;3.4167;10.0132
2004;3.4365;-1.8143
2004;3.4583;-13.3266
2004;3.4782;-8.4371
2004;3.5;2.0836
2004;3.5198;-0.1012
2004;3.5417;-12.1099
2004;3.5615;-20.1277
2004;3.5833;-26.5829
2004;3.6031;-33.2965
2004;3.625;-34.382
2004;3.6448;-26.8439
2004;3.6667;-17.6297
2004;3.6865;-16.2118
2004;3.7083;-26.0019
2004;3.7281;-40.4714
2004;3.75;-29.8445
2004;3.7698;21.4043
2004;3.7917;59.0419
2004;3.8114;36.6686
2004;3.8333;-2.7084
2004;3.8531;-11.7393
2004;3.875;-6.569
2004;3.8947;-10.4363
2004;3.9167;-15.2443
2004;3.9364;-7.4075
2004;3.9583;3.9799
2004;3.978;1.6601
2004;4;-8.6596
2004;4.0197;-15.8676
2004;4.0417;-22.5138
2004;4.0614;-27.7272
2004;4.0833;-28.4186
2004;4.103;-26.732
2004;4.125;-23.7106
2004;4.1447;-19.8862
2004;4.1667;-18.238
2004;4.1863;-21.9413
2004;4.2083;-26.9463
2004;4.228;-28.1831
2004;4.25;-29.5337
2004;4.2696;-33.6025
2004;4.2917;-38.1199
2004;4.3113;-41.3375
2004;4.3333;-42.7439
2004;4.3529;-42.0213
2004;4.375;-40.2694
2004;4.3946;-39.2414
2004;4.4167;-40.0188
2004;4.4362;-42.0044
2004;4.4583;-43.1269
2004;4.4779;-42.8906
2004;4.5;-40.375
2004;4.5196;-41.4124
2004;4.5417;-47.8375
2004;4.5612;-50.435
2004;4.5833;-50.6064
2004;4.6029;-49.6391
2004;4.625;-45.7316
2004;4.6445;-46.0999
2004;4.6667;-51.6529
2004;4.6862;-52.1288
2004;4.7083;-51.0888
2004;4.7278;-57.1128
2004;4.75;-58.9654
2004;4.7695;-48.6065
2004;4.7917;-37.6938
2004;4.8111;-36.9599
2004;4.8333;-40.4197
2004;4.8528;-41.5208
2004;4.875;-41.609
2004;4.8944;-49.9402
2004;4.9167;NaN
2004;4.9361;NaN
2004;4.9583;NaN
2004;4.9778;NaN
2004;5;NaN
2004;5.0194;NaN
2004;5.0417;NaN
2004;5.0611;NaN
2004;5.0833;NaN
2004;5.1027;NaN
2004;5.125;NaN
2004;5.1444;NaN
2004;5.1667;NaN
2004;5.186;NaN
2004;5.2083;NaN
2004;5.2277;NaN
2004;5.25;NaN
2004;5.2693;NaN
2004;5.2917;NaN
2004;5.311;NaN
2004;5.3333;NaN
2004;5.3527;NaN
2004;5.375;NaN
2004;5.3943;NaN
2004;5.4167;NaN
2004;5.436;NaN
2004;5.4583;NaN
2004;5.4776;NaN
2004;5.5;NaN
2004;5.5193;NaN
2004;5.5417;NaN
2004;5.5609;NaN
2004;5.5833;NaN
2004;5.6026;NaN
2004;5.625;NaN
2004;5.6442;NaN
2004;5.6667;NaN
2004;5.6859;NaN
2004;5.7083;NaN
2004;5.7275;NaN
2004;5.75;NaN
2004;5.7692;NaN
2004;5.7917;NaN
2004;5.8109;NaN
2004;5.8333;NaN
2004;5.8525;NaN
2004;5.875;NaN
2004;5.8942;NaN
2004;5.9167;NaN
2004;5.9358;NaN
2004;5.9583;NaN
2004;5.9775;NaN
2004;6;NaN
2004;6.0191;NaN
2004;6.0417;NaN
2004;6.0608;NaN
2004;6.0833;NaN
2004;6.1024;NaN
2004;6.125;NaN
2004;6.1441;NaN
2004;6.1667;NaN
2004;6.1857;NaN
2004;6.2083;NaN
2004;6.2274;NaN
2004;6.25;NaN
2004;6.2691;NaN
2004;6.2917;NaN
2004;6.3107;NaN
2004;6.3333;NaN
2004;6.3524;NaN
2004;6.375;NaN
2004;6.394;NaN
2004;6.4167;NaN
2004;6.4357;NaN
2004;6.4583;NaN
2004;6.4773;NaN
2004;6.5;NaN
2004;6.519;NaN
2004;6.5417;NaN
2004;6.5606;NaN
2004;6.5833;NaN
2004;6.6023;NaN
2004;6.625;NaN
2004;6.644;NaN
2004;6.6667;NaN
2004;6.6856;NaN
2004;6.7083;NaN
2004;6.7273;NaN
2004;6.75;NaN
2004;6.7689;NaN
2004;6.7917;NaN
2004;6.8106;NaN
2004;6.8333;NaN
2004;6.8522;NaN
2004;6.875;NaN
2004;6.8939;NaN
2004;6.9167;NaN
2004;6.9355;NaN
2004;6.9583;NaN
2004;6.9772;NaN
2004;7;NaN
2004;7.0188;NaN
2004;7.0417;NaN
2004;7.0605;NaN
2004;7.0833;NaN
2004;7.1022;NaN
2004;7.125;NaN
2004;7.1438;NaN
2004;7.1667;NaN
2004;7.1855;NaN
2004;7.2083;NaN
2004;7.2271;NaN
2004;7.25;NaN
2004;7.2688;NaN
2004;7.2917;NaN
2004;7.3104;NaN
2004;7.3333;NaN
2004;7.3521;NaN
2004;7.375;NaN
2004;7.3937;NaN
2004;7.4167;NaN
2004;7.4354;NaN
2004;7.4583;NaN
2004;7.4771;NaN
2004;7.5;NaN
2004;7.5187;NaN
2004;7.5417;NaN
2004;7.5604;NaN
2004;7.5833;NaN
2004;7.602;NaN
2004;7.625;NaN
2004;7.6437;NaN
2004;7.6667;NaN
2004;7.6853;NaN
2004;7.7083;NaN
2004;7.727;NaN
2004;7.75;NaN
2004;7.7686;NaN
2004;7.7917;NaN
2004;7.8103;NaN
2004;7.8333;NaN
2004;7.8519;NaN
2004;7.875;NaN
2004;7.8936;NaN
2004;7.9167;NaN
2004;7.9353;NaN
2004;7.9583;NaN
2004;7.9769;NaN
2004;8;NaN
2004;8.0186;NaN
2004;8.0417;NaN
2004;8.0602;NaN
2004;8.0833;NaN
2004;8.1019;NaN
2004;8.125;NaN
2004;8.1435;NaN
2004;8.1667;NaN
2004;8.1852;NaN
2004;8.2083;NaN
2004;8.2268;NaN
2004;8.25;NaN
2004;8.2685;NaN
2004;8.2917;NaN
2004;8.3101;NaN
2004;8.3333;NaN
2004;8.3518;NaN
2004;8.375;NaN
2004;8.3935;NaN
2004;8.4167;NaN
2004;8.4351;NaN
2004;8.4583;NaN
2004;8.4768;NaN
2004;8.5;NaN
2004;8.5184;NaN
2004;8.5417;NaN
2004;8.5601;NaN
2004;8.5833;NaN
2004;8.6017;NaN
2004;8.625;NaN
2004;8.6434;NaN
2004;8.6667;NaN
2004;8.685;NaN
2004;8.7083;NaN
2004;8.7267;NaN
2004;8.75;NaN
2004;8.7684;NaN
2004;8.7917;NaN
2004;8.81;NaN
2004;8.8333;NaN
2004;8.8517;NaN
2004;8.875;NaN
2004;8.8933;NaN
2004;8.9167;NaN
2004;8.935;NaN
2004;8.9583;NaN
2004;8.9766;NaN
2004;9;NaN
2004;9.0183;NaN
2004;9.0417;NaN
2004;9.0599;NaN
2004;9.0833;NaN
2004;9.1016;NaN
2004;9.125;NaN
2004;9.1432;NaN
2004;9.1667;NaN
2004;9.1849;NaN
2004;9.2083;NaN
2004;9.2266;NaN
2004;9.25;NaN
2004;9.2682;NaN
2004;9.2917;NaN
2004;9.3099;NaN
2004;9.3333;NaN
2004;9.3515;NaN
2004;9.375;NaN
2004;9.3932;NaN
2004;9.4167;NaN
2004;9.4348;NaN
2004;9.4583;NaN
2004;9.4765;NaN
2004;9.5;NaN
2004;9.5181;NaN
2004;9.5417;NaN
2004;9.5598;NaN
2004;9.5833;NaN
2004;9.6014;NaN
2004;9.625;NaN
2004;9.6431;NaN
2004;9.6667;NaN
2004;9.6848;NaN
2004;9.7083;NaN
2004;9.7264;NaN
2004;9.75;NaN
2004;9.7681;NaN
2004;9.7917;NaN
2004;9.8097;NaN
2004;9.8333;NaN
2004;9.8514;NaN
2004;9.875;NaN
2004;9.893;NaN
2004;9.9167;NaN
2004;9.9347;NaN
2004;9.9583;NaN
2004;9.9763;NaN
2004;10;NaN
2004;10.018;NaN
2004;10.0417;NaN
2004;10.0597;NaN
2004;10.0833;NaN
2004;10.1013;NaN
2004;10.125;NaN
2004;10.143;NaN
2004;10.1667;NaN
2004;10.1846;NaN
2004;10.2083;-57.7985
2004;10.2263;-61.7241
2004;10.25;-67.8565
2004;10.2679;-72.3488
2004;10.2917;-73.351
2004;10.3096;-70.7269
2004;10.3333;-65.0717
2004;10.3512;-58.5927
2004;10.375;-60.5647
2004;10.3929;-74.2405
2004;10.4167;-82.2985
2004;10.4345;-71.0431
2004;10.4583;-56.2565
2004;10.4762;-56.8482
2004;10.5;-59.7512
2004;10.5179;-48.2216
2004;10.5417;-34.4269
2004;10.5595;-34.3311
2004;10.5833;-44.0156
2004;10.6012;-53.3442
2004;10.625;-57.0831
2004;10.6428;-52.2039
2004;10.6667;-46.0488
2004;10.6845;-45.8597
2004;10.7083;-47.7474
2004;10.7261;-46.8832
2004;10.75;-43.2629
2004;10.7678;-43.065
2004;10.7917;-48.2355
2004;10.8094;-49.9224
2004;10.8333;-46.8603
2004;10.8511;-43.8586
2004;10.875;-42.0118
2004;10.8928;-42.7339
2004;10.9167;-45.1919
2004;10.9344;-46.3832
2004;10.9583;-44.0728
2004;10.9761;-37.2716
2004;11;-30.3849
2004;11.0177;-28.4528
2004;11.0417;-29.7323
2004;11.0594;-30.9197
