dectime dryQSresid
3.0417 -64.5645
3.0616 -58.4494
3.0833 -50.1401
3.1033 -40.1201
3.1250 -35.8317
3.1449 -39.2306
3.1667 -43.7432
3.1866 -43.2923
3.2083 -39.6853
3.2283 -38.7145
3.2500 -41.7369
3.2699 -46.5524
3.2917 -51.1857
3.3116 -51.8817
3.3333 -49.1334
3.3532 -42.7801
3.3750 -26.2981
3.3949 -1.5723
3.4167 10.0132
3.4365 -1.8143
3.4583 -13.3266
3.4782 -8.4371
3.5000 2.0836
3.5198 -0.1012
3.5417 -12.1099
3.5615 -20.1277
3.5833 -26.5829
3.6031 -33.2965
3.6250 -34.3820
3.6448 -26.8439
3.6667 -17.6297
3.6865 -16.2118
3.7083 -26.0019
3.7281 -40.4714
3.7500 -29.8445
3.7698 21.4043
3.7917 59.0419
3.8114 36.6686
3.8333 -2.7084
3.8531 -11.7393
3.8750 -6.5690
3.8947 -10.4363
3.9167 -15.2443
3.9364 -7.4075
3.9583 3.9799
3.9780 1.6601
4.0000 -8.6596
4.0197 -15.8676
4.0417 -22.5138
4.0614 -27.7272
4.0833 -28.4186
4.1030 -26.7320
4.1250 -23.7106
4.1447 -19.8862
4.1667 -18.2380
4.1863 -21.9413
4.2083 -26.9463
4.2280 -28.1831
4.2500 -29.5337
4.2696 -33.6025
4.2917 -38.1199
4.3113 -41.3375
4.3333 -42.7439
4.3529 -42.0213
4.3750 -40.2694
4.3946 -39.2414
4.4167 -40.0188
4.4362 -42.0044
4.4583 -43.1269
4.4779 -42.8906
4.5000 -40.3750
4.5196 -41.4124
4.5417 -47.8375
4.5612 -50.4350
4.5833 -50.6064
4.6029 -49.6391
4.6250 -45.7316
4.6445 -46.0999
4.6667 -51.6529
4.6862 -52.1288
4.7083 -51.0888
4.7278 -57.1128
4.7500 -58.9654
4.7695 -48.6065
4.7917 -37.6938
4.8111 -36.9599
4.8333 -40.4197
4.8528 -41.5208
4.8750 -41.6090
4.8944 -49.9402
4.9167 NaN
4.9361 NaN
4.9583 NaN
4.9778 NaN
5.0000 NaN
5.0194 NaN
5.0417 NaN
5.0611 NaN
5.0833 NaN
5.1027 NaN
5.1250 NaN
5.1444 NaN
5.1667 NaN
5.1860 NaN
5.2083 NaN
5.2277 NaN
5.2500 NaN
5.2693 NaN
5.2917 NaN
5.3110 NaN
5.3333 NaN
5.3527 NaN
5.3750 NaN
5.3943 NaN
5.4167 NaN
5.4360 NaN
5.4583 NaN
5.4776 NaN
5.5000 NaN
5.5193 NaN
5.5417 NaN
5.5609 NaN
5.5833 NaN
5.6026 NaN
5.6250 NaN
5.6442 NaN
5.6667 NaN
5.6859 NaN
5.7083 NaN
5.7275 NaN
5.7500 NaN
5.7692 NaN
5.7917 NaN
5.8109 NaN
5.8333 NaN
5.8525 NaN
5.8750 NaN
5.8942 NaN
5.9167 NaN
5.9358 NaN
5.9583 NaN
5.9775 NaN
6.0000 NaN
6.0191 NaN
6.0417 NaN
6.0608 NaN
6.0833 NaN
6.1024 NaN
6.1250 NaN
6.1441 NaN
6.1667 NaN
6.1857 NaN
6.2083 NaN
6.2274 NaN
6.2500 NaN
6.2691 NaN
6.2917 NaN
6.3107 NaN
6.3333 NaN
6.3524 NaN
6.3750 NaN
6.3940 NaN
6.4167 NaN
