Year	DOY	Hour	Min	 Dectime	 azimuth	altitude	GlobalRad	DiffuseRad	DirectRad	 Kdown2d	   Kup2d	  Ksouth	   Kwest	  Knorth	   Keast	 Ldown2d	   Lup2d	  Lsouth	   Lwest	  Lnorth	   Least	    Tmrt	      I0	      CI	SH_Ground	SH_Walls	SVF_Ground	SVF_Roof	SVF_BdVeg	Emis_Sky	      Ta	      Tg	      Tw
2018	  1	   1	  0	  0.0417	 97.0050	-55.1062	   0.0000	    0.0000	   0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	305.4614	313.0294	303.5577	303.5577	303.5577	303.5577	 -2.5059	 51.4120	  0.5152	   0.0000	  0.0000	    0.7985	  0.9291	   0.7985	  0.7573	  2.9458	  0.0000	  0.0000
2018	  1	   2	  0	  0.0833	 30.0394	-52.5694	   0.0000	    0.0000	   0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	305.9229	313.8052	304.3174	304.3174	304.3174	304.3174	 -2.3409	 51.4031	  0.5152	   0.0000	  0.0000	    0.7985	  0.9291	   0.7985	  0.7577	  3.1167	  0.0000	  0.0000
2018	  1	   3	  0	  0.1250	 50.0470	-47.4390	   0.0000	    0.0000	   0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	308.5436	316.1216	306.6425	306.6425	306.6425	306.6425	 -1.8225	 51.3618	  0.5152	   0.0000	  0.0000	    0.7985	  0.9291	   0.7985	  0.7598	  3.6250	  0.0000	  0.0000
2018	  1	   4	  0	  0.1667	 66.8271	-40.6481	   0.0000	    0.0000	   0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	311.4981	317.8759	308.4489	308.4489	308.4489	308.4489	 -1.4101	 51.3181	  0.5152	   0.0000	  0.0000	    0.7985	  0.9291	   0.7985	  0.7621	  4.0083	  0.0000	  0.0000
2018	  1	   5	  0	  0.2083	 81.2039	-32.9886	   0.0000	    0.0000	   0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	313.2439	318.7944	309.4045	309.4045	309.4045	309.4045	 -1.1905	 51.2932	  0.5152	   0.0000	  0.0000	    0.7985	  0.9291	   0.7985	  0.7634	  4.2083	  0.0000	  0.0000
2018	  1	   6	  0	  0.2500	 94.1103	-25.0275	   0.0000	    0.0000	   0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	313.5511	319.4653	310.0582	310.0582	310.0582	310.0582	 -1.0516	 51.2886	  0.5152	   0.0000	  0.0000	    0.7985	  0.9291	   0.7985	  0.7637	  4.3542	  0.0000	  0.0000
2018	  1	   7	  0	  0.2917	106.2823	-17.1919	   0.0000	    0.0000	   0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	312.6571	319.1777	309.7428	309.7428	309.7428	309.7428	 -1.1279	 51.3022	  0.5152	   0.0000	  0.0000	    0.7985	  0.9291	   0.7985	  0.7630	  4.2917	  0.0000	  0.0000
2018	  1	   8	  0	  0.3333	118.2727	 -9.8289	   0.0000	    0.0000	   0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	311.1614	318.5071	309.0348	309.0348	309.0348	309.0348	 -1.2930	 51.3240	  0.5152	   0.0000	  0.0000	    0.7985	  0.9291	   0.7985	  0.7619	  4.1458	  0.0000	  0.0000
2018	  1	   9	  0	  0.3750	130.4710	 -2.7869	   0.5833	    0.1667	   0.0166	  0.0165	  0.0014	  0.0076	  0.0076	  0.0076	  0.0076	309.9669	317.5511	307.3109	307.1586	307.1586	307.3109	 -1.6698	 47.2713	  0.5637	   0.0000	  0.0004	    0.7985	  0.9291	   0.7985	  0.7610	  3.9375	  0.2973	  0.0000
2018	  1	  10	  0	  0.4167	143.1346	  2.5893	   5.0417	    0.4451	   5.0316	  4.7241	  0.3726	  1.5737	  1.5737	  1.5737	  1.5737	309.8754	316.6733	305.1375	303.3105	303.3105	305.1375	 -1.9992	 51.5668	  0.6491	   0.0000	  0.0418	    0.7985	  0.9291	   0.7985	  0.7608	  3.7458	  2.2587	  0.0000
