Year	DOY	Hour	Min	 Dectime	  HDD1_h	  HDD2_c	HDD3_Tmean	HDD4_T5d	   P_day	  DaysSR	GDD_EveTr	GDD_DecTr	GDD_Grass	SDD_EveTr	SDD_DecTr	SDD_Grass	    Tmin	    Tmax	   DLHrs	LAI_EveTr	LAI_DecTr	LAI_Grass	DecidCap	Porosity	AlbEveTr	AlbDecTr	AlbGrass	WU_EveTr1	WU_EveTr2	WU_EveTr3	WU_DecTr1	WU_DecTr2	WU_DecTr3	WU_Grass1	WU_Grass2	WU_Grass3	LAIlumps	 AlbSnow	DensSnow_Paved	DensSnow_Bldgs	DensSnow_EveTr	DensSnow_DecTr	DensSnow_Grass	DensSnow_BSoil	DensSnow_Water	      a1	      a2	      a3
2018	  1	  23	 55	  0.9965	  0.0000	1551.9765	    6.4852	  4.0091	 11.6833	  0.0000	   0.0000	   0.0000	   0.0000	-450.0000	-450.0000	-450.0000	  2.9000	  4.6000	  9.8333	   4.0000	   1.0000	   4.0000	  0.3000	  0.6000	  0.1000	  0.1600	  0.1000	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	  0.6152	  0.0000	        0.0000	        0.0000	        0.0000	        0.0000	        0.0000	        0.0000	        0.0000	  0.4309	  0.2885	-23.6421
2018	  2	  23	 55	  1.9965	  0.0000	  8.9966	    0.0338	  3.6538	  1.3500	  0.0000	   0.0000	   0.0000	   0.0000	-450.0000	-450.0000	-450.0000	  2.9000	  5.4000	 13.2500	   4.0000	   1.0000	   4.0000	  0.3000	  0.6000	  0.1000	  0.1600	  0.1000	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	  0.6152	  0.0000	        0.0000	        0.0000	        0.0000	        0.0000	        0.0000	        0.0000	        0.0000	  0.4309	  0.2885	-23.6421
2018	  3	  23	 55	  2.9965	  0.0000	1018.9890	    2.5848	  3.4400	 11.4000	  0.0000	   0.0000	   0.0000	   0.0000	-450.0000	-450.0000	-450.0000	  1.9000	  3.2000	  3.5000	   4.0000	   1.0000	   4.0000	  0.3000	  0.6000	  0.1000	  0.1600	  0.1000	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	  0.6152	  0.0000	        0.0000	        0.0000	        0.0000	        0.0000	        0.0000	        0.0000	        0.0000	  0.4309	  0.2885	-23.6421
2018	  4	  23	 55	  3.9965	  0.0000	1380.7213	    2.3101	  3.2140	  0.6667	  0.0000	   0.0000	   0.0000	   0.0000	-450.0000	-450.0000	-450.0000	  0.6167	  2.3000	  9.1667	   4.0000	   1.0000	   4.0000	  0.3000	  0.6000	  0.1000	  0.1600	  0.1000	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	  0.6152	  0.0000	        0.0000	        0.0000	        0.0000	        0.0000	        0.0000	        0.0000	        0.0000	  0.4309	  0.2885	-23.6421
2018	  5	  23	 55	  4.9965	  0.0000	  8.3844	    0.0037	  2.2375	  1.5083	  0.0000	   0.0000	   0.0000	   0.0000	-450.0000	-450.0000	-450.0000	 -0.0667	  1.4000	  9.1667	   4.0000	   1.0000	   4.0000	  0.3000	  0.6000	  0.1000	  0.1600	  0.1000	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	  0.6152	  0.0000	        0.0000	        0.0000	        0.0000	        0.0000	        0.0000	        0.0000	        0.0000	  0.4309	  0.2885	-23.6421
2018	  6	  23	 55	  5.9965	  0.0000	1537.3750	   -4.6354	  0.8629	  0.0000	  1.0000	   0.0000	   0.0000	   0.0000	-450.0000	-450.0000	-450.0000	 -6.6000	 -0.1000	  9.5833	   4.0000	   1.0000	   4.0000	  0.3000	  0.6000	  0.1000	  0.1600	  0.1000	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	  0.6152	  0.0000	        0.0000	        0.0000	        0.0000	        0.0000	        0.0000	        0.0000	        0.0000	  0.4309	  0.2885	-23.6421
2018	  7	  23	 55	  6.9965	  0.0000	1916.6633	   -4.7583	 -0.2613	  0.0000	  2.0000	   0.0000	   0.0000	   0.0000	-450.0000	-450.0000	-450.0000	 -7.7000	  3.2000	 17.2500	   4.0000	   1.0000	   4.0000	  0.3000	  0.6000	  0.1000	  0.1600	  0.1000	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	  0.6152	  0.0000	        0.0000	        0.0000	        0.0000	        0.0000	        0.0000	        0.0000	        0.0000	  0.4309	  0.2885	-23.6421
2018	  8	  23	 55	  7.9965	  0.0000	1817.4413	    3.9256	  0.5761	  0.0000	  3.0000	   0.0000	   0.0000	   0.0000	-450.0000	-450.0000	-450.0000	  0.1000	  3.7000	 16.0000	   4.0000	   1.0000	   4.0000	  0.3000	  0.6000	  0.1000	  0.1600	  0.1000	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	  0.6152	  0.0000	        0.0000	        0.0000	        0.0000	        0.0000	        0.0000	        0.0000	        0.0000	  0.4309	  0.2885	-23.6421
2018	  9	  23	 55	  8.9965	  0.0000	1482.7195	   -0.1168	  0.4375	  0.0000	  4.0000	   0.0000	   0.0000	   0.0000	-450.0000	-450.0000	-450.0000	 -2.4000	  1.7000	 15.0000	   4.0000	   1.0000	   4.0000	  0.3000	  0.6000	  0.1000	  0.1600	  0.1000	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	  0.6152	  0.0000	        0.0000	        0.0000	        0.0000	        0.0000	        0.0000	        0.0000	        0.0000	  0.4309	  0.2885	-23.6421
2018	 10	  23	 55	  9.9965	  0.0000	1360.1563	    2.6302	  0.8760	  5.3250	  0.0000	   0.0000	   0.0000	   0.0000	-450.0000	-450.0000	-450.0000	  0.9000	  2.7000	  9.1667	   4.0000	   1.0000	   4.0000	  0.3000	  0.6000	  0.1000	  0.1600	  0.1000	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	  0.6152	  0.0000	        0.0000	        0.0000	        0.0000	        0.0000	        0.0000	        0.0000	        0.0000	  0.4309	  0.2885	-23.6421
2018	 11	  23	 55	 10.9965	  0.0000	1602.9679	    1.7833	  1.0575	  4.7417	  0.0000	   0.0000	   0.0000	   0.0000	-450.0000	-450.0000	-450.0000	 -1.4000	  2.5000	 10.8333	   4.0000	   1.0000	   4.0000	  0.3000	  0.6000	  0.1000	  0.1600	  0.1000	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	  0.6152	  0.0000	        0.0000	        0.0000	        0.0000	        0.0000	        0.0000	        0.0000	        0.0000	  0.4309	  0.2885	-23.6421
2018	 12	  23	 55	 11.9965	  0.0000	1423.6173	   -0.0447	  0.8370	  0.0000	  1.0000	   0.0000	   0.0000	   0.0000	-450.0000	-450.0000	-450.0000	 -1.4000	  1.0000	  9.0833	   4.0000	   1.0000	   4.0000	  0.3000	  0.6000	  0.1000	  0.1600	  0.1000	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	  0.6152	  0.0000	        0.0000	        0.0000	        0.0000	        0.0000	        0.0000	        0.0000	        0.0000	  0.4309	  0.2885	-23.6421
2018	 13	  23	 55	 12.9965	  0.0000	1321.7359	   -0.9819	  0.4733	  0.0000	  2.0000	   0.0000	   0.0000	   0.0000	-450.0000	-450.0000	-450.0000	 -1.4000	 -0.3000	 11.2500	   4.0000	   1.0000	   4.0000	  0.3000	  0.6000	  0.1000	  0.1600	  0.1000	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	  0.6152	  0.0000	        0.0000	        0.0000	        0.0000	        0.0000	        0.0000	        0.0000	        0.0000	  0.4309	  0.2885	-23.6421
2018	 14	  23	 55	 13.9965	  0.0000	  7.9657	   -0.0147	  0.0046	  0.0000	  4.0000	   0.0000	   0.0000	   0.0000	-450.0000	-450.0000	-450.0000	 -2.3750	 -0.9000	  9.9167	   4.0000	   1.0000	   4.0000	  0.3000	  0.6000	  0.1000	  0.1600	  0.1000	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	  0.6152	  0.0000	        0.0000	        0.0000	        0.0000	        0.0000	        0.0000	        0.0000	        0.0000	  0.4309	  0.2885	-23.6421
2018	 15	  23	 55	 14.9965	  0.0000	1290.4260	   -0.9643	 -0.1892	  6.7000	  0.0000	   0.0000	   0.0000	   0.0000	-450.0000	-450.0000	-450.0000	 -2.4000	  0.5917	  7.4167	   4.0000	   1.0000	   4.0000	  0.3000	  0.6000	  0.1000	  0.1600	  0.1000	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	  0.6152	  0.0000	        0.0000	        0.0000	        0.0000	        0.0000	        0.0000	        0.0000	        0.0000	  0.4309	  0.2885	-23.6421
2018	 16	  23	 55	 15.9965	  0.0000	1369.5182	    1.5496	  0.1586	 15.2500	  0.0000	   0.0000	   0.0000	   0.0000	-450.0000	-450.0000	-450.0000	  0.6000	  2.0000	  8.1667	   4.0000	   1.0000	   4.0000	  0.3000	  0.6000	  0.1000	  0.1600	  0.1000	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	  0.6152	  0.0000	        0.0000	        0.0000	        0.0000	        0.0000	        0.0000	        0.0000	        0.0000	  0.4309	  0.2885	-23.6421
2018	 17	  23	 55	 16.9965	  0.0000	1748.0149	    0.6351	  0.2539	  5.2750	  0.0000	   0.0000	   0.0000	   0.0000	-450.0000	-450.0000	-450.0000	 -1.4000	  1.4000	 14.8333	   4.0000	   1.0000	   4.0000	  0.3000	  0.6000	  0.1000	  0.1600	  0.1000	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	  0.6152	  0.0000	        0.0000	        0.0000	        0.0000	        0.0000	        0.0000	        0.0000	        0.0000	  0.4309	  0.2885	-23.6421
2018	 18	  23	 55	 17.9965	  0.0000	1610.6993	   -0.9278	  0.0175	  1.2000	  0.0000	   0.0000	   0.0000	   0.0000	-450.0000	-450.0000	-450.0000	 -2.3000	  0.0010	 13.5833	   4.0000	   1.0000	   4.0000	  0.3000	  0.6000	  0.1000	  0.1600	  0.1000	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	  0.6152	  0.0000	        0.0000	        0.0000	        0.0000	        0.0000	        0.0000	        0.0000	        0.0000	  0.4309	  0.2885	-23.6421
