%iy  id  it imin   Q*      QH      QE      Qs      Qf    Wind    RH     Td     press   rain    Kdn    snow    ldown   fcld    wuh     xsmd    lai_hr  Kdiff   Kdir    Wd
2017 1 0 0 -999.00 -999.00 -999.00 -999.00 -999.00 4.90000 95.00 7.90 100.72 1.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2017 1 1 0 -999.00 -999.00 -999.00 -999.00 -999.00 4.00000 96.00 7.50 100.67 0.60 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2017 1 2 0 -999.00 -999.00 -999.00 -999.00 -999.00 4.00000 96.00 7.40 100.61 0.40 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2017 1 3 0 -999.00 -999.00 -999.00 -999.00 -999.00 4.00000 95.00 7.20 100.58 0.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2017 1 4 0 -999.00 -999.00 -999.00 -999.00 -999.00 4.20000 91.00 7.10 100.54 0.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2017 1 5 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.90000 90.00 7.00 100.53 0.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2017 1 6 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.70000 90.00 6.70 100.51 0.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2017 1 7 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.40000 88.00 6.20 100.53 0.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2017 1 8 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.20000 83.00 6.10 100.55 0.00 0.93 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2017 1 9 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.60000 83.00 5.90 100.58 0.00 11.86 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2017 1 10 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.10000 82.00 5.60 100.63 0.00 45.87 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2017 1 11 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.40000 77.00 5.70 100.64 0.00 70.19 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2017 1 12 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.60000 75.00 5.10 100.64 0.00 66.52 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2017 1 13 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.60000 72.00 5.00 100.69 0.00 89.07 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2017 1 14 0 -999.00 -999.00 -999.00 -999.00 -999.00 0.70000 76.00 3.90 100.70 0.00 31.20 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2017 1 15 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.10000 81.00 2.70 100.74 0.00 5.16 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2017 1 16 0 -999.00 -999.00 -999.00 -999.00 -999.00 0.00100 85.00 1.50 100.77 0.00 0.05 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2017 1 17 0 -999.00 -999.00 -999.00 -999.00 -999.00 1.10000 86.00 1.00 100.83 0.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2017 1 18 0 -999.00 -999.00 -999.00 -999.00 -999.00 0.00100 89.00 0.70 100.85 0.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2017 1 19 0 -999.00 -999.00 -999.00 -999.00 -999.00 0.50000 89.00 0.20 100.92 0.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2017 1 20 0 -999.00 -999.00 -999.00 -999.00 -999.00 0.00100 89.00 -0.30 100.97 0.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2017 1 21 0 -999.00 -999.00 -999.00 -999.00 -999.00 0.00100 88.00 -0.70 101.03 0.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2017 1 22 0 -999.00 -999.00 -999.00 -999.00 -999.00 0.00100 89.00 -1.10 101.04 0.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2017 1 23 0 -999.00 -999.00 -999.00 -999.00 -999.00 0.00100 89.00 -1.50 101.07 0.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2017 2 0 0 -999.00 -999.00 -999.00 -999.00 -999.00 0.80000 87.00 -0.70 101.13 0.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2017 2 1 0 -999.00 -999.00 -999.00 -999.00 -999.00 0.70000 81.00 -0.80 101.20 0.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2017 2 2 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.50000 76.00 -0.60 101.22 0.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2017 2 3 0 -999.00 -999.00 -999.00 -999.00 -999.00 0.90000 80.00 -1.80 101.23 0.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2017 2 4 0 -999.00 -999.00 -999.00 -999.00 -999.00 0.90000 78.00 -1.90 101.21 0.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2017 2 5 0 -999.00 -999.00 -999.00 -999.00 -999.00 0.00100 76.00 -2.20 101.22 0.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2017 2 6 0 -999.00 -999.00 -999.00 -999.00 -999.00 0.00100 78.00 -2.70 101.24 0.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2017 2 7 0 -999.00 -999.00 -999.00 -999.00 -999.00 0.00100 78.00 -2.70 101.26 0.00 0.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2017 2 8 0 -999.00 -999.00 -999.00 -999.00 -999.00 0.00100 72.00 -2.00 101.25 0.00 2.02 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2017 2 9 0 -999.00 -999.00 -999.00 -999.00 -999.00 0.00100 75.00 -1.90 101.28 0.00 31.59 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2017 2 10 0 -999.00 -999.00 -999.00 -999.00 -999.00 0.00100 67.00 0.40 101.30 0.00 89.96 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2017 2 11 0 -999.00 -999.00 -999.00 -999.00 -999.00 0.90000 62.00 1.10 101.31 0.00 130.82 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
2017 2 12 0 -999.00 -999.00 -999.00 -999.00 -999.00 0.70000 57.00 2.10 101.26 0.00 140.52 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00 -999.00
