1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
Code	AlbedoMin	AlbedoMax	Emissivity	StorageMin	StorageMax	WetThreshold	StateLimit	DrainageEq	DrainageCoef1	DrainageCoef2	SoilTypeCode	SnowLimPatch	SnowLimRemove	OHMThresh_SW	OHMThresh_WD	AnOHM_Cp	AnOHM_Kk	AnOHM_Ch	OHMCode_SummerWet	OHMCode_SummerDry	OHMCode_WinterWet	OHMCode_WinterDry	ESTMCode
2024371260.0	0.0905	0.0905	0.7387	1.8978	1.9005	13.0325	-999.0	2.9838	0.1193	0.5251	2256.0	190.0	90.0	10.0	0.9	0.09	0.18	-1.0	503.0	503.0	503.0	503.0	5211.0
2024386614.0	0.15	0.15	0.971	0.6114	0.9557	11.6886	-999.0	1.6886	0.2446	0.2739	2256.0	190.0	90.0	10.0	0.9	0.0631	0.2875	-7.7214	502.0	502.0	502.0	502.0	523.0
2011.0	0.21	0.21	0.66	1.76666666666667	1.93333333333333	15.0	-999.0	2.0	-0.135696666666667	0.1532	2256.0	190.0	90.0	10.0	0.9	0.07	0.26	-6.0	504.0	504.0	504.0	504.0	5214.0
2024302638.0	0.0978	0.0978	0.7192	1.8653	1.9087	13.52	-999.0	2.74	0.0561	0.4329	2256.0	190.0	90.0	10.0	0.9	0.09	0.18	-1.0	503.0	503.0	503.0	503.0	5211.0
2024318135.0	0.15	0.15	0.9623	1.1536	1.2268	11.1464	-999.0	1.1464	0.4554	0.1551	2256.0	190.0	90.0	10.0	0.9	0.0685	0.2659	-6.366	501.0	501.0	501.0	501.0	522.0
2024333299.0	0.1093	0.1093	0.6885	1.8142	1.9214	14.2864	-999.0	2.3568	-0.0432	0.2881	2256.0	190.0	90.0	10.0	0.9	0.09	0.18	-1.0	504.0	504.0	504.0	504.0	5212.0
201.0	0.15	0.15	0.96	1.3	1.3	11.0	-999.0	1.0	0.5123	0.123	2256.0	190.0	90.0	10.0	0.9	0.07	0.26	-6.0	501.0	501.0	501.0	501.0	522.0
2024349137.0	0.0904	0.0904	0.7389	1.8982	1.9005	13.0275	-999.0	2.9863	0.1199	0.526	2256.0	190.0	90.0	10.0	0.9	0.09	0.18	-1.0	503.0	503.0	503.0	503.0	5211.0
2024364745.0	0.15	0.15	0.9673	0.8422	1.0711	11.4578	-999.0	1.4578	0.3343	0.2233	2256.0	190.0	90.0	10.0	0.9	0.0654	0.2783	-7.1446	501.0	501.0	501.0	501.0	522.0
2024381023.0	0.0975	0.0975	0.7201	1.8669	1.9083	13.497	-999.0	2.7515	0.0591	0.4373	2256.0	190.0	90.0	10.0	0.9	0.09	0.18	-1.0	503.0	503.0	503.0	503.0	5211.0
2024397166.0	0.097	0.097	0.7214	1.8689	1.9078	13.4658	-999.0	2.7671	0.0631	0.4432	2256.0	190.0	90.0	10.0	0.9	0.09	0.18	-1.0	503.0	503.0	503.0	503.0	5211.0
2024311768.0	0.09	0.09	0.74	1.9	1.9	13.0007	-999.0	2.9996	0.1234	0.5311	2256.0	190.0	90.0	10.0	0.9	0.09	0.18	-1.0	503.0	503.0	503.0	503.0	5211.0
2024327203.0	0.15	0.15	0.9701	0.6676	0.9838	11.6324	-999.0	1.6324	0.2664	0.2616	2256.0	190.0	90.0	10.0	0.9	0.0637	0.2853	-7.581	502.0	502.0	502.0	502.0	523.0
