1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25
Code	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23
60420.0	1.0	1.0	1.0	1.0	1.0	1.5	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.5	1.0	1.0
60421.0	1.0	1.0	1.0	1.0	1.0	1.5	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.5	1.0	1.0
60880.0	0.016666667	0.0125	0.0125	0.016666667	0.025	0.033333333	0.041666667	0.05	0.058333333	0.0625	0.066666667	0.066666667	0.066666667	0.066666667	0.0625	0.058333333	0.05	0.045833333	0.041666667	0.0375	0.033333333	0.029166667	0.025	0.020833333
60881.0	0.004166667	0.004166667	0.008333333	0.020833333	0.033333333	0.041666667	0.058333333	0.070833333	0.0625	0.058333333	0.054166667	0.054166667	0.058333333	0.0625	0.066666667	0.070833333	0.075	0.058333333	0.041666667	0.033333333	0.025	0.016666667	0.0125	0.008333333
601.0	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.05	0.05	0.05	0.05	0.04	0.04	0.04	0.04
602.0	0.3	0.23	0.15	0.13	0.15	0.45	1.2	1.7	1.55	1.4	1.3	1.3	1.35	1.37	1.45	1.6	1.1	1.7	1.2	1.1	0.95	0.65	0.38	0.33
6013.0	-999.0	-999.0	-999.0	-999.0	-999.0	-999.0	-999.0	-999.0	-999.0	-999.0	-999.0	-999.0	-999.0	-999.0	-999.0	-999.0	-999.0	-999.0	-999.0	-999.0	-999.0	-999.0	-999.0	-999.0
-9.0																								
-9.0																								
