Year	DOY	Hour	Min	 Dectime	   Kdown	     Kup	   Ldown	     Lup	   Tsurf	      QN	      QF	      QS	      QH	      QE	 QHlumps	 QElumps	 QHresis	    Rain	     Irr	    Evap	      RO	   TotCh	  SurfCh	   State	NWtrState	Drainage	     SMD	  FlowCh	AddWater	  ROSoil	  ROPipe	   ROImp	   ROVeg	 ROWater	   WUInt	 WUEveTr	 WUDecTr	 WUGrass	SMDPaved	SMDBldgs	SMDEveTr	SMDDecTr	SMDGrass	SMDBSoil	 StPaved	 StBldgs	 StEveTr	 StDecTr	 StGrass	 StBSoil	 StWater	  Zenith	 Azimuth	 AlbBulk	    Fcld	     LAI	     z0m	     zdm	   UStar	     Lob	      RA	      RS	      Fc	 FcPhoto	 FcRespi	 FcMetab	 FcTraff	 FcBuild	 FcPoint	QNSnowFr	  QNSnow	 AlbSnow	      QM	QMFreeze	  QMRain	     SWE	MeltWater	MeltWStore	  SnowCh	SnowRPaved	SnowRBldgs	      Ts	      T2	      Q2	     U10	     RH2
2018	  1	   1	  0	  0.0417	  0.0000	  0.0000	306.5357	342.2145	  6.0458	-35.6789	  6.8979	-38.3360	 -4.6752	 14.2302	  5.3152	  4.2399	 -4.0792	  0.0000	  0.0000	  0.0206	  0.1401	 -0.1607	 -0.1607	  2.7045	   2.7045	  0.1441	  0.0069	  0.0000	  0.0000	  0.0000	  0.1401	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0115	  0.0115	  0.0000	  0.0000	  0.0000	-999.0000	  0.0937	  0.0427	  6.6329	  6.6337	  6.7285	-999.0000	-999.0000	144.4493	 17.9354	  0.1332	-999.0000	  0.5878	  0.3249	  2.2268	  0.2560	-282.3938	 62.2532	9999.9999	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	-35.6789	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	   0.0000	    0.0000	  0.0000	    0.0000	    0.0000	  5.8121	  6.0077	  5.0915	  0.5518	 85.8798
2018	  1	   2	  0	  0.0833	  0.0000	  0.0000	306.4793	343.0031	  6.2167	-36.5238	  5.9838	-39.0553	 -7.1679	 15.6831	  4.4045	  4.1107	 -8.4920	  0.0000	  0.0000	  0.0227	  0.1268	 -0.1495	 -0.1495	  2.5550	   2.5550	  0.1305	  0.0069	  0.0000	  0.0000	  0.0000	  0.1268	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0115	  0.0115	  0.0000	  0.0000	  0.0000	-999.0000	  0.0875	  0.0351	  6.2730	  6.2737	  6.3597	-999.0000	-999.0000	140.5745	 39.7775	  0.1332	-999.0000	  0.5878	  0.3249	  2.2268	  0.2985	-546.7358	 56.7197	9999.9999	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	-36.5238	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	   0.0000	    0.0000	  0.0000	    0.0000	    0.0000	  5.8921	  6.1501	  5.1111	  0.7312	 85.3415
2018	  1	   3	  0	  0.1250	  0.0000	  0.0000	308.2893	343.9663	  6.4000	-35.6770	  7.0641	-38.0566	 -6.4681	 15.9119	  5.2051	  4.2387	 -7.7032	  0.0000	  0.0000	  0.0230	  0.1150	 -0.1380	 -0.1380	  2.4169	   2.4169	  0.1183	  0.0069	  0.0000	  0.0000	  0.0000	  0.1150	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0115	  0.0115	  0.0000	  0.0000	  0.0000	-999.0000	  0.0820	  0.0286	  5.9399	  5.9406	  6.0186	-999.0000	-999.0000	134.5327	 58.2150	  0.1332	-999.0000	  0.5878	  0.3249	  2.2268	  0.3212	-573.3457	 53.3636	9999.9999	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	-35.6770	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	   0.0000	    0.0000	  0.0000	    0.0000	    0.0000	  6.1228	  6.3435	  5.2105	  0.7841	 85.8153
2018	  1	   4	  0	  0.1667	  0.0000	  0.0000	309.5755	343.7944	  6.3458	-34.2188	 10.1391	-35.6834	 -2.4466	 14.0503	  7.0839	  4.5198	 -2.9803	  0.0000	  0.0000	  0.0203	  0.1047	 -0.1251	 -0.1251	  2.2919	   2.2919	  0.1078	  0.0069	  0.0000	  0.0000	  0.0000	  0.1047	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0115	  0.0115	  0.0000	  0.0000	  0.0000	-999.0000	  0.0779	  0.0237	  5.6367	  5.6373	  5.7083	-999.0000	-999.0000	127.2324	 73.7309	  0.1332	-999.0000	  0.5878	  0.3249	  2.2268	  0.2818	-288.1200	 57.5377	9999.9999	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	-34.2188	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	   0.0000	    0.0000	  0.0000	    0.0000	    0.0000	  6.2342	  6.3264	  5.2640	  0.6284	 86.7424
2018	  1	   5	  0	  0.2083	  0.0000	  0.0000	310.8092	344.4133	  6.4625	-33.6042	 14.1283	-33.2606	  0.2174	 13.5673	  8.9777	  4.8135	 -1.0580	  0.0000	  0.0000	  0.0196	  0.0957	 -0.1154	 -0.1154	  2.1765	   2.1765	  0.0985	  0.0069	  0.0000	  0.0000	  0.0000	  0.0957	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0115	  0.0115	  0.0000	  0.0000	  0.0000	-999.0000	  0.0742	  0.0196	  5.3565	  5.3570	  5.4218	-999.0000	-999.0000	119.3552	 87.2930	  0.1332	-999.0000	  0.5878	  0.3249	  2.2268	  0.2572	-230.9522	 60.4441	9999.9999	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	-33.6042	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	   0.0000	    0.0000	  0.0000	    0.0000	    0.0000	  6.4737	  6.4645	  5.3302	  0.5343	 86.9302
2018	  1	   6	  0	  0.2500	  0.0000	  0.0000	310.5930	343.7805	  6.3292	-33.1875	 18.1175	-31.1524	  2.7135	 13.3688	 10.9761	  5.1063	  3.8173	  0.0000	  0.0000	  0.0193	  0.0877	 -0.1070	 -0.1070	  2.0695	   2.0695	  0.0902	  0.0069	  0.0000	  0.0000	  0.0000	  0.0877	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0115	  0.0115	  0.0000	  0.0000	  0.0000	-999.0000	  0.0708	  0.0162	  5.0962	  5.0968	  5.1558	-999.0000	-999.0000	111.3890	 99.7566	  0.1332	-999.0000	  0.5878	  0.3249	  2.2268	  0.2397	-112.9019	 61.1794	9999.9999	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	-33.1875	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	   0.0000	    0.0000	  0.0000	    0.0000	    0.0000	  6.4638	  6.3434	  5.3042	  0.4475	 87.1902
2018	  1	   7	  0	  0.2917	  0.0102	  0.0014	308.6280	341.3434	  5.8293	-32.7066	 22.1066	-29.3834	  0.9429	 17.8406	 13.3360	  5.4200	  1.5155	  0.7000	  0.0000	  0.0258	  0.2801	  0.3941	  0.3941	  2.4636	   2.4636	  0.2924	  0.0069	  0.0000	  0.0000	  0.0000	  0.2801	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0115	  0.0115	  0.0000	  0.0000	  0.0000	-999.0000	  0.4136	  0.4008	  5.5399	  5.5404	  5.6031	-999.0000	-999.0000	103.7167	111.7679	  0.1332	-999.0000	  0.5878	  0.3249	  2.2268	  0.1611	-190.5930	 88.9527	10024664.7554	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	-32.7066	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	   0.0000	    0.0000	  0.0000	    0.0000	    0.0000	  5.8841	  5.8363	  5.2549	  0.3232	 89.4650
2018	  1	   8	  0	  0.3333	  0.8167	  0.1088	304.8088	338.3619	  5.2332	-32.8452	 26.0958	-28.5165	 -2.1503	 23.9175	 15.9639	  5.7500	  0.5461	  0.8000	  0.0000	  0.0346	  0.5480	  0.2174	  0.2174	  2.6810	   2.6810	  0.5749	  0.0069	  0.0000	  0.0000	  0.0000	  0.5480	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0115	  0.0115	  0.0000	  0.0000	  0.0000	-999.0000	  0.4352	  0.4234	  6.0442	  6.0447	  6.1213	-999.0000	-999.0000	 96.6478	123.7994	  0.1332	-999.0000	  0.5878	  0.3249	  2.2268	  0.1975	-446.9080	 79.3400	2832060.5430	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	-32.8452	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	   0.0000	    0.0000	  0.0000	    0.0000	    0.0000	  5.0969	  5.1967	  5.0869	  0.4399	 90.5424
2018	  1	   9	  0	  0.3750	  6.2313	  0.8299	303.5670	334.9673	  4.5076	-25.9990	 29.0046	-24.1939	  4.4989	 22.7006	 20.8836	  6.3628	  4.0100	  0.5000	  0.0000	  0.0328	  0.4327	  0.0345	  0.0345	  2.7154	   2.7154	  0.4530	  0.0069	  0.0000	  0.0000	  0.0000	  0.4327	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0115	  0.0115	  0.0000	  0.0000	  0.0000	-999.0000	  0.3724	  0.3602	  6.2214	  6.2220	  6.3058	-999.0000	-999.0000	 89.8952	136.1810	  0.1332	-999.0000	  0.5878	  0.3249	  2.2268	  0.2370	-308.4283	 68.2322	55445.8503	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	-25.9990	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	   0.0000	    0.0000	  0.0000	    0.0000	    0.0000	  4.6470	  4.4485	  4.9765	  0.5199	 93.3343
2018	  1	  10	  0	  0.4167	 16.2662	  2.1663	303.9004	332.8298	  4.0328	-14.8295	 30.9992	-17.9292	 14.6124	 19.4864	 26.9917	  7.1280	 13.6811	  0.1000	  0.0000	  0.0281	  0.2429	 -0.1711	 -0.1711	  2.5444	   2.5444	  0.2530	  0.0069	  0.0000	  0.0000	  0.0000	  0.2429	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0115	  0.0115	  0.0000	  0.0000	  0.0000	-999.0000	  0.2362	  0.2194	  6.0007	  6.0019	  6.0842	-999.0000	-999.0000	 85.4141	149.0988	  0.1332	-999.0000	  0.5878	  0.3249	  2.2268	  0.2056	-58.9306	 63.8092	19256.0964	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	-14.8295	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	   0.0000	    0.0000	  0.0000	    0.0000	    0.0000	  4.5294	  3.8492	  4.8659	  0.3965	 95.1858
