Year	DOY	Hour	Min	 Dectime	   Kdown	     Kup	   Ldown	     Lup	   Tsurf	      QN	      QF	      QS	      QH	      QE	 QHlumps	 QElumps	 QHresis	    Rain	     Irr	    Evap	      RO	   TotCh	  SurfCh	   State	NWtrState	Drainage	     SMD	  FlowCh	AddWater	  ROSoil	  ROPipe	   ROImp	   ROVeg	 ROWater	   WUInt	 WUEveTr	 WUDecTr	 WUGrass	SMDPaved	SMDBldgs	SMDEveTr	SMDDecTr	SMDGrass	SMDBSoil	 StPaved	 StBldgs	 StEveTr	 StDecTr	 StGrass	 StBSoil	 StWater	  Zenith	 Azimuth	 AlbBulk	    Fcld	     LAI	     z0m	     zdm	   UStar	     Lob	      RA	      RS	      Fc	 FcPhoto	 FcRespi	 FcMetab	 FcTraff	 FcBuild	 FcPoint	QNSnowFr	  QNSnow	 AlbSnow	      QM	QMFreeze	  QMRain	     SWE	MeltWater	MeltWStore	  SnowCh	SnowRPaved	SnowRBldgs	      Ts	      T2	      Q2	     U10	     RH2
2018	  1	   1	  0	  0.0417	  0.0000	  0.0000	306.5357	341.8791	  6.0458	-35.3434	  6.9885	-41.7043	  3.4231	  9.9264	  8.8677	  4.4818	  4.0759	  0.0000	  0.0000	  0.0144	  0.0716	 -0.0859	 -0.0859	 12.8829	   1.4302	  0.0769	  0.0092	  0.0000	  0.0000	  0.0000	  0.0716	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0115	  0.0115	  0.0000	  0.0000	  0.0000	-999.0000	  0.0863	  0.0408	  6.5904	  6.5912	  7.0502	-999.0000	764.9412	144.4516	 17.9474	  0.1168	-999.0000	  0.2666	  0.3982	  2.7662	  0.2748	-209.0511	 68.3581	9999.9999	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	-35.3434	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	   0.0000	    0.0000	  0.0000	    0.0000	    0.0000	  6.2337	  6.0780	  5.0781	  0.5179	 85.2398
2018	  1	   2	  0	  0.0833	  0.0000	  0.0000	306.4793	342.6597	  6.2167	-36.1804	  6.0624	-41.9523	  1.3539	 10.4803	  7.5138	  4.3204	  0.2693	  0.0000	  0.0000	  0.0152	  0.0646	 -0.0798	 -0.0798	 12.8031	   1.3498	  0.0694	  0.0092	  0.0000	  0.0000	  0.0000	  0.0646	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0115	  0.0115	  0.0000	  0.0000	  0.0000	-999.0000	  0.0804	  0.0337	  6.2354	  6.2361	  6.6567	-999.0000	764.8983	140.5750	 39.7893	  0.1168	-999.0000	  0.2666	  0.3982	  2.7662	  0.3187	-388.6659	 62.6427	9999.9999	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	-36.1804	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	   0.0000	    0.0000	  0.0000	    0.0000	    0.0000	  6.2862	  6.2318	  5.0924	  0.6640	 84.5521
2018	  1	   3	  0	  0.1250	  0.0000	  0.0000	308.2893	343.6309	  6.4000	-35.3416	  7.1569	-41.4285	  2.7513	 10.4925	  8.7579	  4.4860	  1.4696	  0.0000	  0.0000	  0.0152	  0.0585	 -0.0736	 -0.0736	 12.7294	   1.2758	  0.0628	  0.0092	  0.0000	  0.0000	  0.0000	  0.0585	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0115	  0.0115	  0.0000	  0.0000	  0.0000	-999.0000	  0.0751	  0.0276	  5.9065	  5.9071	  6.2937	-999.0000	764.8535	134.5316	 58.2255	  0.1168	-999.0000	  0.2666	  0.3982	  2.7662	  0.3426	-412.0116	 59.1206	9999.9999	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	-35.3416	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	   0.0000	    0.0000	  0.0000	    0.0000	    0.0000	  6.5314	  6.4290	  5.1929	  0.7167	 85.0233
2018	  1	   4	  0	  0.1667	  0.0000	  0.0000	309.5755	343.4727	  6.3458	-33.8971	 10.2723	-40.5533	  7.3929	  9.5356	 12.0318	  4.8967	  6.3465	  0.0000	  0.0000	  0.0138	  0.0531	 -0.0669	 -0.0669	 12.6625	   1.2085	  0.0571	  0.0092	  0.0000	  0.0000	  0.0000	  0.0531	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0115	  0.0115	  0.0000	  0.0000	  0.0000	-999.0000	  0.0709	  0.0227	  5.6051	  5.6057	  5.9620	-999.0000	764.8114	127.2299	 73.7400	  0.1168	-999.0000	  0.2666	  0.3982	  2.7662	  0.3028	-210.7316	 63.2095	9999.9999	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	-33.8971	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	   0.0000	    0.0000	  0.0000	    0.0000	    0.0000	  6.7239	  6.4093	  5.2492	  0.5808	 86.0067
2018	  1	   5	  0	  0.2083	  0.0000	  0.0000	310.8092	344.0974	  6.4625	-33.2882	 14.3139	-40.1391	 11.6513	  9.5134	 15.7861	  5.3810	 10.3903	  0.0000	  0.0000	  0.0138	  0.0484	 -0.0622	 -0.0622	 12.6004	   1.1460	  0.0521	  0.0092	  0.0000	  0.0000	  0.0000	  0.0484	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0115	  0.0115	  0.0000	  0.0000	  0.0000	-999.0000	  0.0668	  0.0185	  5.3245	  5.3251	  5.6543	-999.0000	764.7681	119.3518	 87.3008	  0.1168	-999.0000	  0.2666	  0.3982	  2.7662	  0.2784	-134.8011	 65.7399	9999.9999	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	-33.2882	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	   0.0000	    0.0000	  0.0000	    0.0000	    0.0000	  7.0793	  6.5510	  5.3167	  0.5061	 86.1944
2018	  1	   6	  0	  0.2500	  0.0000	  0.0000	310.5930	343.4685	  6.3292	-32.8755	 18.3555	-39.9335	 15.8302	  9.5833	 19.5664	  5.8471	 16.4453	  0.0000	  0.0000	  0.0139	  0.0442	 -0.0581	 -0.0581	 12.5423	   1.0878	  0.0475	  0.0092	  0.0000	  0.0000	  0.0000	  0.0442	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0115	  0.0115	  0.0000	  0.0000	  0.0000	-999.0000	  0.0629	  0.0149	  5.0623	  5.0629	  5.3678	-999.0000	764.7233	111.3849	 99.7634	  0.1168	-999.0000	  0.2666	  0.3982	  2.7662	  0.2613	-81.9562	 66.4218	9999.9999	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	-32.8755	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	   0.0000	    0.0000	  0.0000	    0.0000	    0.0000	  7.1776	  6.4221	  5.2942	  0.4416	 86.5559
2018	  1	   7	  0	  0.2917	  0.0102	  0.0012	308.6280	341.0358	  5.8293	-32.3988	 22.3970	-39.7429	  8.8797	 20.8614	 23.4556	  6.2822	  9.2221	  0.7000	  0.0000	  0.0302	  0.2861	  0.3837	  0.3837	 12.9260	   1.4673	  0.3056	  0.0092	  0.0000	  0.0000	  0.0000	  0.2861	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0115	  0.0115	  0.0000	  0.0000	  0.0000	-999.0000	  0.4115	  0.3988	  5.5004	  5.5009	  5.8228	-999.0000	765.3833	103.7121	111.7741	  0.1168	-999.0000	  0.2666	  0.3982	  2.7662	  0.1862	-64.0680	 85.9776	23166897.9029	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	-32.3988	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	   0.0000	    0.0000	  0.0000	    0.0000	    0.0000	  6.4178	  5.8904	  5.2356	  0.3094	 88.8066
2018	  1	   8	  0	  0.3333	  0.8167	  0.0954	304.8088	338.0480	  5.2336	-32.5180	 26.4386	-39.8732	  4.9821	 28.8117	 27.1314	  6.6612	  5.7182	  0.8000	  0.0000	  0.0417	  0.6242	  0.1341	  0.1341	 13.0601	   1.5919	  0.6680	  0.0092	  0.0000	  0.0000	  0.0000	  0.6242	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0115	  0.0115	  0.0000	  0.0000	  0.0000	-999.0000	  0.4335	  0.4221	  6.0002	  6.0007	  6.3857	-999.0000	766.1400	 96.6427	123.8052	  0.1168	-999.0000	  0.2666	  0.3982	  2.7662	  0.2190	-178.7676	 80.8576	6546715.7588	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	-32.5180	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	   0.0000	    0.0000	  0.0000	    0.0000	    0.0000	  5.5490	  5.2706	  5.1072	  0.4139	 90.4433
2018	  1	   9	  0	  0.3750	  6.2313	  0.7277	303.5670	334.6843	  4.5103	-25.6138	 29.3856	-36.3647	 12.3352	 27.8012	 32.9292	  7.2420	 11.4223	  0.5000	  0.0000	  0.0402	  0.4658	 -0.0060	 -0.0060	 13.0541	   1.5789	  0.4985	  0.0092	  0.0000	  0.0000	  0.0000	  0.4658	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0115	  0.0115	  0.0000	  0.0000	  0.0000	-999.0000	  0.3703	  0.3582	  6.1723	  6.1730	  6.5899	-999.0000	766.5961	 89.8910	136.1867	  0.1168	-999.0000	  0.2666	  0.3982	  2.7662	  0.2682	-167.3769	 68.2167	128171.0671	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	-25.6138	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	   0.0000	    0.0000	  0.0000	    0.0000	    0.0000	  5.0841	  4.5101	  4.9758	  0.4963	 92.9247
2018	  1	  10	  0	  0.4167	 16.2662	  1.8996	303.9004	332.5898	  4.0400	-14.3227	 31.4064	-30.6689	 24.8412	 22.9114	 39.8193	  7.9433	 24.0651	  0.1000	  0.0000	  0.0331	  0.2209	 -0.1540	 -0.1540	 12.9001	   1.4216	  0.2365	  0.0092	  0.0000	  0.0000	  0.0000	  0.2209	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0115	  0.0115	  0.0000	  0.0000	  0.0000	-999.0000	  0.2330	  0.2156	  5.9476	  5.9488	  6.3579	-999.0000	766.6546	 85.4093	149.1045	  0.1168	-999.0000	  0.2666	  0.3982	  2.7662	  0.2258	-42.2874	 68.9345	44513.2397	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	-14.3227	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	   0.0000	    0.0000	  0.0000	    0.0000	    0.0000	  5.1523	  3.9040	  4.8806	  0.4122	 95.1042
