Year	DOY	Hour	Min	 Dectime	flag_test	Tsfc_Paved	Tsfc_Bldgs	Tsfc_EveTr	Tsfc_DecTr	Tsfc_Grass	Tsfc_BSoil	Tsfc_Water	QN_Paved	QN_Bldgs	QN_EveTr	QN_DecTr	QN_Grass	QN_BSoil	QN_Water	QS_Paved	QS_Bldgs	QS_EveTr	QS_DecTr	QS_Grass	QS_BSoil	QS_Water	QE0_Paved	QE0_Bldgs	QE0_EveTr	QE0_DecTr	QE0_Grass	QE0_BSoil	QE0_Water	QE_Paved	QE_Bldgs	QE_EveTr	QE_DecTr	QE_Grass	QE_BSoil	QE_Water	QH_Paved	QH_Bldgs	QH_EveTr	QH_DecTr	QH_Grass	QH_BSoil	QH_Water	wu_Paved	wu_Bldgs	wu_EveTr	wu_DecTr	wu_Grass	wu_BSoil	wu_Water	ev0_Paved	ev0_Bldgs	ev0_EveTr	ev0_DecTr	ev0_Grass	ev0_BSoil	ev0_Water	ev_Paved	ev_Bldgs	ev_EveTr	ev_DecTr	ev_Grass	ev_BSoil	ev_Water	drain_Paved	drain_Bldgs	drain_EveTr	drain_DecTr	drain_Grass	drain_BSoil	drain_Water	st_Paved_prev	st_Bldgs_prev	st_EveTr_prev	st_DecTr_prev	st_Grass_prev	st_BSoil_prev	st_Water_prev	st_Paved_next	st_Bldgs_next	st_EveTr_next	st_DecTr_next	st_Grass_next	st_BSoil_next	st_Water_next	ss_Paved_prev	ss_Bldgs_prev	ss_EveTr_prev	ss_DecTr_prev	ss_Grass_prev	ss_BSoil_prev	ss_Water_prev	ss_Paved_next	ss_Bldgs_next	ss_EveTr_next	ss_DecTr_next	ss_Grass_next	ss_BSoil_next	ss_Water_next	      RS	      RA	      RB	  RAsnow	RSS_Paved	RSS_Bldgs	RSS_EveTr	RSS_DecTr	RSS_Grass	RSS_BSoil	RSS_Water	    vsmd	     dsp	    G_sm	   x_exp	 g_kdown	    g_dq	    g_ta	   g_smd	   g_lai	 vpd_hPa	 lv_J_kg	  avdens	    avcp	   s_hPa	psyc_hPa	    iter	FAIBldg_use	FAIEveTree_use	FAIDecTree_use	     FAI	   dqndt
2018	179	   0	  0	178.0000	   0.0000	   16.7608	   38.3317	   15.9507	   15.9499	   17.2273	   16.9694	   17.0453	-35.2271	189.3954	-43.6317	-43.6272	-30.3744	-33.0623	-37.4480	-11.3730	-11.3730	-11.3730	-11.3730	-11.3730	-11.3730	-11.3730	  -0.0002	   0.0071	  -0.0005	  -0.0005	  -0.0000	  -0.0001	  -5.3190	 -0.0002	  0.0000	 -0.0005	  0.0113	  0.0118	 -0.0001	 -5.3190	-22.3988	202.2235	-30.8032	-30.8105	-17.5581	-20.2341	-19.3009	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  -0.0000	   0.0000	  -0.0000	  -0.0000	  -0.0000	  -0.0000	  -0.0006	 -0.0000	  0.0000	 -0.0000	  0.0000	  0.0000	 -0.0000	 -0.0006	     0.0000	     0.0000	     0.0000	     0.0000	     0.0000	     0.0000	     0.0000	       0.0000	       0.0000	       0.0000	       0.0000	       0.0000	       0.0000	     636.3980	       0.0000	       0.0000	       0.0000	       0.0000	       0.0000	       0.0000	     636.3986	     143.4919	     143.0476	     150.0000	     133.8935	     135.8549	     150.0000	       0.0000	     143.4916	     143.0474	     150.0000	     133.8952	     135.8560	     150.0000	       0.0000	7346708.5934	120.0000	 10.3088	  0.0000	7346708.5934	7346708.5934	7346708.5934	7346708.5934	7346708.5934	7346708.5934	  -0.0000	 15.0523	111.2000	  0.0500	 -4.8074	  0.0001	  0.6727	  0.9090	  0.9957	  0.5476	  2.1860	2458126.2753	  1.2255	1016.0891	  1.3634	  0.6828	 16.0000	     0.0680	        0.0374	        0.0440	  0.1120	 14.6846
2018	179	   1	  0	178.0417	   0.0000	   16.5175	   37.9711	   15.7096	   15.7048	   16.9788	   16.7256	   16.7207	-36.6246	185.9587	-45.0092	-44.9860	-31.7656	-34.4652	-38.4819	-13.0614	-13.0614	-13.0614	-13.0614	-13.0614	-13.0614	-13.0614	  -0.0006	   0.0493	  -0.0025	  -0.0025	   0.0005	  -0.0001	  -3.7931	 -0.0006	  0.0000	 -0.0025	  0.0791	  0.0821	 -0.0001	 -3.7931	-22.2651	200.3176	-30.6479	-30.7062	-17.4889	-20.1062	-20.3299	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  -0.0000	   0.0000	  -0.0000	  -0.0000	   0.0000	  -0.0000	  -0.0005	 -0.0000	  0.0000	 -0.0000	  0.0000	  0.0000	 -0.0000	 -0.0005	     0.0000	     0.0000	     0.0000	     0.0000	     0.0000	     0.0000	     0.0000	       0.0000	       0.0000	       0.0000	       0.0000	       0.0000	       0.0000	     636.4016	       0.0000	       0.0000	       0.0000	       0.0000	       0.0000	       0.0000	     636.4021	     143.4901	     143.0458	     150.0000	     133.9047	     135.8622	     150.0000	       0.0000	     143.4899	     143.0456	     150.0000	     133.9065	     135.8634	     150.0000	       0.0000	2808274.7933	120.0000	 10.3088	  0.0000	2808274.7933	2808274.7933	2808274.7933	2808274.7933	2808274.7933	2808274.7933	   0.0000	 15.0431	111.2000	  0.0500	 -4.8078	  0.0009	  0.6503	  0.9047	  0.9957	  0.5476	  2.3811	2459031.6959	  1.2264	1015.7750	  1.3434	  0.6822	 35.0000	     0.0680	        0.0374	        0.0440	  0.1120	 12.3534
2018	179	   2	  0	178.0833	   0.0000	   15.9877	   37.1494	   15.1867	   15.1066	   16.3686	   16.1939	   16.1366	-37.3083	182.7265	-45.6607	-45.2533	-32.0951	-35.1574	-38.8246	-15.8814	-15.8814	-15.8814	-15.8814	-15.8814	-15.8814	-15.8814	  -0.0144	   0.7998	  -0.0454	  -0.0427	   0.0060	  -0.0065	  -3.1181	 -0.0144	  0.0000	 -0.0454	  1.2805	  1.3292	 -0.0065	 -3.1181	-20.4060	199.6144	-28.7275	-29.6460	-16.5365	-18.2631	-18.8187	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  -0.0000	   0.0001	  -0.0000	  -0.0000	   0.0000	  -0.0000	  -0.0004	 -0.0000	  0.0000	 -0.0000	  0.0002	  0.0002	 -0.0000	 -0.0004	     0.0000	     0.0000	     0.0000	     0.0000	     0.0000	     0.0000	     0.0000	       0.0000	       0.0000	       0.0000	       0.0000	       0.0000	       0.0000	     636.4060	       0.0000	       0.0000	       0.0000	       0.0000	       0.0000	       0.0000	     636.4064	     143.4869	     143.0425	     150.0000	     133.9250	     135.8753	     150.0000	       0.0000	     143.4867	     143.0422	     150.0000	     133.9266	     135.8763	     150.0000	       0.0000	141233.9705	120.0000	 10.3088	  0.0000	141233.9705	141233.9705	141233.9705	141233.9705	141233.9705	141233.9705	   0.0000	 15.0267	111.2000	  0.0500	 -4.8087	  0.0140	  0.6791	  0.8928	  0.9957	  0.5476	  2.1350	2460493.6995	  1.2290	1015.3781	  1.2915	  0.6813	 41.0000	     0.0680	        0.0374	        0.0440	  0.1120	  5.3573
2018	179	   3	  0	178.1250	   0.0000	   15.6681	   36.8442	   14.8843	   14.2414	   15.4697	   15.8700	   16.0071	-34.7844	186.1924	-43.1827	-39.9068	-26.7579	-32.6221	-37.2474	-15.1504	-15.1504	-15.1504	-15.1504	-15.1504	-15.1504	-15.1504	  -0.2469	   6.2981	  -0.4959	  -0.3676	   0.0214	  -0.1828	  -6.4486	 -0.2469	  0.0000	 -0.4959	 10.0515	 10.4405	 -0.1828	 -6.4486	-18.5140	202.2158	-26.6634	-33.9349	-21.1750	-16.4158	-14.7753	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  -0.0000	   0.0008	  -0.0001	  -0.0000	   0.0000	  -0.0000	  -0.0008	 -0.0000	  0.0000	 -0.0001	  0.0012	  0.0013	 -0.0000	 -0.0008	     0.0000	     0.0000	     0.0000	     0.0000	     0.0000	     0.0000	     0.0000	       0.0001	       0.0000	       0.0000	       0.0000	       0.0000	       0.0000	     636.4125	       0.0001	       0.0000	       0.0000	       0.0000	       0.0000	       0.0000	     636.4133	     143.4838	     143.0392	     150.0000	     133.9398	     135.8828	     150.0000	       0.0000	     143.4835	     143.0389	     150.0000	     133.9403	     135.8826	     150.0000	       0.0000	9772.3133	120.0000	 10.3088	  0.0000	9772.3133	9772.3133	9772.3133	9772.3133	9772.3133	9772.3133	   0.0000	 15.0159	111.2000	  0.0500	 -4.8092	  0.1057	  0.7788	  0.8848	  0.9957	  0.5476	  1.3638	2460673.9913	  1.2308	1015.4668	  1.2585	  0.6812	 38.0000	     0.0680	        0.0374	        0.0440	  0.1120	  2.5423
2018	179	   4	  0	178.1667	   0.0000	   16.3368	   44.2061	   15.5915	   12.8778	   13.9282	   16.3442	   16.5460	 -2.7353	310.8561	-11.7900	  0.3141	 12.9950	 -2.7841	 -4.9521	 16.0430	 16.0430	 16.0430	 16.0430	 16.0430	 16.0430	 16.0430	  -0.3586	  25.4560	  -1.0945	  -0.0876	   0.9369	  -0.3727	  -4.4852	 -0.3586	  0.0000	 -1.0945	 42.0248	 43.0494	 -0.3727	 -4.4852	-17.3891	295.8437	-25.7079	-56.7231	-45.0667	-17.4237	-15.4792	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  -0.0000	   0.0031	  -0.0001	  -0.0000	   0.0001	  -0.0000	  -0.0005	 -0.0000	  0.0000	 -0.0001	  0.0051	  0.0053	 -0.0000	 -0.0005	     0.0000	     0.0000	     0.0000	     0.0000	     0.0000	     0.0000	     0.0000	       0.0008	       0.0000	       0.0000	       0.0000	       0.0000	       0.0000	     636.4229	       0.0008	       0.0000	       0.0000	       0.0000	       0.0000	       0.0000	     636.4235	     143.4806	     143.0359	     150.0000	     133.9268	     135.8616	     150.0000	       0.0000	     143.4803	     143.0356	     150.0000	     133.9234	     135.8575	     150.0000	       0.0000	2342.4069	112.4469	 10.3088	  0.0000	2334.8920	2342.4069	2342.4069	2342.4069	2342.4069	2342.4069	  -0.0000	 15.0332	111.2000	  0.0500	 -4.8083	  0.3420	  0.7629	  0.8933	  0.9957	  0.5476	  1.4798	2459610.0566	  1.2285	1015.7665	  1.2936	  0.6816	100.0000	     0.0680	        0.0374	        0.0440	  0.1120	  9.8619
2018	179	   5	  0	178.2083	   0.0000	   19.2674	   58.0235	   18.3499	   12.1094	   12.9855	   18.7412	   18.1520	 59.1398	484.0903	 49.8320	 76.0837	 87.0310	 54.7672	 63.1765	 62.5783	 62.5783	 62.5783	 62.5783	 62.5783	 62.5783	 62.5783	   2.4283	  51.1497	   1.3709	   4.4433	   5.6830	   1.9198	  16.7228	  0.6200	  0.0000	  1.3709	 95.4239	 96.6636	  1.9198	 16.7228	 -2.5792	422.9913	-12.6378	-80.4392	-70.7316	 -8.2516	-14.6453	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	   0.0003	   0.0062	   0.0002	   0.0005	   0.0007	   0.0002	   0.0020	  0.0001	  0.0000	  0.0002	  0.0116	  0.0118	  0.0002	  0.0020	     0.0000	     0.0000	     0.0000	     0.0000	     0.0000	     0.0000	     0.0000	       0.0003	       0.0000	       0.0000	       0.0000	       0.0000	       0.0000	     636.4167	       0.0002	       0.0000	       0.0000	       0.0000	       0.0000	       0.0000	     636.4146	     143.4774	     143.0325	     150.0000	     133.8542	     135.7802	     150.0000	       0.0000	     143.4771	     143.0322	     150.0000	     133.8443	     135.7696	     150.0000	       0.0000	1695.8766	112.8074	 10.3088	  0.0000	1695.8766	1695.8766	1695.8766	1695.8766	1695.8766	1695.8766	   0.0000	 15.1105	111.2000	  0.0500	 -4.8045	  0.5696	  0.5964	  0.9178	  0.9956	  0.5476	  2.9178	2457547.1065	  1.2218	1016.1612	  1.4081	  0.6823	114.0000	     0.0680	        0.0374	        0.0440	  0.1120	  9.4394
2018	179	   6	  0	178.2500	   0.0000	   22.9435	   56.2907	   21.9481	   16.7364	   17.3517	   21.9534	   19.1574	129.7446	642.7859	119.3632	135.0133	145.3130	118.9963	147.4777	109.0718	109.0718	109.0718	109.0718	109.0718	109.0718	109.0718	   6.0831	  42.1035	   5.3776	   6.8469	   7.5693	   5.3978	  85.4235	  0.0000	  0.0000	  5.3776	 97.9030	 98.6255	  5.3978	 85.4235	 22.7341	535.7754	  6.9751	-69.9003	-60.3230	  6.5880	-44.9563	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	   0.0007	   0.0051	   0.0007	   0.0008	   0.0009	   0.0007	   0.0104	  0.0000	  0.0000	  0.0007	  0.0120	  0.0120	  0.0007	  0.0104	     0.0000	     0.0000	     0.0000	     0.0000	     0.0000	     0.0000	     0.0000	       0.0000	       0.0000	       0.0000	       0.0000	       0.0000	       0.0000	     636.3589	       0.0000	       0.0000	       0.0000	       0.0000	       0.0000	       0.0000	     636.3485	     143.4742	     143.0291	     150.0000	     133.7177	     135.6350	     150.0000	       0.0000	     143.4739	     143.0289	     150.0000	     133.7075	     135.6242	     150.0000	       0.0000	2481.8955	 81.1386	 10.0304	  0.0000	2481.8955	2481.8955	2481.8955	2481.8955	2481.8955	2481.8955	   0.0000	 15.2517	111.2000	  0.0500	 -4.7974	  0.7187	  0.3253	  0.9471	  0.9956	  0.5476	  7.3031	2457155.1669	  1.2124	1015.5756	  1.5826	  0.6818	111.0000	     0.0680	        0.0374	        0.0440	  0.1120	 11.2698
2018	179	   7	  0	178.2917	   0.0000	   25.4323	   50.6042	   24.5846	   21.2141	   21.5985	   24.3142	   19.6673	213.2744	809.8460	200.6373	200.4934	209.8820	193.8029	241.2526	162.7612	162.7612	162.7612	162.7612	162.7612	162.7612	162.7612	   7.9400	  31.2816	   7.4456	   7.4402	   7.8077	   7.1785	 165.5055	  0.0000	  0.0000	  7.4456	 87.1272	 87.4947	  7.1785	165.5055	 53.1565	649.7281	 33.0739	-46.7516	-37.7305	 26.5066	-84.3707	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	   0.0010	   0.0038	   0.0009	   0.0009	   0.0010	   0.0009	   0.0202	  0.0000	  0.0000	  0.0009	  0.0106	  0.0107	  0.0009	  0.0202	     0.0000	     0.0000	     0.0000	     0.0000	     0.0000	     0.0000	     0.0000	       0.0000	       0.0000	       0.0000	       0.0000	       0.0000	       0.0000	     636.1690	       0.0000	       0.0000	       0.0000	       0.0000	       0.0000	       0.0000	     636.1487	     143.4709	     143.0257	     150.0000	     133.6119	     135.5214	     150.0000	       0.0000	     143.4706	     143.0254	     150.0000	     133.6030	     135.5119	     150.0000	       0.0000	3143.3368	 51.5234	  8.1124	  0.0000	3143.3368	3143.3368	3143.3368	3143.3368	3143.3368	3143.3368	  -0.0000	 15.3617	111.2000	  0.0500	 -4.7919	  0.8101	  0.2134	  0.9650	  0.9955	  0.5476	 10.8478	2456959.6011	  1.2056	1015.1059	  1.7219	  0.6814	 60.0000	     0.0680	        0.0374	        0.0440	  0.1120	 19.2104
2018	179	   8	  0	178.3333	   0.0000	   27.2782	   52.3535	   26.4236	   22.8594	   23.1267	   25.9474	   20.6818	300.7587	974.1286	286.8659	282.0275	289.4290	273.4664	332.8676	217.0772	217.0772	217.0772	217.0772	217.0772	217.0772	217.0772	   9.5852	  34.6466	   9.0681	   8.8891	   9.1651	   8.5705	 210.2015	  0.0000	  0.0000	  9.0681	 99.9316	100.2076	  8.5705	210.2015	 86.9069	760.2768	 63.9459	-31.7559	-24.6304	 51.0440	-91.1858	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	   0.0012	   0.0042	   0.0011	   0.0011	   0.0011	   0.0010	   0.0257	  0.0000	  0.0000	  0.0011	  0.0122	  0.0122	  0.0010	  0.0257	     0.0000	     0.0000	     0.0000	     0.0000	     0.0000	     0.0000	     0.0000	       0.0000	       0.0000	       0.0000	       0.0000	       0.0000	       0.0000	     635.8970	       0.0000	       0.0000	       0.0000	       0.0000	       0.0000	       0.0000	     635.8714	     143.4676	     143.0223	     150.0000	     133.4964	     135.3982	     150.0000	       0.0000	     143.4673	     143.0220	     150.0000	     133.4859	     135.3872	     150.0000	       0.0000	3047.4480	 45.3762	  7.2158	  0.0000	3047.4480	3047.4480	3047.4480	3047.4480	3047.4480	3047.4480	   0.0000	 15.4814	111.2000	  0.0500	 -4.7859	  0.8675	  0.2038	  0.9730	  0.9955	  0.5476	 11.4082	2455224.2824	  1.2020	1015.6305	  1.7993	  0.6821	 72.0000	     0.0680	        0.0374	        0.0440	  0.1120	 22.7874
2018	179	   9	  0	178.3750	   0.0000	   28.9079	   54.7471	   28.0190	   24.2746	   24.4664	   27.3718	   21.0902	371.4893	1102.3134	356.6875	347.9714	353.5327	337.6400	409.9766	258.8194	258.8194	258.8194	258.8194	258.8194	258.8194	258.8194	  10.8112	  35.6846	  10.3074	  10.0113	  10.2011	   9.6600	 261.3248	  0.0000	  0.0000	 10.3074	107.0846	107.2744	  9.6600	261.3248	116.4773	847.3013	 91.3681	-14.1252	 -8.7538	 72.9679	-106.3603	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	   0.0013	   0.0044	   0.0013	   0.0012	   0.0012	   0.0012	   0.0319	  0.0000	  0.0000	  0.0013	  0.0131	  0.0131	  0.0012	  0.0319	     0.0000	     0.0000	     0.0000	     0.0000	     0.0000	     0.0000	     0.0000	       0.0000	       0.0000	       0.0000	       0.0000	       0.0000	       0.0000	     635.5553	       0.0000	       0.0000	       0.0000	       0.0000	       0.0000	       0.0000	     635.5234	     143.4642	     143.0188	     150.0000	     133.3660	     135.2604	     150.0000	       0.0000	     143.4640	     143.0185	     150.0000	     133.3547	     135.2485	     150.0000	       0.0000	3302.6072	 42.9031	  7.0246	  0.0000	3302.6072	3302.6072	3302.6072	3302.6072	3302.6072	3302.6072	   0.0000	 15.6157	111.2000	  0.0500	 -4.7792	  0.9035	  0.1798	  0.9793	  0.9954	  0.5476	 13.3062	2455222.8437	  1.1985	1015.3713	  1.8716	  0.6817	 52.0000	     0.0680	        0.0374	        0.0440	  0.1120	 20.6885
