Year	DOY	Hour	Min	 Dectime	 azimuth	altitude	GlobalRad	DiffuseRad	DirectRad	 Kdown2d	   Kup2d	  Ksouth	   Kwest	  Knorth	   Keast	 Ldown2d	   Lup2d	  Lsouth	   Lwest	  Lnorth	   Least	    Tmrt	      I0	      CI	SH_Ground	SH_Walls	SVF_Ground	SVF_Roof	SVF_BdVeg	Emis_Sky	      Ta	      Tg	      Tw
2018	179	   0	  0	178.0000	356.4658	 -8.9703	   0.0200	    0.0000	   0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	400.2297	383.0500	379.3834	379.3834	379.3834	379.3834	 13.1255	 51.3710	  0.5056	   0.0000	  0.0000	    0.8191	  0.9348	   0.8191	  0.8405	 18.9000	  0.0000	  0.0000
2018	179	   1	  0	178.0417	 94.0093	 -8.8729	   0.1496	    0.0000	   0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	397.0006	381.6317	377.7698	377.7698	377.7698	377.7698	 12.8056	 51.4318	  0.5081	   0.0000	  0.0000	    0.8191	  0.9348	   0.8191	  0.8374	 18.6292	  0.0000	  0.0000
2018	179	   2	  0	178.0833	 17.8170	 -7.3560	   2.4581	    0.0000	   0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	392.8545	377.8973	373.2586	373.2586	373.2586	373.2586	 11.9637	 51.5084	  0.5529	   0.0000	  0.0000	    0.8191	  0.9348	   0.8191	  0.8337	 17.9125	  0.0000	  0.0000
2018	179	   3	  0	178.1250	 31.2395	 -3.6906	  20.5810	    0.0000	   0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	393.9796	375.4778	367.0134	367.0134	367.0134	367.0134	 10.8976	 51.4895	  0.8351	   0.0000	  0.0000	    0.8191	  0.9348	   0.8191	  0.8349	 17.4458	  0.0000	  0.0000
2018	179	   4	  0	178.1667	 44.1158	  1.3295	  85.2542	  123.8183	  64.6826	 68.2070	  4.9787	 22.3134	 22.3134	 22.4892	 22.5003	397.0235	378.2755	366.0958	366.0958	367.5244	367.5244	 14.1946	 40.1711	  1.0000	   0.0148	  0.0478	    0.8191	  0.9348	   0.8191	  0.8377	 17.9417	  3.0076	  0.0000
2018	179	   5	  0	178.2083	 56.4725	  7.1809	 193.9660	  623.4741	 115.0693	188.3606	  9.0300	 41.3469	 41.3469	 43.5298	 45.3686	401.1330	386.4428	374.0062	374.2592	375.6011	375.6011	 18.9569	131.0581	  1.0000	   0.0071	  0.1282	    0.8191	  0.9348	   0.8191	  0.8408	 19.4833	  7.2194	  0.5639
2018	179	   6	  0	178.2500	 68.5006	 14.1965	 323.6306	  681.8787	 156.0939	316.3991	 13.6674	 57.6404	 57.6404	 80.5662	115.7368	399.1251	402.7265	387.6570	389.9068	388.3198	388.3198	 25.9373	257.0907	  1.0000	   0.0947	  0.2183	    0.8191	  0.9348	   0.8191	  0.8334	 21.6458	  9.8522	  3.0322
2018	179	   7	  0	178.2917	 80.5277	 21.8600	 456.5967	  712.5015	 191.2777	448.1045	 17.7151	 72.3672	 72.3672	 83.4340	142.5771	399.3016	413.7850	396.3058	402.3266	397.2451	397.2451	 29.8956	390.7255	  1.0000	   0.1079	  0.3010	    0.8191	  0.9348	   0.8191	  0.8275	 23.2417	 12.3723	  5.5523
2018	179	   8	  0	178.3333	 93.0364	 29.8101	 581.4260	  734.4997	 216.3765	572.2190	 22.6110	 90.6869	 84.1334	 84.8538	188.4966	406.3459	424.5782	405.0186	413.8701	404.5738	405.4644	 34.0613	520.5053	  1.0000	   0.1646	  0.3747	    0.8191	  0.9348	   0.8191	  0.8326	 24.0792	 14.7356	  7.9156
2018	179	   9	  0	178.3750	106.6861	 37.6595	 687.2823	  755.7207	 225.7242	678.1744	 27.2357	129.3012	 90.9173	 90.9173	215.8810	407.2537	436.3405	413.0932	423.9843	414.8326	413.0932	 37.9391	640.4966	  1.0000	   0.2198	  0.4371	    0.8191	  0.9348	   0.8191	  0.8293	 24.8333	 16.9007	 10.0807
2018	179	  10	  0	178.4167	122.3358	 44.9070	 766.0317	  774.0546	 219.7945	757.7588	 32.3532	179.9895	 92.9477	 92.9477	229.1325	400.3406	451.9950	421.5160	433.1549	428.0343	421.5160	 41.3449	744.5511	  1.0000	   0.2968	  0.4829	    0.8191	  0.9348	   0.8191	  0.8137	 25.6333	 18.8298	 12.0098
2018	179	  11	  0	178.4583	140.9425	 50.8614	 811.1337	  822.4656	 172.8941	805.9097	 37.3326	244.3357	 83.0313	 83.0313	211.8609	393.9378	470.9250	431.1395	440.6206	443.5681	431.1395	 43.6841	822.5227	  1.0000	   0.4001	  0.4998	    0.8191	  0.9348	   0.8191	  0.7995	 26.1625	 20.4891	 13.6691
2018	179	  12	  0	178.5000	162.9132	 54.6139	 822.4575	  801.3471	 169.3554	817.5122	 41.9882	293.5754	 84.0990	 84.0990	149.1365	388.2555	484.3718	437.0480	440.7284	454.8998	437.0480	 44.3044	868.0246	  0.9985	   0.4763	  0.5000	    0.8191	  0.9348	   0.8191	  0.7896	 26.1375	 21.8495	 15.0295
2018	179	  13	  0	178.5417	186.9211	 55.3193	 796.4375	  720.9931	 203.4837	789.3155	 42.6907	290.9478	117.8857	 92.7819	 94.7661	383.4331	489.5479	439.4623	439.1249	459.6557	440.6544	 44.1031	878.5220	  0.9700	   0.4898	  0.5000	    0.8191	  0.9348	   0.8191	  0.7809	 26.1625	 22.8873	 16.0673
2018	179	  14	  0	178.5833	210.0472	 52.7879	 726.1021	  617.0729	 234.1185	716.7371	 38.3084	239.8907	177.5277	 97.5836	 97.5836	388.5548	481.4196	437.1601	437.1601	454.1327	445.6162	 43.8232	848.1464	  0.9261	   0.4395	  0.5000	    0.8191	  0.9348	   0.8191	  0.7888	 26.2458	 22.2738	 15.8303
2018	179	  15	  0	178.6250	230.1160	 47.6523	 585.1885	  423.2616	 271.8595	572.7263	 31.0181	164.6293	174.9920	101.8711	101.8711	391.5284	455.5909	426.0090	426.0090	434.3706	436.3912	 39.5532	784.4239	  0.8309	   0.3390	  0.4945	    0.8191	  0.9348	   0.8191	  0.7972	 26.0917	 16.8607	 12.0545
2018	179	  16	  0	178.6667	246.9189	 40.8560	 491.1592	  374.6127	 245.9488	479.6493	 24.8951	118.9906	156.1647	 90.5368	 90.5368	390.7143	441.5049	417.4305	417.4305	421.3164	429.7705	 35.5674	693.3564	  0.8163	   0.2536	  0.4591	    0.8191	  0.9348	   0.8191	  0.8008	 25.3500	 16.1692	 11.5578
2018	179	  17	  0	178.7083	261.3025	 33.1921	 383.1725	  312.4334	 211.3637	373.0416	 19.3271	 84.0681	123.2311	 76.4941	 76.4941	399.5866	428.6209	410.4815	410.4815	410.5419	422.6982	 31.3928	576.3010	  0.8027	   0.1814	  0.4024	    0.8191	  0.9348	   0.8191	  0.8194	 24.4750	 15.1089	 10.7325
2018	179	  18	  0	178.7500	274.2067	 25.2292	 253.0598	  202.0657	 165.8584	244.8170	 13.9686	 58.7489	 83.6655	 60.1507	 58.6419	392.1521	418.5754	403.2242	404.1845	403.8752	413.1368	 26.7365	449.6508	  0.7395	   0.1352	  0.3334	    0.8191	  0.9348	   0.8191	  0.8132	 23.8208	 11.8780	  8.3300
2018	179	  19	  0	178.7917	286.3706	 17.3961	 132.9092	   78.1821	 108.1263	127.3382	  8.5438	 37.4113	 43.8939	 39.1045	 37.4113	378.8690	408.8926	397.4168	397.5256	397.5256	402.4189	 21.7791	317.3202	  0.6482	   0.0929	  0.2553	    0.8191	  0.9348	   0.8191	  0.7995	 22.9583	  8.0937	  5.5609
