Year	DOY	Hour	Min	 Dectime	   Kdown	     Kup	   Ldown	     Lup	   Tsurf	      QN	      QF	      QS	      QH	      QE	 QHlumps	 QElumps	 QHresis	    Rain	     Irr	    Evap	      RO	   TotCh	  SurfCh	   State	NWtrState	Drainage	     SMD	  FlowCh	AddWater	  ROSoil	  ROPipe	   ROImp	   ROVeg	 ROWater	   WUInt	 WUEveTr	 WUDecTr	 WUGrass	SMDPaved	SMDBldgs	SMDEveTr	SMDDecTr	SMDGrass	SMDBSoil	 StPaved	 StBldgs	 StEveTr	 StDecTr	 StGrass	 StBSoil	 StWater	  Zenith	 Azimuth	 AlbBulk	    Fcld	     LAI	     z0m	     zdm	   UStar	     Lob	      RA	      RS	      Fc	 FcPhoto	 FcRespi	 FcMetab	 FcTraff	 FcBuild	 FcPoint	QNSnowFr	  QNSnow	 AlbSnow	      QM	QMFreeze	  QMRain	     SWE	MeltWater	MeltWStore	  SnowCh	SnowRPaved	SnowRBldgs	      Ts	      T2	      Q2	     U10	     RH2
2018	179	   0	  0	178.0000	  0.0200	  0.0000	399.4536	381.9579	 23.5850	 17.4957	 16.4347	-14.7088	 48.6554	 -0.0161	 54.9671	 18.7537	 48.6147	  0.0000	  0.0000	 -0.0000	  0.0000	  0.0000	  0.0000	  7.5997	   0.0000	  0.0000	 10.6541	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  7.6369	  7.8535	-999.0000	 15.2179	 25.0595	 12.0112	  0.0000	  0.0000	-999.0000	  0.0000	  0.0000	  0.0000	345.4404	 98.9707	356.4783	  0.1181	-999.0000	  1.1124	  0.5563	  3.8645	  0.1500	 -6.4278	120.0000	5939887.1615	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	-39.0610	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	   0.0000	    0.0000	  0.0000	    0.0000	    0.0000	 23.5890	 19.3356	 12.0353	  0.1446	 87.5865
2018	179	   1	  0	178.0417	  0.1496	  4.9369	396.1171	380.0221	 23.2157	 16.0950	 14.6543	-16.0703	 46.8093	  0.0102	 33.6882	 12.9121	 47.6121	  0.0000	  0.0000	  0.0000	  0.0000	 -0.0000	  0.0000	  7.5997	   0.0000	  0.0000	 10.6541	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  7.6417	  7.8585	-999.0000	 15.1955	 25.0446	 11.9492	  0.0000	  0.0000	-999.0000	  0.0000	  0.0000	  0.0000	345.4408	 98.4934	 10.3906	  0.1181	-999.0000	  1.1124	  0.5563	  3.8645	  0.1500	 -6.9213	120.0000	2270515.8110	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	-39.9961	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	   0.0000	    0.0000	  0.0000	    0.0000	    0.0000	 23.1384	 19.0481	 11.6919	  0.1446	 86.6184
2018	179	   2	  0	178.0833	  2.4581	131.1586	391.9632	375.9384	 22.3423	 16.0248	 11.3674	-18.2704	 45.4461	  0.2164	 32.8432	 12.5247	 46.0666	  0.0000	  0.0000	  0.0003	  0.0000	 -0.0003	  0.0001	  7.5998	   0.0000	  0.0000	 10.6545	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  7.6465	  7.8635	-999.0000	 15.1749	 25.0315	 11.8905	  0.0000	  0.0000	-999.0000	  0.0000	  0.0000	  0.0000	345.4433	 96.0954	 24.0647	  0.1181	-999.0000	  1.1124	  0.5563	  3.8645	  0.1500	 -6.8916	120.0000	114188.5921	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	-36.9912	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	   0.0000	    0.0000	  0.0000	    0.0000	    0.0000	 22.2826	 18.3185	 11.2664	  0.1446	 87.3758
2018	179	   3	  0	178.1250	 20.5810	1720.4153	393.3237	373.2199	 21.8106	 20.1038	  9.8608	-17.1386	 45.3798	  1.7235	 34.2739	 12.7936	 45.4613	  0.0000	  0.0000	  0.0025	  0.0000	 -0.0025	  0.0004	  7.6002	   0.0002	  0.0000	 10.6575	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  7.6514	  7.8685	-999.0000	 15.1667	 25.0314	 11.8461	  0.0005	  0.0000	-999.0000	  0.0000	  0.0000	  0.0000	345.4531	 91.2179	 37.2475	  0.1181	-999.0000	  1.1124	  0.5563	  3.8645	  0.1500	 -7.4929	120.0000	7900.9591	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	-16.9127	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	   0.0000	    0.0000	  0.0000	    0.0000	    0.0000	 21.8028	 17.8506	 11.3828	  0.1446	 90.8937
2018	179	   4	  0	178.1667	 85.2542	1156.6239	396.3850	375.9743	 23.6316	 73.3466	 11.6413	  9.5408	 68.0293	  7.4177	 56.9140	 18.9536	 67.8989	  0.0000	  0.0000	  0.0109	  0.0000	 -0.0109	  0.0007	  7.6009	   0.0008	  0.0000	 10.6694	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  7.6562	  7.8735	-999.0000	 15.2005	 25.0744	 11.8454	  0.0016	  0.0000	-999.0000	  0.0000	  0.0000	  0.0000	345.4625	 86.2470	 49.8649	  0.1181	-999.0000	  1.1124	  0.5563	  3.8645	  0.1500	 -4.8795	107.7608	1893.8500	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	 31.3985	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	   0.0000	    0.0000	  0.0000	    0.0000	    0.0000	 23.6464	 18.5259	 11.7362	  0.1498	 89.7991
2018	179	   5	  0	178.2083	193.9660	 44.7568	400.0000	385.8816	 28.3513	163.3277	 16.7086	 51.1982	111.5289	 17.3092	 98.4094	 30.9810	110.9683	  0.0000	  0.0000	  0.0254	  0.0000	 -0.0254	 -0.0006	  7.6003	   0.0002	  0.0000	 10.6946	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  7.6610	  7.8785	-999.0000	 15.2993	 25.1828	 11.9096	  0.0005	  0.0000	-999.0000	  0.0000	  0.0000	  0.0000	345.4562	 79.7373	 62.0304	  0.1181	-999.0000	  1.1124	  0.5563	  3.8645	  0.1500	 -2.8374	 98.6456	1371.1387	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	 99.0329	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	   0.0000	    0.0000	  0.0000	    0.0000	    0.0000	 28.3961	 20.4736	 12.1988	  0.1468	 82.6717
2018	179	   6	  0	178.2500	323.6306	 67.6584	396.1530	399.4498	 31.1180	252.6754	 23.2825	 92.8341	163.9829	 19.1409	139.4338	 44.1852	163.5118	  0.0000	  0.0000	  0.0280	  0.0000	 -0.0280	 -0.0022	  7.5981	   0.0000	  0.0000	 10.7211	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  7.6659	  7.8836	-999.0000	 15.4040	 25.2968	 11.9779	  0.0000	  0.0000	-999.0000	  0.0000	  0.0000	  0.0000	345.3681	 72.3619	 73.9913	  0.1181	-999.0000	  1.1124	  0.5563	  3.8645	  0.1647	 -2.5915	 73.2652	2006.6742	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	193.8062	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	   0.0000	    0.0000	  0.0000	    0.0000	    0.0000	 31.1438	 22.8355	 11.4901	  0.1884	 67.5126
2018	179	   7	  0	178.2917	456.5967	 88.5408	394.7533	409.9786	 32.5502	352.8305	 29.8564	141.1598	221.9122	 19.6149	183.4225	 58.6344	221.3620	  0.0000	  0.0000	  0.0287	  0.0000	 -0.0287	 -0.0041	  7.5940	   0.0000	  0.0000	 10.7463	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  7.6708	  7.8887	-999.0000	 15.5031	 25.4046	 12.0392	  0.0000	  0.0000	-999.0000	  0.0000	  0.0000	  0.0000	345.1835	 64.5088	 86.1453	  0.1181	-999.0000	  1.1124	  0.5563	  3.8645	  0.2657	 -7.9181	 51.5972	2541.5039	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	303.2459	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	   0.0000	    0.0000	  0.0000	    0.0000	    0.0000	 32.5736	 23.9959	 10.8773	  0.3905	 59.4627
2018	179	   8	  0	178.3333	581.4260	106.4669	400.9610	416.9804	 34.5308	458.9397	 36.4303	190.8976	281.4095	 23.0630	230.7400	 73.8420	281.4255	  0.0000	  0.0000	  0.0338	  0.0000	 -0.0338	 -0.0053	  7.5888	   0.0000	  0.0000	 10.7755	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  7.6757	  7.8938	-999.0000	 15.6211	 25.5315	 12.1184	  0.0000	  0.0000	-999.0000	  0.0000	  0.0000	  0.0000	344.9436	 56.5329	 99.0559	  0.1181	-999.0000	  1.1124	  0.5563	  3.8645	  0.3670	-16.4036	 45.4398	2464.0227	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	406.5480	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	   0.0000	    0.0000	  0.0000	    0.0000	    0.0000	 34.5304	 24.7853	 11.4382	  0.5502	 59.6113
2018	179	   9	  0	178.3750	687.2823	120.4246	400.7216	423.7296	 36.5585	543.8496	 43.0042	228.5802	332.5991	 25.6745	271.2021	 87.2832	332.0453	  0.0000	  0.0000	  0.0376	  0.0000	 -0.0376	 -0.0069	  7.5819	   0.0000	  0.0000	 10.8069	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  7.6807	  7.8990	-999.0000	 15.7500	 25.6694	 12.2069	  0.0000	  0.0000	-999.0000	  0.0000	  0.0000	  0.0000	344.6306	 48.8653	113.4645	  0.1181	-999.0000	  1.1124	  0.5563	  3.8645	  0.4025	-18.1988	 42.9683	2670.3946	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	486.3314	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	   0.0000	    0.0000	  0.0000	    0.0000	    0.0000	 36.5780	 25.6161	 11.1283	  0.5974	 55.2208
