Year	DOY	Hour	Min	 Dectime	 azimuth	altitude	GlobalRad	DiffuseRad	DirectRad	 Kdown2d	   Kup2d	  Ksouth	   Kwest	  Knorth	   Keast	 Ldown2d	   Lup2d	  Lsouth	   Lwest	  Lnorth	   Least	    Tmrt	      I0	      CI	SH_Ground	SH_Walls	SVF_Ground	SVF_Roof	SVF_BdVeg	Emis_Sky	      Ta	      Tg	      Tw
2018	179	   0	  0	178.0000	356.4721	 -8.9705	   0.0200	    0.0000	   0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	400.1994	391.8993	383.9986	383.9986	383.9986	383.9986	 13.9842	 51.3710	  0.5056	   0.0000	  0.0000	    0.8287	  0.9373	   0.8287	  0.8405	 18.9000	  0.0000	  0.0000
2018	179	   1	  0	178.0417	 94.0155	 -8.8726	   0.1496	    0.0000	   0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	396.9661	390.4482	382.3622	382.3622	382.3622	382.3622	 13.6630	 51.4318	  0.5081	   0.0000	  0.0000	    0.8287	  0.9373	   0.8287	  0.8374	 18.6292	  0.0000	  0.0000
2018	179	   2	  0	178.0833	 17.8231	 -7.3549	   2.4581	    0.0000	   0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	392.8197	386.6275	377.7743	377.7743	377.7743	377.7743	 12.8150	 51.5084	  0.5529	   0.0000	  0.0000	    0.8287	  0.9373	   0.8287	  0.8337	 17.9125	  0.0000	  0.0000
2018	179	   3	  0	178.1250	 31.2454	 -3.6862	  20.5810	    0.0000	   0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	393.9540	384.1521	371.3429	371.3429	371.3429	371.3429	 11.7267	 51.4896	  0.8351	   0.0000	  0.0000	    0.8287	  0.9373	   0.8287	  0.8349	 17.4458	  0.0000	  0.0000
2018	179	   4	  0	178.1667	 44.1215	  1.3317	  85.2542	  124.2002	  64.6584	 68.0471	  4.9499	 21.5653	 21.5653	 21.8263	 21.8428	396.9986	387.0384	370.4978	370.4978	371.8144	371.8144	 14.9166	 40.2035	  1.0000	   0.0160	  0.0503	    0.8287	  0.9373	   0.8287	  0.8377	 17.9417	  3.0084	  0.0000
2018	179	   5	  0	178.2083	 56.4779	  7.1838	 193.9660	  623.5922	 115.0262	187.9168	  8.9545	 39.4241	 39.4241	 42.1580	 44.4359	401.0888	395.4489	378.5725	378.8184	380.0251	380.0251	 19.5722	131.1110	  1.0000	   0.0088	  0.1370	    0.8287	  0.9373	   0.8287	  0.8408	 19.4833	  7.2194	  0.5639
2018	179	   6	  0	178.2500	 68.5059	 14.1999	 323.6306	  681.8699	 156.0581	315.6511	 13.5530	 54.5082	 54.5082	 78.0772	114.3851	399.0090	412.1933	392.4092	394.5953	392.9536	392.9536	 26.4365	257.1494	  1.0000	   0.0976	  0.2300	    0.8287	  0.9373	   0.8287	  0.8334	 21.6458	  9.8522	  3.0322
2018	179	   7	  0	178.2917	 80.5332	 21.8635	 456.5967	  712.4835	 191.2438	447.0437	 17.7226	 68.0344	 68.0344	 80.2506	144.8693	399.1241	424.0571	401.4621	407.3118	402.2732	402.2732	 30.4473	390.7853	  1.0000	   0.1181	  0.3146	    0.8287	  0.9373	   0.8287	  0.8275	 23.2417	 12.3723	  5.5523
2018	179	   8	  0	178.3333	 93.0422	 29.8137	 581.4260	  734.4832	 216.3450	570.8633	 22.8167	 85.8950	 78.7342	 79.5333	192.8905	406.1357	435.7097	410.5416	419.2181	410.1622	410.9492	 34.6177	520.5618	  1.0000	   0.1801	  0.3889	    0.8287	  0.9373	   0.8287	  0.8326	 24.0792	 14.7356	  7.9156
2018	179	   9	  0	178.3750	106.6925	 37.6629	 687.2823	  755.7069	 225.6969	676.5666	 27.8099	126.9931	 84.7164	 84.7164	222.5001	406.9987	448.6842	419.1905	429.8746	420.9859	419.1905	 38.6289	640.5462	  1.0000	   0.2424	  0.4503	    0.8287	  0.9373	   0.8287	  0.8293	 24.8333	 16.9007	 10.0807
2018	179	  10	  0	178.4167	122.3434	 44.9100	 766.0317	  774.0438	 219.7732	755.9613	 33.4905	182.6281	 86.3051	 86.3051	236.7644	400.0234	466.0563	428.4445	439.8554	434.8839	428.4445	 42.2396	744.5904	  1.0000	   0.3281	  0.4919	    0.8287	  0.9373	   0.8287	  0.8137	 25.6333	 18.8298	 12.0098
2018	179	  11	  0	178.4583	140.9516	 50.8636	 811.1337	  822.4282	 172.9032	803.9953	 39.3249	254.8492	 76.5099	 76.5099	219.1906	393.5677	487.2972	439.2099	448.5241	451.3919	439.2099	 44.8884	822.5490	  1.0000	   0.4427	  0.5000	    0.8287	  0.9373	   0.8287	  0.7995	 26.1625	 20.4891	 13.6691
2018	179	  12	  0	178.5000	162.9236	 54.6149	 822.4575	  801.3166	 169.3716	815.5698	 43.7345	303.4013	 77.4247	 77.4247	147.6350	387.8484	500.8254	445.1186	448.7966	462.5683	445.1186	 45.2877	868.0359	  0.9985	   0.5138	  0.5000	    0.8287	  0.9373	   0.8287	  0.7896	 26.1375	 21.8495	 15.0295
2018	179	  13	  0	178.5417	186.9319	 55.3188	 796.4375	  721.0041	 203.4778	787.4419	 44.2026	299.0324	113.1656	 86.1141	 88.2319	382.9956	506.2708	447.6627	447.3604	467.3854	448.9033	 45.0009	878.5174	  0.9700	   0.5263	  0.5000	    0.8287	  0.9373	   0.8287	  0.7809	 26.1625	 22.8873	 16.0673
