Year	DOY	Hour	Min	 Dectime	   Kdown	     Kup	   Ldown	     Lup	   Tsurf	      QN	      QF	      QS	      QH	      QE	    Rain	     Irr	    Evap	      RO	   TotCh	  SurfCh	   State	NWtrState	Drainage	     SMD	  Zenith	 Azimuth	 AlbBulk	    Fcld	     LAI	   UStar	     Lob	      Fc	      Ts	      T2	      Q2	     U10	     RH2
2012	  1	   1	  0	  0.0417	  0.1408	  3.3662	344.2365	371.7825	 11.4937	-27.5461	 40.8661	  9.2869	 -4.6046	  8.6378	  0.0000	  0.0000	  0.0130	  0.0343	 -0.0472	 -0.0479	2664.0572	   0.1122	  0.0181	 94.0984	149.5848	 26.5039	  0.1104	  0.6267	  0.0680	  0.7167	-1790.0276	  0.0000	 11.4821	 11.6634	  7.4142	  0.5415	 86.3208
2012	  1	   2	  0	  0.0833	  0.0167	  0.0000	344.5472	371.5272	 11.4385	-26.9800	 34.3674	  8.7180	 -7.8514	  6.5208	  0.0000	  0.0000	  0.0093	  0.0119	 -0.0219	 -0.0224	2664.0347	   0.0911	  0.0089	 94.0978	143.8149	 49.4791	  0.1104	  0.6217	  0.0680	  0.6250	4558.2744	  0.0000	 11.4386	 11.7769	  7.4361	  0.4706	 85.9256
2012	  1	   3	  0	  0.1250	  0.0000	  0.0000	345.1659	371.3219	 11.4231	-26.1559	 33.7629	  8.2538	 -6.5560	  5.9091	  0.0000	  0.0000	  0.0081	  0.0050	 -0.0139	 -0.0143	2664.0204	   0.0791	  0.0056	 94.0973	135.8781	 67.0589	  0.1104	  0.6343	  0.0680	  0.6424	6257.5008	  0.0000	 11.4176	 11.6959	  7.4755	  0.4838	 86.8323
2012	  1	   4	  0	  0.1667	  0.0000	  0.0000	344.8211	370.7030	 11.3539	-25.8820	 34.0953	  7.3074	 -4.6227	  5.5287	  0.0000	  0.0000	  0.0075	  0.0025	 -0.0109	 -0.0111	2664.0093	   0.0707	  0.0039	 94.0970	126.9206	 81.0772	  0.1104	  0.6416	  0.0680	  0.6657	10399.5443	  0.0000	 11.3397	 11.5293	  7.4455	  0.5030	 87.4221
2012	  1	   5	  0	  0.2083	  0.0000	  0.0000	343.3235	370.4809	 11.3127	-27.1574	 36.4530	  6.9597	 -3.8239	  6.1598	  0.0000	  0.0000	  0.0083	  0.0014	 -0.0106	 -0.0108	2663.9985	   0.0638	  0.0029	 94.0967	117.6238	 93.1350	  0.1104	  0.6286	  0.0680	  0.6997	-3780.8323	  0.0000	 11.3171	 11.4689	  7.3419	  0.5287	 86.5470
2012	  1	   6	  0	  0.2500	  0.0000	  0.0000	341.2386	371.3387	 11.4279	-30.1001	 45.1280	  8.0641	 -0.5524	  7.5161	  0.0000	  0.0000	  0.0101	  0.0009	 -0.0119	 -0.0120	2663.9866	   0.0573	  0.0022	 94.0967	108.4297	104.2957	  0.1104	  0.6065	  0.0680	  0.6958	-11195.4869	  0.0000	 11.4461	 11.4665	  7.2019	  0.5257	 84.9097
2012	  1	   7	  0	  0.2917	  0.0029	  0.0000	338.7006	374.0496	 11.8216	-35.3490	 67.6769	 11.5333	 11.3145	  9.4800	  0.0000	  0.0000	  0.0133	  0.0005	 -0.0146	 -0.0146	2663.9720	   0.0511	  0.0016	 94.0967	 99.6904	115.2691	  0.1104	  0.5865	  0.0680	  0.6678	-2879.4010	  0.0000	 11.8545	 11.3932	  7.0296	  0.5114	 83.2851
2012	  1	   8	  0	  0.3333	  2.1660	 99.9636	336.5439	376.8065	 12.2444	-40.2626	 91.4046	 14.7917	 25.0434	 11.3068	  0.0000	  0.0000	  0.0163	  0.0000	 -0.0172	 -0.0171	2663.9549	   0.0454	  0.0009	 94.0968	 90.8793	126.5592	  0.1104	  0.5754	  0.0680	  0.6682	-1003.7671	  0.0000	 12.2726	 11.2485	  6.8824	  0.5275	 82.3310
2012	  1	   9	  0	  0.3750	 18.5108	  6.1001	335.3019	378.8395	 12.7318	-31.1269	 99.3843	 16.8235	 38.5012	 12.9326	  0.0000	  0.0000	  0.0178	  0.0000	 -0.0186	 -0.0184	2663.9365	   0.0396	  0.0008	 94.0971	 84.5812	138.5222	  0.1104	  0.5741	  0.0680	  0.6285	-573.4068	  0.0000	 12.7507	 11.0646	  6.7923	  0.5546	 82.2567
2012	  1	  10	  0	  0.4167	 52.6254	 15.5730	334.8097	380.1440	 13.3450	 -8.2819	 96.6337	 17.9861	 54.8283	 15.5375	  0.0000	  0.0000	  0.0199	  0.0000	 -0.0208	 -0.0205	2663.9160	   0.0332	  0.0007	 94.0974	 79.2882	151.3508	  0.1104	  0.5722	  0.0680	  0.6532	-454.4916	  0.0000	 13.3738	 11.0339	  6.7596	  0.6054	 82.0122
