Year	DOY	Hour	Min	 Dectime	 azimuth	altitude	GlobalRad	DiffuseRad	DirectRad	 Kdown2d	   Kup2d	  Ksouth	   Kwest	  Knorth	   Keast	 Ldown2d	   Lup2d	  Lsouth	   Lwest	  Lnorth	   Least	    Tmrt	      I0	      CI	SH_Ground	SH_Walls	SVF_Ground	SVF_Roof	SVF_BdVeg	Emis_Sky	      Ta	      Tg	      Tw
2011	  1	   1	  0	  0.0417	 13.8808	-60.8777	   0.0000	    0.0000	   0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	298.2957	320.1374	310.0895	310.0895	310.0895	310.0895	 -1.2373	 66.2029	  0.4773	   0.0000	  0.0000	    0.8202	  0.9350	   0.8202	  0.7443	  4.5000	  0.0000	  0.0000
2011	  1	   2	  0	  0.0833	 39.3908	-56.6985	   0.0000	    0.0000	   0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	297.8275	319.5384	309.5316	309.5316	309.5316	309.5316	 -1.3591	 66.1883	  0.4773	   0.0000	  0.0000	    0.8202	  0.9350	   0.8202	  0.7449	  4.3700	  0.0000	  0.0000
2011	  1	   3	  0	  0.1250	 59.3294	-49.6417	   0.0000	    0.0000	   0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	297.1928	318.8326	308.8538	308.8538	308.8538	308.8538	 -1.5078	 66.1856	  0.4773	   0.0000	  0.0000	    0.8202	  0.9350	   0.8202	  0.7451	  4.2167	  0.0000	  0.0000
2011	  1	   4	  0	  0.1667	 74.8320	-41.0820	   0.0000	    0.0000	   0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	296.7752	318.4650	308.4790	308.4790	308.4790	308.4790	 -1.5908	 66.2002	  0.4773	   0.0000	  0.0000	    0.8202	  0.9350	   0.8202	  0.7446	  4.1367	  0.0000	  0.0000
2011	  1	   5	  0	  0.2083	 87.6841	-31.8988	   0.0000	    0.0000	   0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	296.0555	317.7746	307.7913	307.7913	307.7913	307.7913	 -1.7428	 66.2160	  0.4773	   0.0000	  0.0000	    0.8202	  0.9350	   0.8202	  0.7441	  3.9863	  0.0000	  0.0000
2011	  1	   6	  0	  0.2500	 99.1896	-22.6248	   0.0000	    0.0000	   0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	295.1384	316.8621	306.8908	306.8908	306.8908	306.8908	 -1.9419	 66.2299	  0.4773	   0.0000	  0.0000	    0.8202	  0.9350	   0.8202	  0.7436	  3.7871	  0.0000	  0.0000
2011	  1	   7	  0	  0.2917	110.2007	-13.6490	   0.0029	    0.0000	   0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	294.7092	316.3646	306.4175	306.4175	306.4175	306.4175	 -2.0463	 66.2240	  0.4773	   0.0000	  0.0000	    0.8202	  0.9350	   0.8202	  0.7439	  3.6783	  0.0000	  0.0000
2011	  1	   8	  0	  0.3333	121.3119	 -5.0243	   0.6056	    0.0000	   0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	294.4961	316.7267	306.6315	306.6315	306.6315	306.6315	 -2.0027	 66.1920	  0.4865	   0.0000	  0.0000	    0.8202	  0.9350	   0.8202	  0.7451	  3.7575	  0.0000	  0.0000
2011	  1	   9	  0	  0.3750	132.9418	  2.5399	   4.4790	    0.7756	   4.0933	  3.8715	  0.3448	  1.3503	  1.3498	  1.3498	  1.3504	283.8235	318.0291	304.8747	303.4549	303.4549	304.8747	 -2.3833	 56.6645	  0.6350	   0.0347	  0.0669	    0.8202	  0.9350	   0.8202	  0.7467	  3.9754	  2.0498	  0.0000
2011	  1	  10	  0	  0.4167	145.3663	  8.4239	  15.9021	    0.4650	  15.8191	 14.9981	  1.3319	  5.2404	  5.2305	  5.2305	  5.2360	301.0840	318.8853	309.8459	308.2919	308.2919	309.8459	 -0.5341	164.5815	  0.4343	   0.0076	  0.1537	    0.8202	  0.9350	   0.8202	  0.7483	  4.2146	  1.7777	  0.0000
2011	  1	  11	  0	  0.4583	158.6620	 12.7604	  55.3165	    5.9152	  53.9792	 52.2358	  4.5564	 18.1608	 17.7029	 17.7029	 17.8756	296.9677	320.4918	309.8624	308.3043	308.3054	309.8624	  1.5379	247.6072	  0.5013	   0.0865	  0.2035	    0.8202	  0.9350	   0.8202	  0.7504	  4.4175	  1.8446	  0.0015
