Year	DOY	Hour	Min	 Dectime	   Kdown	     Kup	   Ldown	     Lup	   Tsurf	      QN	      QF	      QS	      QH	      QE	    Rain	     Irr	    Evap	      RO	   TotCh	  SurfCh	   State	NWtrState	Drainage	     SMD	  Zenith	 Azimuth	 AlbBulk	    Fcld	     LAI	   UStar	     Lob	      Fc	      Ts	      T2	      Q2	     U10	     RH2
2011	  1	   1	  0	  0.0417	  0.0000	  0.0000	285.8307	332.5852	  1.9822	-46.7545	 35.9006	  2.7665	-16.1466	  2.5262	  0.0000	  0.0000	  0.0028	  0.0000	-45.5885	 -0.0028	2799.9972	   0.0000	  0.0000	 83.0067	149.5774	 26.4488	  0.1104	  0.4059	  0.0680	  0.0573	  1.0636	  0.0000	  1.9947	  2.6575	  3.9816	 -0.0915	 87.5856
2011	  1	   2	  0	  0.0833	  0.0000	  0.0000	286.4252	330.8884	  2.3670	-44.4632	 30.1915	 -0.6996	-16.2078	  2.6357	  0.0000	  0.0000	  0.0031	  0.0000	 -0.0048	 -0.0030	2799.9942	   0.0000	  0.0000	 83.0087	143.8141	 49.4301	  0.1104	  0.4176	  0.0680	  0.1713	 76.1328	  0.0000	  2.3299	  3.1345	  3.9443	  0.0252	 84.0148
2011	  1	   3	  0	  0.1250	  0.0000	  0.0000	286.4877	330.3548	  2.3991	-43.8671	 29.6604	 -1.4892	-15.3387	  2.6213	  0.0000	  0.0000	  0.0031	  0.0000	 -0.0048	 -0.0030	2799.9911	   0.0000	  0.0000	 83.0107	135.8811	 67.0175	  0.1104	  0.4254	  0.0680	  0.1889	 93.6541	  0.0000	  2.3836	  3.1645	  3.9392	  0.0450	 83.7352
2011	  1	   4	  0	  0.1667	  0.0000	  0.0000	285.8308	330.0386	  2.4449	-44.2078	 29.9525	 -1.7579	-15.3943	  2.8969	  0.0000	  0.0000	  0.0035	  0.0000	 -0.0052	 -0.0034	2799.9877	   0.0000	  0.0000	 83.0127	126.9252	 81.0413	  0.1104	  0.4227	  0.0680	  0.2370	133.0113	  0.0000	  2.4871	  3.3279	  3.8895	  0.0862	 81.6917
2011	  1	   5	  0	  0.2083	  0.0000	  0.0000	285.1080	329.8930	  2.9743	-44.7851	 32.0237	 -1.8931	-14.9931	  4.1249	  0.0000	  0.0000	  0.0053	  0.0000	 -0.0069	 -0.0052	2799.9825	   0.0000	  0.0000	 83.0148	117.6286	 93.1027	  0.1104	  0.4227	  0.0680	  0.4129	501.1720	  0.0000	  2.9882	  3.8083	  3.8052	  0.2569	 77.0732
2011	  1	   6	  0	  0.2500	  0.0000	  0.0000	284.4242	330.4439	  3.0903	-46.0197	 39.6446	 -0.4221	-10.6447	  4.6917	  0.0000	  0.0000	  0.0061	  0.0000	 -0.0077	 -0.0060	2799.9765	   0.0000	  0.0000	 83.0168	108.4336	104.2653	  0.1104	  0.4252	  0.0680	  0.4369	838.7976	  0.0000	  3.1169	  3.6849	  3.7734	  0.2973	 77.0721
2011	  1	   7	  0	  0.2917	  0.0029	  0.0000	284.6613	333.8462	  3.5721	-49.1848	 59.4537	  6.5890	 -1.5535	  5.2333	  0.0000	  0.0000	  0.0072	  0.0000	 -0.0088	 -0.0071	2799.9694	   0.0000	  0.0000	 83.0188	 99.6927	115.2396	  0.1104	  0.4327	  0.0680	  0.4053	-691.9237	  0.0000	  3.5818	  3.6639	  3.7892	  0.3024	 77.5003
2011	  1	   8	  0	  0.3333	  0.6056	 34.8227	286.1731	338.6124	  4.2099	-52.4393	 80.2983	 15.6667	  6.5301	  5.6622	  0.0000	  0.0000	  0.0082	  0.0000	 -0.0098	 -0.0081	2799.9613	   0.0000	  0.0000	 83.0207	 90.8791	126.5300	  0.1104	  0.4440	  0.0680	  0.3538	-605.3023	  0.0000	  4.2201	  3.7990	  3.8571	  0.3110	 78.1460
2011	  1	   9	  0	  0.3750	  4.4790	  1.2958	288.3049	341.7116	  4.6804	-50.4211	 87.3085	 20.8080	 10.0602	  6.0191	  0.0000	  0.0000	  0.0085	  0.0000	 -0.0102	 -0.0085	2799.9528	   0.0000	  0.0000	 83.0227	 84.5778	138.4931	  0.1104	  0.4550	  0.0680	  0.3355	-325.2209	  0.0000	  4.7029	  4.0225	  3.9548	  0.3344	 78.8826
2011	  1	  10	  0	  0.4167	 15.9021	  4.6963	290.4524	343.1760	  5.1950	-41.5179	 84.8921	 22.4532	 14.4842	  6.4368	  0.0000	  0.0000	  0.0088	  0.0000	 -0.0105	 -0.0087	2799.9440	   0.0000	  0.0000	 83.0247	 79.2808	151.3220	  0.1104	  0.4651	  0.0680	  0.3452	-259.4710	  0.0000	  5.2284	  4.2705	  4.0579	  0.3637	 79.5520
