1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105
Grid	Year	StartDLS	EndDLS	lat	lng	Timezone	SurfaceArea	Alt	z	id	ih	imin	Fr_Paved	Fr_Bldgs	Fr_EveTr	Fr_DecTr	Fr_Grass	Fr_Bsoil	Fr_Water	IrrFr_Paved	IrrFr_Bldgs	IrrFr_EveTr	IrrFr_DecTr	IrrFr_Grass	IrrFr_BSoil	IrrFr_Water	H_Bldgs	H_EveTr	H_DecTr	z0	zd	FAI_Bldgs	FAI_EveTr	FAI_DecTr	PopDensDay	PopDensNight	TrafficRate_WD	TrafficRate_WE	QF0_BEU_WD	QF0_BEU_WE	Code_Paved	Code_Bldgs	Code_EveTr	Code_DecTr	Code_Grass	Code_Bsoil	Code_Water	LUMPS_DrRate	LUMPS_Cover	LUMPS_MaxRes	NARP_Trans	CondCode	SnowCode	SnowClearingProfWD	SnowClearingProfWE	AnthropogenicCode	IrrigationCode	WaterUseProfManuWD	WaterUseProfManuWE	WaterUseProfAutoWD	WaterUseProfAutoWE	FlowChange	RunoffToWater	PipeCapacity	GridConnection1of8	Fraction1of8	GridConnection2of8	Fraction2of8	GridConnection3of8	Fraction3of8	GridConnection4of8	Fraction4of8	GridConnection5of8	Fraction5of8	GridConnection6of8	Fraction6of8	GridConnection7of8	Fraction7of8	GridConnection8of8	Fraction8of8	WithinGridPavedCode	WithinGridBldgsCode	WithinGridEveTrCode	WithinGridDecTrCode	WithinGridGrassCode	WithinGridUnmanBSoilCode	WithinGridWaterCode	AreaWall	Fr_ESTMClass_Paved1	Fr_ESTMClass_Paved2	Fr_ESTMClass_Paved3	Code_ESTMClass_Paved1	Code_ESTMClass_Paved2	Code_ESTMClass_Paved3	Fr_ESTMClass_Bldgs1	Fr_ESTMClass_Bldgs2	Fr_ESTMClass_Bldgs3	Fr_ESTMClass_Bldgs4	Fr_ESTMClass_Bldgs5	Code_ESTMClass_Bldgs1	Code_ESTMClass_Bldgs2	Code_ESTMClass_Bldgs3	Code_ESTMClass_Bldgs4	Code_ESTMClass_Bldgs5
1	2017	85	302	57.726197	11.927493	0	16	0	21.599	1	0	0	0.304	0.174	0.025	0.311	0.186	0	0	0	0	0	0	0	0	0	6.442	7.592	7.592	0.242	7.872	0.094	0.263	0.263	42.938	42.938	0.0135	0.0095	0.88	0.88	20248827	20249698	24240014	24240015	24240018	20240025	25240003	0.25	1	10	1	44240002	23240006	60240006	60240007	53240050	61240005	60240000	60240001	60240000	60240001	0	0.1	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	661	662	663	664	665	666	667	46880	0	1	0	99999	807	99999	1	0	0	0	0	801	99999	99999	99999	99999
2	2017	85	302	57.722605	11.9275	0	16	0	30.653	1	0	0	0.268	0.128	0.013	0.344	0.247	0	0	0	0	0	0	0	0	0	9.762	10.381	10.381	0.436	10.726	0.066	0.324	0.324	52.5	52.5	0.0135	0.0095	0.88	0.88	20248264	20249062	24240014	24240015	24240018	20240025	25240003	0.25	1	10	1	44240002	23240006	60240006	60240007	53240050	61240005	60240000	60240001	60240000	60240001	0	0.1	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	661	662	663	664	665	666	667	41600	0	1	0	99999	807	99999	1	0	0	0	0	801	99999	99999	99999	99999
3	2017	85	302	57.719014	11.927507	0	16	0	24.047	1	0	0	0.473	0.124	0.006	0.131	0.222	0.044	0	0	0	0	0	0	0	0	8.454	7.619	7.619	0.64	7.093	0.046	0.136	0.136	91.063	91.063	0.0135	0.0095	0.88	0.88	20246592	20247190	24240014	24240015	24240018	20240025	25240003	0.25	1	10	1	44240002	23240006	60240006	60240007	53240050	61240005	60240000	60240001	60240000	60240001	0	0.1	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	661	662	663	664	665	666	667	26240	0	1	0	99999	807	99999	1	0	0	0	0	801	99999	99999	99999	99999
4	2017	85	302	57.7262	11.934206	0	16	0	21.511	1	0	0	0.395	0.191	0.016	0.168	0.23	0	0	0	0	0	0	0	0	0	8.059	6.248	6.248	0.41	7.271	0.121	0.152	0.152	107.375	107.375	0.0135	0.0095	0.88	0.88	20248002	20249544	24240014	24240015	24240018	20240025	25240003	0.25	1	10	1	44240002	23240006	60240006	60240007	53240050	61240005	60240000	60240001	60240000	60240001	0	0.1	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	661	662	663	664	665	666	667	59360	0	1	0	99999	807	99999	1	0	0	0	0	801	99999	99999	99999	99999
5	2017	85	302	57.722609	11.934213	0	16	0	30.812	1	0	0	0.474	0.229	0.006	0.095	0.196	0	0	0	0	0	0	0	0	0	11.841	6.71	6.71	0.808	10.087	0.164	0.153	0.153	93.5	93.5	0.0135	0.0095	0.88	0.88	20247245	20247902	24240014	24240015	24240018	20240025	25240003	0.25	1	10	1	44240002	23240006	60240006	60240007	53240050	61240005	60240000	60240001	60240000	60240001	0	0.1	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	661	662	663	664	665	666	667	76640	0	1	0	99999	807	99999	1	0	0	0	0	801	99999	99999	99999	99999
6	2017	85	302	57.719017	11.934219	0	16	0	37.913	1	0	0	0.515	0.132	0.006	0.175	0.172	0	0	0	0	0	0	0	0	0	18.554	8.323	8.323	1.067	12.352	0.113	0.184	0.184	129.813	129.813	0.0135	0.0095	0.88	0.88	20242798	20243588	24240014	24240015	24240018	20240025	25240003	0.25	1	10	1	44240002	23240006	60240006	60240007	53240050	61240005	60240000	60240001	60240000	60240001	0	0.1	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	661	662	663	664	665	666	667	63200	0	1	0	99999	807	99999	1	0	0	0	0	801	99999	99999	99999	99999
7	2017	85	302	57.726204	11.94092	0	16	0	20.675	1	0	0	0.355	0.217	0.026	0.173	0.229	0	0	0	0	0	0	0	0	0	7.557	6.166	6.166	0.324	7.198	0.135	0.152	0.152	60.938	60.938	0.0135	0.0095	0.88	0.88	20241290	20242306	24240014	24240015	24240018	20240025	25240003	0.25	1	10	1	44240002	23240006	60240006	60240007	53240050	61240005	60240000	60240001	60240000	60240001	0	0.1	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	661	662	663	664	665	666	667	70240	0	1	0	99999	807	99999	1	0	0	0	0	801	99999	99999	99999	99999
8	2017	85	302	57.722612	11.940925	0	16	0	30.621	1	0	0	0.359	0.244	0.007	0.107	0.283	0	0	0	0	0	0	0	0	0	11.65	7.118	7.118	0.608	9.766	0.178	0.096	0.096	137.938	137.938	0.0135	0.0095	0.88	0.88	20240568	20241611	24240014	24240015	24240018	20240025	25240003	0.25	1	10	1	44240002	23240006	60240006	60240007	53240050	61240005	60240000	60240001	60240000	60240001	0	0.1	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	661	662	663	664	665	666	667	84000	0	1	0	99999	807	99999	1	0	0	0	0	801	99999	99999	99999	99999
9	2017	85	302	57.719021	11.940931	0	16	0	32.74	1	0	0	0.339	0.141	0.047	0.357	0.116	0	0	0	0	0	0	0	0	0	13.499	10.011	10.011	0.356	12.706	0.118	0.343	0.343	93.625	93.625	0.0135	0.0095	0.88	0.88	20244872	20246059	24240014	24240015	24240018	20240025	25240003	0.25	1	10	1	44240002	23240006	60240006	60240007	53240050	61240005	60240000	60240001	60240000	60240001	0	0.1	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	661	662	663	664	665	666	667	64320	0	1	0	99999	807	99999	1	0	0	0	0	801	99999	99999	99999	99999
