Year	DOY	Hour	Min	 Dectime	 azimuth	altitude	GlobalRad	DiffuseRad	DirectRad	 Kdown2d	   Kup2d	  Ksouth	   Kwest	  Knorth	   Keast	 Ldown2d	   Lup2d	  Lsouth	   Lwest	  Lnorth	   Least	    Tmrt	      I0	      CI	SH_Ground	SH_Walls	SVF_Ground	SVF_Roof	SVF_BdVeg	Emis_Sky	      Ta	      Tg	      Tw
2018	  1	   1	  0	  0.0417	 30.0545	-52.5701	   0.0000	    0.0000	   0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	304.7297	304.9629	297.8233	297.8233	297.8233	297.8233	 -3.7541	 51.4149	  0.5152	   0.0000	  0.0000	    0.9221	  0.9604	   0.9221	  0.7573	  2.9458	  0.0000	  0.0000
2018	  1	   2	  0	  0.0833	 50.0585	-47.4384	   0.0000	    0.0000	   0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	305.1804	305.7187	298.5815	298.5815	298.5815	298.5815	 -3.5876	 51.4060	  0.5152	   0.0000	  0.0000	    0.9221	  0.9604	   0.9221	  0.7577	  3.1167	  0.0000	  0.0000
2018	  1	   3	  0	  0.1250	 66.8357	-40.6467	   0.0000	    0.0000	   0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	307.8067	307.9754	300.9098	300.9098	300.9098	300.9098	 -3.0621	 51.3647	  0.5152	   0.0000	  0.0000	    0.9221	  0.9604	   0.9221	  0.7598	  3.6250	  0.0000	  0.0000
2018	  1	   4	  0	  0.1667	 81.2132	-32.9851	   0.0000	    0.0000	   0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	310.7948	309.6845	302.7250	302.7250	302.7250	302.7250	 -2.6424	 51.3210	  0.5152	   0.0000	  0.0000	    0.9221	  0.9604	   0.9221	  0.7621	  4.0083	  0.0000	  0.0000
2018	  1	   5	  0	  0.2083	 94.1161	-25.0246	   0.0000	    0.0000	   0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	312.5644	310.5793	303.6869	303.6869	303.6869	303.6869	 -2.4186	 51.2961	  0.5152	   0.0000	  0.0000	    0.9221	  0.9604	   0.9221	  0.7634	  4.2083	  0.0000	  0.0000
2018	  1	   6	  0	  0.2500	106.2896	-17.1869	   0.0000	    0.0000	   0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	312.8594	311.2330	304.3395	304.3395	304.3395	304.3395	 -2.2784	 51.2916	  0.5152	   0.0000	  0.0000	    0.9221	  0.9604	   0.9221	  0.7637	  4.3542	  0.0000	  0.0000
2018	  1	   7	  0	  0.2917	118.2775	 -9.8247	   0.0000	    0.0000	   0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	311.9474	310.9528	304.0199	304.0199	304.0199	304.0199	 -2.3567	 51.3051	  0.5152	   0.0000	  0.0000	    0.9221	  0.9604	   0.9221	  0.7630	  4.2917	  0.0000	  0.0000
2018	  1	   8	  0	  0.3333	130.4781	 -2.7806	   0.0000	    0.0000	   0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	310.4277	310.2994	302.2810	302.2473	302.2473	302.2810	 -2.7322	 47.2642	  0.5538	   0.0000	  0.0018	    0.9221	  0.9604	   0.9221	  0.7619	  4.1458	  0.2199	  0.0000
2018	  1	   9	  0	  0.3750	143.1400	  2.5938	   0.5833	    0.0000	   0.5833	  0.5647	  0.0492	  0.2499	  0.2499	  0.2499	  0.2499	309.2275	309.4190	301.5073	301.1037	301.1037	301.5073	 -2.9053	 51.6536	  0.5475	   0.0074	  0.1596	    0.9221	  0.9604	   0.9221	  0.7610	  3.9375	  1.6871	  0.0000
2018	  1	  10	  0	  0.4167	156.3646	  6.4687	   5.0417	    0.0000	   5.0417	  4.8807	  0.4252	  2.1403	  2.1403	  2.1403	  2.1403	309.1613	309.2436	304.4115	304.0091	304.0091	304.4115	 -2.0274	126.4031	  0.4194	   0.1067	  0.2961	    0.9221	  0.9604	   0.9221	  0.7608	  3.7458	  1.5334	  0.0000
