month;year;day;time;MLtime;Qh;Qhb;Qeb;Q*;netasph;Qg;rain
2;2004;11;22:30:00;731988.9375;7.56696;0.614863;0.282637;36.275;23.205;32.3285;0
2;2004;11;23:00:00;731988.9583;3.72779;4.79712;0.271905;43.0367;27.615;37.9676;0
2;2004;11;23:30:00;731988.9792;5.21413;6.90302;0.599203;31.6717;19.6133;24.1694;0
2;2004;12;00:00:00;731989;0.550033;6.14823;0.30941;37.9917;22.87;31.534;0
2;2004;12;00:30:00;731989.0208;3.62479;6.73849;1.0211;27.0667;15.9667;19.3071;0
2;2004;12;01:00:00;731989.0417;1.93505;1.71281;0.500666;25.5433;14.8917;23.3299;0
2;2004;12;01:30:00;731989.0625;3.45443;2.95435;0.337868;20.6817;11.465;17.3894;0
2;2004;12;02:00:00;731989.0833;1.86231;0.586084;0.111694;19.6933;10.7217;18.9956;0
2;2004;12;02:30:00;731989.1042;6.09975;1.29441;0.374205;19.5;10.7217;17.8314;0
2;2004;12;03:00:00;731989.125;6.28715;0.536096;0.400432;18.4833;9.965;17.5468;0
2;2004;12;03:30:00;731989.1458;5.81795;0.198524;0.124115;15.445;8.38333;15.7676;0
2;2004;12;04:00:00;731989.1667;7.54441;1.14431;4.41028;14.4933;8.30833;20.0479;0
2;2004;12;04:30:00;731989.1875;999;0.474803;3.03325;13.1583;7.29133;16.6664;0
2;2004;12;05:00:00;731989.2083;999;0.391925;1.88502;13.2633;7.60917;15.5403;0
2;2004;12;05:30:00;731989.2292;999;2.35178;5.49613;15.2433;12.0867;22.6151;0
2;2004;12;06:00:00;731989.25;999;999;999;11.625;8.20833;13.3119;0
2;2004;12;06:30:00;731989.2708;999;999;999;10.3933;6.087;12.1135;0
2;2004;12;07:00:00;731989.2917;999;999;999;11.0817;6.698;12.8931;0
2;2004;12;07:30:00;731989.3125;999;0.132533;0.00329994;10.3867;12.755;10.8092;0
2;2004;12;08:00:00;731989.3333;999;0.25163;0.276495;8.18167;9.93;8.18528;0
2;2004;12;08:30:00;731989.3542;999;999;999;3.2715;3.8595;1.1775;0
2;2004;12;09:00:00;731989.375;999;0.532631;0.578827;1.20217;0.616167;0.273333;0
2;2004;12;09:30:00;731989.3958;999;0.39966;1.76706;1.03767;2.664;3.20439;0
2;2004;12;10:00:00;731989.4167;999;1.56234;1.54578;1.48917;0.815;1.44708;0
2;2004;12;10:30:00;731989.4375;999;2.05279;0.178664;8.535;7.6965;7.56061;0
2;2004;12;11:00:00;731989.4583;999;1.31076;1.47336;9.21667;13.5267;5.81761;0
2;2004;12;11:30:00;731989.4792;999;999;999;15.3903;24.0533;9.13161;0
2;2004;12;12:00:00;731989.5;999;999;999;13.4817;22.1817;6.58947;0
2;2004;12;12:30:00;731989.5208;999;7.88651;2.31253;11.86;19.59;2.52792;0
2;2004;12;13:00:00;731989.5417;999;0.790628;3.24329;9.915;15.5067;4.65411;0
2;2004;12;13:30:00;731989.5625;999;5.20518;1.19407;10.1183;17.0067;3.84425;0
2;2004;12;14:00:00;731989.5833;999;4.62351;2.37924;6.37917;11.7967;1.24058;0
2;2004;12;14:30:00;731989.6042;999;2.24625;0.79325;4.93617;6.72;1.72975;0
2;2004;12;15:00:00;731989.625;999;999;999;4.197;3.49733;0.843111;0
2;2004;12;15:30:00;731989.6458;999;999;999;6.42333;5.81483;2.49211;0
2;2004;12;16:00:00;731989.6667;999;1.53085;0.137488;2.22133;0.521667;0.795694;0
2;2004;12;16:30:00;731989.6875;999;0.321134;0.881199;1.56967;2.34783;0.367333;0
2;2004;12;17:00:00;731989.7083;999;0.586625;2.36085;2.599;2.8475;0.348472;0
2;2004;12;17:30:00;731989.7292;999;0.922961;3.91262;4.0695;3.26517;0.766083;0
2;2004;12;18:00:00;731989.75;999;1.2404;3.13213;3.1155;2.30667;1.25703;0
2;2004;12;18:30:00;731989.7708;999;1.50904;2.46457;2.74817;1.56767;1.22544;0
2;2004;12;19:00:00;731989.7917;999;0.934708;1.29268;2.2275;0.673667;0.000111111;0
2;2004;12;19:30:00;731989.8125;999;1.01717;1.22883;2.29783;0.230167;0.0518333;0
2;2004;12;20:00:00;731989.8333;999;1.28374;1.23287;1.63017;0.570333;0.886444;0
2;2004;12;20:30:00;731989.8542;999;1.6063;1.12614;0.995333;1.20233;1.73711;0
2;2004;12;21:00:00;731989.875;999;1.02868;0.553927;0.319667;1.5945;1.26294;0
2;2004;12;21:30:00;731989.8958;999;0.951625;0.422764;0.261667;1.76033;1.11272;0
2;2004;12;22:00:00;731989.9167;999;0.245189;0.140672;0.01;2.0145;0.375861;0
2;2004;12;22:30:00;731989.9375;3.09663;0.369362;0.264763;1.318;2.30067;0.871778;0
2;2004;12;23:00:00;731989.9583;4.41657;0.652023;0.176144;1.74817;2.3515;3.03236;0
2;2004;12;23:30:00;731989.9792;2.89777;999;999;1.15267;1.97;2.06258;0
2;2004;13;00:00:00;731990;2.76714;4.4411;0.77215;0.602;1.77783;4.48717;0
2;2004;13;00:30:00;731990.0208;1.6836;1.50129;0.0146857;0.420333;2.31767;1.09564;0
2;2004;13;01:00:00;731990.0417;1.6656;4.66142;0.142533;0.8895;2.012;3.62939;0
2;2004;13;01:30:00;731990.0625;1.35072;2.1677;0.0795886;1.38;1.7385;0.708111;0
2;2004;13;02:00:00;731990.0833;0.44113;1.2482;0.100094;0.145833;1.7745;1.29394;0
2;2004;13;02:30:00;731990.1042;1.18616;2.90483;0.0877999;2.60467;1.75783;0.478972;0
2;2004;13;03:00:00;731990.125;1.26089;1.00896;0.100961;1.70667;1.70967;0.109806;0
2;2004;13;03:30:00;731990.1458;0.342527;2.60726;0.21003;2.00533;1.877;0.815806;0
2;2004;13;04:00:00;731990.1667;0.0444913;5.0037;0.12045;4.80967;1.95733;0.320778;0
2;2004;13;04:30:00;731990.1875;0.558553;4.89135;0.0231291;5.49483;1.94267;0.626611;0
2;2004;13;05:00:00;731990.2083;0.220192;4.85848;0.165408;4.99417;1.9665;0.0297222;0
2;2004;13;05:30:00;731990.2292;0.308269;3.878;0.167774;3.2395;1.95567;0.470722;0
2;2004;13;06:00:00;731990.25;0.256501;3.82272;0.260151;3.19917;1.54633;0.198778;0
2;2004;13;06:30:00;731990.2708;0.39007;4.87904;0.313212;3.98933;1.73867;1.21881;0
2;2004;13;07:00:00;731990.2917;0.15152;3.48948;0.390728;4.01583;1.606;0.00275;0
2;2004;13;07:30:00;731990.3125;1.29636;3.54682;0.388932;4.245;1.59033;0.127778;0
2;2004;13;08:00:00;731990.3333;0.611507;4.30157;0.117676;2.45783;2.46233;1.72606;0
2;2004;13;08:30:00;731990.3542;0.677609;3.48828;0.500484;4.365;7.02567;6.49247;0
2;2004;13;09:00:00;731990.375;0.112428;5.50841;0.700119;18.085;17.5133;11.8765;0
2;2004;13;09:30:00;731990.3958;0.0221973;10.2911;4.85538;31.3733;28.58;14.377;0
2;2004;13;10:00:00;731990.4167;0.260976;10.6238;12.5813;42.7267;37.305;18.1907;0
2;2004;13;10:30:00;731990.4375;1.35724;12.8373;9.57159;64.4;53.8;41.9911;0
2;2004;13;11:00:00;731990.4583;4.42331;12.2562;4.21951;81.5167;65.495;65.041;0
2;2004;13;11:30:00;731990.4792;4.76257;22.8478;6.87805;90.9667;69.37;61.2408;0
2;2004;13;12:00:00;731990.5;7.17843;24.0025;9.16539;81.2333;59.47;48.0654;0
2;2004;13;12:30:00;731990.5208;15.5934;34.0102;15.7157;81.3833;56.2933;31.6574;0
2;2004;13;13:00:00;731990.5417;17.7572;32.9236;14.5646;73.3583;51.46;25.8701;0
2;2004;13;13:30:00;731990.5625;14.3971;26.56;12.7678;71.11;50.7333;31.7822;0
2;2004;13;14:00:00;731990.5833;11.2267;26.9136;12.094;68.9867;48.5433;29.979;0
2;2004;13;14:30:00;731990.6042;12.6769;22.0921;8.18036;52.5267;37.9133;22.2542;0
2;2004;13;15:00:00;731990.625;13.3392;14.7223;7.31369;34.63;26.315;12.594;0
2;2004;13;15:30:00;731990.6458;8.11802;15.393;0.225914;21.5533;16.69;5.93444;0
2;2004;13;16:00:00;731990.6667;1.65805;7.55721;1.0657;9.96033;9.5555;3.81028;0
2;2004;13;16:30:00;731990.6875;1.11109;2.84942;0.716752;3.06517;4.87067;0.0513889;0
2;2004;13;17:00:00;731990.7083;0.196787;0.028023;0.065227;2.13717;1.1305;2.29472;0
2;2004;13;17:30:00;731990.7292;0.327678;999;999;6.58267;2.351;7.65722;0
2;2004;13;18:00:00;731990.75;0.269528;2.29646;0.30588;5.61917;1.86633;4.34786;0
2;2004;13;18:30:00;731990.7708;0.012461;0.406442;1.95706;5.463;2.106;3.23214;0
2;2004;13;19:00:00;731990.7917;0.354422;0.319233;0.258933;5.12167;1.93267;4.74381;0
2;2004;13;19:30:00;731990.8125;0.561941;1.2507;0.498845;4.75917;0.849167;2.83586;0
2;2004;13;20:00:00;731990.8333;0.936361;0.121564;1.6131;4.70267;4.66083;2.96481;0
2;2004;13;20:30:00;731990.8542;1.48075;2.08766;1.71022;4.92467;4.92733;1.14492;0
2;2004;13;21:00:00;731990.875;0.439202;5.18895;0.240216;4.93967;0.638167;0.280861;0
2;2004;13;21:30:00;731990.8958;999;2.21618;4.06282;4.3535;1.16983;0.662278;0
2;2004;13;22:00:00;731990.9167;0.0146185;0.198674;2.68253;3.214;4.9795;0.165944;0
2;2004;13;22:30:00;731990.9375;0.40271;1.26897;1.62382;2.9325;8.10367;0.203139;0
2;2004;13;23:00:00;731990.9583;0.0892493;1.96969;1.0209;3.45683;7.095;0.158222;0
2;2004;13;23:30:00;731990.9792;1.71422;2.42707;1.08335;2.9;5.69983;0.259667;0
2;2004;14;00:00:00;731991;1.68158;2.21104;0.896709;2.30817;1.22517;0.848194;0
2;2004;14;00:30:00;731991.0208;0.5688;4.45878;0.283262;3.08267;1.3245;2.265;0
2;2004;14;01:00:00;731991.0417;1.1246;4.58672;0.713614;2.86333;0.7765;2.437;0
2;2004;14;01:30:00;731991.0625;0.423294;1.83901;0.144661;1.3945;1.20167;2.40222;0
2;2004;14;02:00:00;731991.0833;0.290483;999;999;7.35867;1.49683;2.06928;0
2;2004;14;02:30:00;731991.1042;0.967655;1.74563;2.15317;6.339;1.49033;2.44019;0
2;2004;14;03:00:00;731991.125;0.798887;1.00989;0.343147;1.88;0.770833;2.17161;0
2;2004;14;03:30:00;731991.1458;0.350347;5.95152;1.94489;3.32983;0.803833;2.67964;0
2;2004;14;04:00:00;731991.1667;0.470792;5.76247;0.901946;5.08867;0.522333;2.08956;0
2;2004;14;04:30:00;731991.1875;0.747363;8.0852;0.394278;5.37117;0.0723333;2.33997;0
2;2004;14;05:00:00;731991.2083;0.263909;5.19356;1.57399;4.994;0.161;1.90636;0
2;2004;14;05:30:00;731991.2292;0.124097;5.73372;1.01562;6.08633;0.679667;0.694167;0
2;2004;14;06:00:00;731991.25;0.510128;3.77595;1.58047;6.02133;1.206;1.07789;0
2;2004;14;06:30:00;731991.2708;0.131736;4.13922;0.160445;6.296;1.552;1.606;0
2;2004;14;07:00:00;731991.2917;0.749284;1.82532;0.206472;7.56017;2.2915;5.45978;0
2;2004;14;07:30:00;731991.3125;0.503699;0.225792;0.0016254;8.95833;4.1455;7.52414;0
2;2004;14;08:00:00;731991.3333;1.27325;1.921;0.853622;7.91783;3.71733;4.41856;0
2;2004;14;08:30:00;731991.3542;1.16168;3.0257;0.444845;2.5215;4.68283;4.97639;0
2;2004;14;09:00:00;731991.375;1.30195;9.06705;1.27587;23.0217;21.58;12.6787;0
2;2004;14;09:30:00;731991.3958;2.05921;13.0763;1.67543;37.6833;35.2833;22.9316;0
2;2004;14;10:00:00;731991.4167;2.68893;14.6204;4.26006;49.865;43.1517;34.2943;0
