%iy  id  it imin   Q*      QH      QE      Qs      Qf    Wind    RH     Td     press   rain    Kdn    snow    ldown   fcld    wuh     xsmd    lai_hr  Kdiff   Kdir    Wd
1985 1 1 0 -999.00 -999.00 -999.00 -999.00 -999.00 4.50000 84.00 -10.30 97.00 0.00 0.00 -999.00 248.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 296.00
1985 1 2 0 -999.00 -999.00 -999.00 -999.00 -999.00 4.40000 84.00 -10.30 97.10 0.00 0.00 -999.00 252.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 294.00
1985 1 3 0 -999.00 -999.00 -999.00 -999.00 -999.00 4.30000 85.00 -10.80 97.20 0.00 0.00 -999.00 252.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 292.00
1985 1 4 0 -999.00 -999.00 -999.00 -999.00 -999.00 4.20000 86.00 -10.60 97.30 0.00 0.00 -999.00 249.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 289.00
1985 1 5 0 -999.00 -999.00 -999.00 -999.00 -999.00 4.20000 85.00 -10.40 97.30 0.00 0.00 -999.00 239.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 287.00
1985 1 6 0 -999.00 -999.00 -999.00 -999.00 -999.00 4.20000 85.00 -10.40 97.40 0.00 0.00 -999.00 218.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 283.00
1985 1 7 0 -999.00 -999.00 -999.00 -999.00 -999.00 4.00000 87.00 -11.40 97.50 0.00 0.00 -999.00 187.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 278.00
1985 1 8 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.90000 88.00 -12.10 97.60 -0.00 0.00 -999.00 172.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 271.00
1985 1 9 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.90000 82.00 -12.90 97.60 -0.00 0.00 -999.00 172.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 269.00
1985 1 10 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.70000 81.00 -12.90 97.70 -0.00 5.00 -999.00 172.00 -999.00 -999.00 -999.00 -999.00 3.00 40.00 269.00
1985 1 11 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.50000 77.00 -12.30 97.70 -0.00 66.00 -999.00 174.00 -999.00 -999.00 -999.00 -999.00 25.00 468.00 271.00
1985 1 12 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.20000 74.00 -11.50 97.80 -0.00 140.00 -999.00 173.00 -999.00 -999.00 -999.00 -999.00 40.00 624.00 272.00
1985 1 13 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.30000 71.00 -10.80 97.90 -0.00 185.00 -999.00 174.00 -999.00 -999.00 -999.00 -999.00 47.00 690.00 275.00
1985 1 14 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.20000 70.00 -10.40 97.90 -0.00 190.00 -999.00 175.00 -999.00 -999.00 -999.00 -999.00 47.00 701.00 276.00
1985 1 15 0 -999.00 -999.00 -999.00 -999.00 -999.00 3.20000 69.00 -9.60 98.00 -0.00 155.00 -999.00 175.00 -999.00 -999.00 -999.00 -999.00 43.00 649.00 279.00
1985 1 16 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.70000 82.00 -12.60 98.10 -0.00 86.00 -999.00 176.00 -999.00 -999.00 -999.00 -999.00 30.00 521.00 276.00
1985 1 17 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.80000 85.00 -13.60 98.10 -0.00 14.00 -999.00 174.00 -999.00 -999.00 -999.00 -999.00 7.00 140.00 274.00
1985 1 18 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.80000 85.00 -14.70 98.20 -0.00 0.00 -999.00 173.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 273.00
1985 1 19 0 -999.00 -999.00 -999.00 -999.00 -999.00 2.60000 84.00 -14.60 98.30 -0.00 0.00 -999.00 172.00 -999.00 -999.00 -999.00 -999.00 0.00 0.00 271.00
