Year	DOY	Hour	Min	 Dectime	 azimuth	altitude	GlobalRad	DiffuseRad	DirectRad	 Kdown2d	   Kup2d	  Ksouth	   Kwest	  Knorth	   Keast	 Ldown2d	   Lup2d	  Lsouth	   Lwest	  Lnorth	   Least	    Tmrt	      I0	      CI	SH_Ground	SH_Walls	SVF_Ground	SVF_Roof	SVF_BdVeg	Emis_Sky	      Ta	      Tg	      Tw
2017	  1	   1	  0	  0.0417	 29.9919	-52.5555	   0.0000	    0.0000	   0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	330.6370	320.9656	317.3330	317.3330	317.3330	317.3330	  0.5787	 51.1266	  0.5147	   0.0000	  0.0000	    0.9236	  0.9608	   0.9236	  0.7786	  7.6833	  0.0000	  0.0000
2017	  1	   2	  0	  0.0833	 49.9990	-47.4312	   0.0000	    0.0000	   0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	329.6479	319.8810	316.2086	316.2086	316.2086	316.2086	  0.3390	 51.1451	  0.5147	   0.0000	  0.0000	    0.9236	  0.9608	   0.9236	  0.7777	  7.4458	  0.0000	  0.0000
2017	  1	   3	  0	  0.1250	 66.7821	-40.6450	   0.0000	    0.0000	   0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	328.0119	319.1786	315.4248	315.4248	315.4248	315.4248	  0.1599	 51.1704	  0.5147	   0.0000	  0.0000	    0.9236	  0.9608	   0.9236	  0.7764	  7.2917	  0.0000	  0.0000
2017	  1	   4	  0	  0.1667	 81.1652	-32.9868	   0.0000	    0.0000	   0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	324.0146	318.5151	314.5446	314.5446	314.5446	314.5446	 -0.0680	 51.2278	  0.5147	   0.0000	  0.0000	    0.9236	  0.9608	   0.9236	  0.7734	  7.1458	  0.0000	  0.0000
2017	  1	   5	  0	  0.2083	 94.0725	-25.0281	   0.0000	    0.0000	   0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	320.6565	318.0608	313.9046	313.9046	313.9046	313.9046	 -0.2396	 51.2765	  0.5147	   0.0000	  0.0000	    0.9236	  0.9608	   0.9236	  0.7708	  7.0458	  0.0000	  0.0000
2017	  1	   6	  0	  0.2500	106.2492	-17.1909	   0.0000	    0.0000	   0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	318.8291	317.1161	312.8736	312.8736	312.8736	312.8736	 -0.4728	 51.3050	  0.5147	   0.0000	  0.0000	    0.9236	  0.9608	   0.9236	  0.7693	  6.8375	  0.0000	  0.0000
2017	  1	   7	  0	  0.2917	118.2392	 -9.8280	   0.1356	    0.0000	   0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	315.0767	315.2705	310.7796	310.7796	310.7796	310.7796	 -0.9480	 51.3627	  0.5173	   0.0000	  0.0000	    0.9236	  0.9608	   0.9236	  0.7663	  6.4292	  0.0000	  0.0000
2017	  1	   8	  0	  0.3333	130.4412	 -2.7824	   2.4271	    0.0000	   0.5329	  0.5146	  0.0609	  0.2325	  0.2325	  0.2325	  0.2325	309.3961	313.9940	307.1342	307.1007	307.1007	307.1342	 -1.7111	 47.3722	  0.5919	   0.0000	  0.0019	    0.9236	  0.9608	   0.9236	  0.7618	  6.1458	  0.2199	  0.0000
2017	  1	   9	  0	  0.3750	143.1040	  2.5948	  15.6813	   13.1639	  14.5080	 14.6358	  1.6591	  6.4410	  6.3276	  6.3276	  6.3975	306.0270	313.3631	299.6706	299.2691	299.2691	299.6706	 -2.2425	 51.6447	  0.8303	   0.0084	  0.1646	    0.9236	  0.9608	   0.9236	  0.7591	  5.9917	  1.8860	  0.0000
2017	  1	  10	  0	  0.4167	156.3297	  6.4732	  45.8740	   24.9287	  42.9614	 44.4029	  4.9505	 21.1141	 18.5125	 18.5125	 19.5607	303.9382	312.9983	301.2800	300.8799	300.8799	301.2800	  0.1659	126.4881	  0.7415	   0.1086	  0.3036	    0.9236	  0.9608	   0.9236	  0.7575	  5.7375	  1.7071	  0.0000
2017	  1	  11	  0	  0.4583	170.0372	  8.7535	  67.1215	   48.4857	  59.7505	 65.0835	  6.9626	 32.6324	 25.6907	 25.6907	 26.9087	300.2045	313.1308	301.2370	300.8374	300.8374	301.2370	  1.4542	170.6306	  0.7286	   0.1479	  0.3611	    0.9236	  0.9608	   0.9236	  0.7544	  5.6542	  2.0229	  0.0000
2017	  1	  12	  0	  0.5000	183.9779	  9.1691	  70.1908	   46.7701	  62.8116	 68.0476	  7.3212	 34.1576	 27.6791	 26.9503	 26.9833	295.2128	312.1890	300.0156	299.9158	299.6176	299.7174	  1.3443	178.9241	  0.7210	   0.1634	  0.3714	    0.9236	  0.9608	   0.9236	  0.7503	  5.3750	  2.2789	  0.0000
2017	  1	  13	  0	  0.5417	197.8250	  7.6801	  78.2817	  175.3900	  54.8363	 76.4514	  6.6575	 45.6830	 30.8413	 23.9004	 23.9004	290.8667	311.4213	294.1948	294.1948	293.7986	293.7986	  0.5432	150.4039	  0.8752	   0.1318	  0.3357	    0.9236	  0.9608	   0.9236	  0.7467	  5.0458	  4.0043	  0.0000
2017	  1	  14	  0	  0.5833	211.2797	  4.4386	  33.4306	   41.7756	  29.6887	 32.4182	  3.4298	 15.5455	 14.2451	 12.9056	 12.9056	287.9895	306.9250	292.2114	292.2114	291.8189	291.8189	 -2.7795	 87.6799	  0.8142	   0.0461	  0.2391	    0.9236	  0.9608	   0.9236	  0.7447	  4.4042	  3.3783	  0.0000
2017	  1	  15	  0	  0.6250	224.1896	 -0.1171	   7.1273	   20.4376	   4.0256	  4.4508	  0.4606	  1.7672	  1.7672	  1.7672	  1.7672	285.7799	301.1755	287.8498	287.8498	287.6565	287.6565	 -5.7848	 37.9048	  0.7824	   0.0000	  0.0476	    0.9236	  0.9608	   0.9236	  0.7436	  3.2500	  2.8912	  0.0013
2017	  1	  16	  0	  0.6667	236.5710	 -6.7953	   0.5750	    0.0000	   0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	283.2379	295.9793	290.0029	290.0029	290.0029	290.0029	 -5.7406	 51.8520	  0.5258	   0.0000	  0.0000	    0.9236	  0.9608	   0.9236	  0.7421	  2.0500	  0.0000	  0.0000
2017	  1	  17	  0	  0.7083	248.6170	-13.9197	   0.0052	    0.0000	   0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	280.8669	292.4615	286.7840	286.7840	286.7840	286.7840	 -6.4779	 51.8882	  0.5148	   0.0000	  0.0000	    0.9236	  0.9608	   0.9236	  0.7404	  1.2292	  0.0000	  0.0000
2017	  1	  18	  0	  0.7500	260.6632	-21.5880	   0.0000	    0.0000	   0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	280.6344	290.7949	285.1603	285.1603	285.1603	285.1603	 -6.8372	 51.8924	  0.5147	   0.0000	  0.0000	    0.9236	  0.9608	   0.9236	  0.7403	  0.8375	  0.0000	  0.0000
2017	  1	  19	  0	  0.7917	273.1828	-29.5351	   0.0000	    0.0000	   0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	279.6390	289.0655	283.4335	283.4335	283.4335	283.4335	 -7.2310	 51.9082	  0.5147	   0.0000	  0.0000	    0.9236	  0.9608	   0.9236	  0.7396	  0.4292	  0.0000	  0.0000
2017	  1	  20	  0	  0.8333	286.8320	-37.3752	   0.0000	    0.0000	   0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	276.8287	286.9581	281.2508	281.2508	281.2508	281.2508	 -7.7521	 51.9501	  0.5147	   0.0000	  0.0000	    0.9236	  0.9608	   0.9236	  0.7376	 -0.0708	  0.0000	  0.0000
2017	  1	  21	  0	  0.8750	302.4688	-44.6124	   0.0000	    0.0000	   0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	273.8238	285.0885	279.2927	279.2927	279.2927	279.2927	 -8.2287	 51.9941	  0.5147	   0.0000	  0.0000	    0.9236	  0.9608	   0.9236	  0.7355	 -0.5167	  0.0000	  0.0000
2017	  1	  22	  0	  0.9167	321.0216	-50.5532	   0.0000	    0.0000	   0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	271.6701	283.4191	277.5721	277.5721	277.5721	277.5721	 -8.6431	 52.0262	  0.5147	   0.0000	  0.0000	    0.9236	  0.9608	   0.9236	  0.7341	 -0.9167	  0.0000	  0.0000
2017	  1	  23	  0	  0.9583	342.8810	-54.2989	   0.0000	    0.0000	   0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	269.8705	281.7571	275.8772	275.8772	275.8772	275.8772	 -9.0488	 52.0534	  0.5147	   0.0000	  0.0000	    0.9236	  0.9608	   0.9236	  0.7329	 -1.3167	  0.0000	  0.0000
2017	  2	   0	  0	  1.0000	 96.7583	-55.0160	   0.0000	    0.0000	   0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	270.2776	282.7959	276.8994	276.8994	276.8994	276.8994	 -8.8133	 52.0155	  0.5148	   0.0000	  0.0000	    0.9236	  0.9608	   0.9236	  0.7331	 -1.0667	  0.0000	  0.0000
2017	  2	   1	  0	  1.0417	 29.7802	-52.5124	   0.0000	    0.0000	   0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	268.3168	284.0962	278.0298	278.0298	278.0298	278.0298	 -8.5854	 51.7127	  0.5157	   0.0000	  0.0000	    0.9236	  0.9608	   0.9236	  0.7317	 -0.7542	  0.0000	  0.0000
2017	  2	   2	  0	  1.0833	 49.8041	-47.4085	   0.0000	    0.0000	   0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	263.9889	284.3570	278.0555	278.0555	278.0555	278.0555	 -8.6381	 51.7813	  0.5157	   0.0000	  0.0000	    0.9236	  0.9608	   0.9236	  0.7285	 -0.6917	  0.0000	  0.0000
2017	  2	   3	  0	  1.1250	 66.6040	-40.6363	   0.0000	    0.0000	   0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	260.9426	282.0360	275.6691	275.6691	275.6691	275.6691	 -9.2176	 51.8271	  0.5157	   0.0000	  0.0000	    0.9236	  0.9608	   0.9236	  0.7265	 -1.2500	  0.0000	  0.0000
2017	  2	   4	  0	  1.1667	 81.0036	-32.9843	   0.0000	    0.0000	   0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	258.4073	279.5349	273.1393	273.1393	273.1393	273.1393	 -9.8254	 51.8643	  0.5157	   0.0000	  0.0000	    0.9236	  0.9608	   0.9236	  0.7250	 -1.8542	  0.0000	  0.0000
2017	  2	   5	  0	  1.2083	 93.9245	-25.0252	   0.0000	    0.0000	   0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	255.7408	278.6774	272.1797	272.1797	272.1797	272.1797	-10.0807	 51.9075	  0.5157	   0.0000	  0.0000	    0.9236	  0.9608	   0.9236	  0.7231	 -2.0625	  0.0000	  0.0000
2017	  2	   6	  0	  1.2500	106.1058	-17.1862	   0.0000	    0.0000	   0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	253.7905	277.0024	270.4753	270.4753	270.4753	270.4753	-10.4977	 51.9364	  0.5157	   0.0000	  0.0000	    0.9236	  0.9608	   0.9236	  0.7219	 -2.4708	  0.0000	  0.0000
2017	  2	   7	  0	  1.2917	118.1022	 -9.8146	   0.2946	    0.0000	   0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	253.3422	276.0650	269.3948	269.3948	269.3948	269.3948	-10.7495	 51.9413	  0.5214	   0.0000	  0.0000	    0.9236	  0.9608	   0.9236	  0.7217	 -2.7000	  0.0000	  0.0000
2017	  2	   8	  0	  1.3333	130.3071	 -2.7563	   6.1219	    0.0000	   1.4004	  1.3522	  0.1600	  0.6109	  0.6109	  0.6109	  0.6109	252.7474	277.6174	267.2566	267.2268	267.2268	267.2566	-11.0889	 47.8869	  0.6470	   0.0000	  0.0025	    0.9236	  0.9608	   0.9236	  0.7210	 -2.3208	  0.2140	  0.0000
2017	  2	   9	  0	  1.3750	142.9728	  2.6301	  37.0221	  377.0777	  17.9411	 35.0118	  2.0930	 11.0159	  7.9931	  7.9931	  9.8975	253.7695	279.3003	258.7650	258.4073	258.4073	258.7650	-11.2031	 53.1368	  1.0000	   0.0099	  0.1672	    0.9236	  0.9608	   0.9236	  0.7215	 -1.9458	  3.1763	  0.0000
2017	  2	  10	  0	  1.4167	156.2039	  6.5259	  89.8385	  421.6437	  41.5848	 88.5237	  5.4451	 61.0092	 18.6292	 18.6292	 36.5226	258.0072	286.3980	264.8480	264.4834	264.4834	264.8480	 -5.5052	129.3496	  1.0000	   0.1090	  0.3054	    0.9236	  0.9608	   0.9236	  0.7237	 -0.6542	  4.0529	  0.0000
2017	  2	  11	  0	  1.4583	169.9189	  8.8230	 127.9783	  493.4863	  52.1979	126.3644	  7.3917	 95.1137	 23.6769	 23.6769	 35.9904	260.2390	293.6570	271.0510	270.6787	270.6787	271.0510	 -2.1788	174.2289	  1.0000	   0.1489	  0.3629	    0.9236	  0.9608	   0.9236	  0.7239	  0.7792	  4.8884	  0.0000
2017	  2	  12	  0	  1.5000	183.8704	  9.2545	 134.2640	  499.9507	  53.7787	132.6069	  7.8237	105.8837	 29.8489	 24.4693	 24.9906	260.6074	298.2145	274.7670	274.6732	274.3899	274.4837	 -1.0937	182.7175	  1.0000	   0.1650	  0.3734	    0.9236	  0.9608	   0.9236	  0.7229	  1.6417	  5.6293	  0.0000
2017	  2	  13	  0	  1.5417	197.7313	  7.7790	  96.8373	  329.1598	  51.2625	 95.1830	  6.6412	 64.9976	 35.2700	 22.7476	 22.7476	261.6155	299.7931	277.5328	277.5328	277.1526	277.1526	 -2.2737	153.9028	  0.9681	   0.1331	  0.3385	    0.9236	  0.9608	   0.9236	  0.7229	  2.2083	  5.4017	  0.0000
