Year	DOY	Hour	Min	 Dectime	 azimuth	altitude	GlobalRad	DiffuseRad	DirectRad	 Kdown2d	   Kup2d	  Ksouth	   Kwest	  Knorth	   Keast	 Ldown2d	   Lup2d	  Lsouth	   Lwest	  Lnorth	   Least	    Tmrt	      I0	      CI	SH_Ground	SH_Walls	SVF_Ground	SVF_Roof	SVF_BdVeg	Emis_Sky	      Ta	      Tg	      Tw
2018	  1	   1	  0	  0.0417	 30.0231	-52.5724	   0.0000	    0.0000	   0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	308.7960	327.3267	317.0562	317.0562	317.0562	317.0562	  0.3264	 51.3200	  0.5152	   0.0000	  0.0000	    0.8188	  0.9347	   0.8188	  0.7607	  6.0458	  0.0000	  0.0000
2018	  1	   2	  0	  0.0833	 50.0310	-47.4443	   0.0000	    0.0000	   0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	308.7932	328.1289	317.8148	317.8148	317.8148	317.8148	  0.4804	 51.3207	  0.5152	   0.0000	  0.0000	    0.8188	  0.9347	   0.8188	  0.7606	  6.2167	  0.0000	  0.0000
2018	  1	   3	  0	  0.1250	 66.8122	-40.6552	   0.0000	    0.0000	   0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	310.5495	328.9907	318.7237	318.7237	318.7237	318.7237	  0.6862	 51.2936	  0.5152	   0.0000	  0.0000	    0.8188	  0.9347	   0.8188	  0.7620	  6.4000	  0.0000	  0.0000
2018	  1	   4	  0	  0.1667	 81.1928	-32.9951	   0.0000	    0.0000	   0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	311.7433	328.7359	318.5459	318.5459	318.5459	318.5459	  0.6647	 51.2761	  0.5152	   0.0000	  0.0000	    0.8188	  0.9347	   0.8188	  0.7630	  6.3458	  0.0000	  0.0000
2018	  1	   5	  0	  0.2083	 94.0977	-25.0355	   0.0000	    0.0000	   0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	312.9380	329.2852	319.1294	319.1294	319.1294	319.1294	  0.7973	 51.2589	  0.5152	   0.0000	  0.0000	    0.8188	  0.9347	   0.8188	  0.7640	  6.4625	  0.0000	  0.0000
2018	  1	   6	  0	  0.2500	106.2724	-17.1982	   0.0000	    0.0000	   0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	312.6954	328.6580	318.5223	318.5223	318.5223	318.5223	  0.6714	 51.2639	  0.5152	   0.0000	  0.0000	    0.8188	  0.9347	   0.8188	  0.7638	  6.3292	  0.0000	  0.0000
2018	  1	   7	  0	  0.2917	118.2608	 -9.8358	   0.0102	    0.0000	   0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	310.7004	326.3123	316.1914	316.1914	316.1914	316.1914	  0.1736	 51.2961	  0.5154	   0.0000	  0.0000	    0.8188	  0.9347	   0.8188	  0.7622	  5.8292	  0.0000	  0.0000
2018	  1	   8	  0	  0.3333	130.4613	 -2.7921	   0.8167	    0.2212	   0.1180	  0.1120	  0.0100	  0.0405	  0.0405	  0.0405	  0.0405	306.9308	323.4759	312.4057	312.2734	312.2734	312.4057	 -0.6427	 47.2723	  0.5672	   0.0000	  0.0005	    0.8188	  0.9347	   0.8188	  0.7593	  5.2208	  0.2247	  0.0000
2018	  1	   9	  0	  0.3750	143.1227	  2.5852	   6.2313	    1.3251	   6.1798	  5.8639	  0.5195	  2.0410	  2.0410	  2.0410	  2.0410	305.5287	319.7357	306.9205	305.3442	305.3442	306.9205	 -1.5675	 51.5192	  0.6750	   0.0000	  0.0482	    0.8188	  0.9347	   0.8188	  0.7581	  4.4125	  1.7935	  0.0000
2018	  1	  10	  0	  0.4167	156.3467	  6.4613	  16.2662	    0.7725	  16.1770	 15.3365	  1.3604	  5.3434	  5.3032	  5.3032	  5.3193	305.6614	317.2214	307.2550	305.6930	305.6930	307.2550	 -0.9778	126.3610	  0.5090	   0.0533	  0.1282	    0.8188	  0.9347	   0.8188	  0.7580	  3.7833	  1.5392	  0.0000
