%iy	id	it	imin	Q*	QH	QE	Qs	Qf	Wind	RH	Td	press	rain	Kdn	snow	ldown	fcld	wuh	xsmd	lai_hr	Kdiff	Kdir	Wd
2017	1	0	0	-999	-999	-999	-999	-999	4.9	95	7.9	100.72	1	0	-999	-999	-999	-999	-999	-999	-999	-999	-999
2017	1	1	0	-999	-999	-999	-999	-999	4	96	7.5	100.67	0.6	0	-999	-999	-999	-999	-999	-999	-999	-999	-999
2017	1	2	0	-999	-999	-999	-999	-999	4	96	7.4	100.61	0.4	0	-999	-999	-999	-999	-999	-999	-999	-999	-999
2017	1	3	0	-999	-999	-999	-999	-999	4	95	7.2	100.58	0	0	-999	-999	-999	-999	-999	-999	-999	-999	-999
2017	1	4	0	-999	-999	-999	-999	-999	4.2	91	7.1	100.54	0	0	-999	-999	-999	-999	-999	-999	-999	-999	-999
2017	1	5	0	-999	-999	-999	-999	-999	3.9	90	7	100.53	0	0	-999	-999	-999	-999	-999	-999	-999	-999	-999
2017	1	6	0	-999	-999	-999	-999	-999	3.7	90	6.7	100.51	0	0	-999	-999	-999	-999	-999	-999	-999	-999	-999
2017	1	7	0	-999	-999	-999	-999	-999	2.4	88	6.2	100.53	0	0	-999	-999	-999	-999	-999	-999	-999	-999	-999
2017	1	8	0	-999	-999	-999	-999	-999	2.2	83	6.1	100.55	0	0.93	-999	-999	-999	-999	-999	-999	-999	-999	-999
2017	1	9	0	-999	-999	-999	-999	-999	1.6	83	5.9	100.58	0	11.86	-999	-999	-999	-999	-999	-999	-999	-999	-999
2017	1	10	0	-999	-999	-999	-999	-999	1.1	82	5.6	100.63	0	45.87	-999	-999	-999	-999	-999	-999	-999	-999	-999
2017	1	11	0	-999	-999	-999	-999	-999	1.4	77	5.7	100.64	0	70.19	-999	-999	-999	-999	-999	-999	-999	-999	-999
2017	1	12	0	-999	-999	-999	-999	-999	1.6	75	5.1	100.64	0	66.52	-999	-999	-999	-999	-999	-999	-999	-999	-999
2017	1	13	0	-999	-999	-999	-999	-999	1.6	72	5	100.69	0	89.07	-999	-999	-999	-999	-999	-999	-999	-999	-999
