Year	DOY	Hour	Min	 Dectime	 azimuth	altitude	GlobalRad	DiffuseRad	DirectRad	 Kdown2d	   Kup2d	  Ksouth	   Kwest	  Knorth	   Keast	 Ldown2d	   Lup2d	  Lsouth	   Lwest	  Lnorth	   Least	    Tmrt	      I0	      CI	SH_Ground	SH_Walls	SVF_Ground	SVF_Roof	SVF_BdVeg	Emis_Sky	      Ta	      Tg	      Tw
2018	  1	   1	  0	  0.0417	 30.0225	-52.5721	   0.0000	    0.0000	   0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	308.6025	327.3267	316.8168	316.8168	316.8168	316.8168	  0.2784	 51.3144	  0.5152	   0.0000	  0.0000	    0.8400	  0.9403	   0.8400	  0.7607	  6.0458	  0.0000	  0.0000
2018	  1	   2	  0	  0.0833	 50.0304	-47.4441	   0.0000	    0.0000	   0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	308.5951	328.1289	317.5756	317.5756	317.5756	317.5756	  0.4326	 51.3151	  0.5152	   0.0000	  0.0000	    0.8400	  0.9403	   0.8400	  0.7606	  6.2167	  0.0000	  0.0000
2018	  1	   3	  0	  0.1250	 66.8117	-40.6551	   0.0000	    0.0000	   0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	310.3560	328.9907	318.4875	318.4875	318.4875	318.4875	  0.6390	 51.2880	  0.5152	   0.0000	  0.0000	    0.8400	  0.9403	   0.8400	  0.7620	  6.4000	  0.0000	  0.0000
2018	  1	   4	  0	  0.1667	 81.1923	-32.9952	   0.0000	    0.0000	   0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	311.5577	328.7359	318.3113	318.3113	318.3113	318.3113	  0.6179	 51.2705	  0.5152	   0.0000	  0.0000	    0.8400	  0.9403	   0.8400	  0.7630	  6.3458	  0.0000	  0.0000
2018	  1	   5	  0	  0.2083	 94.0973	-25.0357	   0.0000	    0.0000	   0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	312.7557	329.2852	318.8969	318.8969	318.8969	318.8969	  0.7511	 51.2532	  0.5152	   0.0000	  0.0000	    0.8400	  0.9403	   0.8400	  0.7640	  6.4625	  0.0000	  0.0000
2018	  1	   6	  0	  0.2500	106.2721	-17.1984	   0.0000	    0.0000	   0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	312.5154	328.6580	318.2890	318.2890	318.2890	318.2890	  0.6250	 51.2583	  0.5152	   0.0000	  0.0000	    0.8400	  0.9403	   0.8400	  0.7638	  6.3292	  0.0000	  0.0000
2018	  1	   7	  0	  0.2917	118.2606	 -9.8361	   0.0102	    0.0000	   0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	310.5230	326.3123	315.9539	315.9539	315.9539	315.9539	  0.1262	 51.2905	  0.5154	   0.0000	  0.0000	    0.8400	  0.9403	   0.8400	  0.7622	  5.8292	  0.0000	  0.0000
2018	  1	   8	  0	  0.3333	130.4611	 -2.7925	   0.8167	    0.2212	   0.1183	  0.1128	  0.0092	  0.0418	  0.0418	  0.0418	  0.0418	306.7491	323.4759	312.0805	311.9709	311.9709	312.0805	 -0.7053	 47.2665	  0.5672	   0.0000	  0.0006	    0.8400	  0.9403	   0.8400	  0.7593	  5.2208	  0.2247	  0.0000
2018	  1	   9	  0	  0.3750	143.1225	  2.5848	   6.2313	    1.3257	   6.1798	  5.8943	  0.4779	  2.1082	  2.1082	  2.1082	  2.1082	305.3608	319.7357	306.4230	305.1167	305.1167	306.4230	 -1.6309	 51.5124	  0.6751	   0.0000	  0.0572	    0.8400	  0.9403	   0.8400	  0.7581	  4.4125	  1.7936	  0.0000
2018	  1	  10	  0	  0.4167	156.3465	  6.4609	  16.2662	    0.7727	  16.1769	 15.4161	  1.2515	  5.5231	  5.4774	  5.4774	  5.4957	305.5106	317.2736	307.0416	305.7471	305.7471	307.0416	 -0.9703	126.3534	  0.5091	   0.0607	  0.1426	    0.8400	  0.9403	   0.8400	  0.7580	  3.7833	  1.5392	  0.0000
2018	  1	  11	  0	  0.4583	170.0520	  8.7391	  32.0131	    3.5607	  31.4567	 30.3614	  2.4350	 10.8434	 10.7009	 10.7009	 10.7136	306.5350	317.4304	307.1088	305.8126	305.8126	307.1088	 -0.0667	170.2307	  0.5218	   0.0234	  0.1789	    0.8400	  0.9403	   0.8400	  0.7588	  3.8708	  1.6607	  0.0000
2018	  1	  12	  0	  0.5000	183.9902	  9.1528	  59.6831	   17.3919	  56.9109	 56.7012	  4.4201	 20.4643	 19.3569	 19.3091	 19.3154	307.1829	319.6268	306.4135	306.0881	305.1099	305.4353	  1.3129	178.1395	  0.6633	   0.0647	  0.1816	    0.8400	  0.9403	   0.8400	  0.7594	  4.2625	  2.0043	  0.0000
2018	  1	  13	  0	  0.5417	197.8345	  7.6622	  32.1450	    5.2638	  31.4178	 30.4960	  2.4322	 10.8496	 10.7383	 10.6718	 10.6718	308.2918	320.2566	308.8559	308.8559	307.5497	307.5497	  0.3252	149.3985	  0.5677	   0.0536	  0.1622	    0.8400	  0.9403	   0.8400	  0.7602	  4.4000	  2.2583	  0.0000
2018	  1	  14	  0	  0.5833	211.2863	  4.4197	  14.1929	    2.4174	  14.0051	 13.4573	  1.0834	  4.7978	  4.7835	  4.7702	  4.7702	311.7046	320.8089	309.0864	309.0864	307.7762	307.7762	 -0.5710	 86.7823	  0.6037	   0.0112	  0.0977	    0.8400	  0.9403	   0.8400	  0.7628	  4.6167	  2.9490	  0.0000
2018	  1	  15	  0	  0.6250	224.1936	 -0.1374	   2.7698	    1.5244	   2.0877	  2.0107	  0.1615	  0.7130	  0.7130	  0.7130	  0.7130	315.3681	323.0305	309.8331	309.8331	309.1750	309.1750	 -0.9708	 37.3427	  0.6912	   0.0000	  0.0157	    0.8400	  0.9403	   0.8400	  0.7656	  5.1250	  2.5898	  0.0006
