Year	DOY	Hour	Min	 Dectime	 azimuth	altitude	GlobalRad	DiffuseRad	DirectRad	 Kdown2d	   Kup2d	  Ksouth	   Kwest	  Knorth	   Keast	 Ldown2d	   Lup2d	  Lsouth	   Lwest	  Lnorth	   Least	    Tmrt	      I0	      CI	SH_Ground	SH_Walls	SVF_Ground	SVF_Roof	SVF_BdVeg	Emis_Sky	      Ta	      Tg	      Tw
2018	  1	   1	  0	  0.0417	 30.0225	-52.5721	   0.0000	    0.0000	   0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	308.6025	320.0911	313.0527	313.0527	313.0527	313.0527	 -0.5332	 51.3144	  0.5152	   0.0000	  0.0000	    0.8400	  0.9403	   0.8400	  0.7607	  6.0458	  0.0000	  0.0000
2018	  1	   2	  0	  0.0833	 50.0304	-47.4441	   0.0000	    0.0000	   0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	308.5951	320.8755	313.8023	313.8023	313.8023	313.8023	 -0.3797	 51.3151	  0.5152	   0.0000	  0.0000	    0.8400	  0.9403	   0.8400	  0.7606	  6.2167	  0.0000	  0.0000
2018	  1	   3	  0	  0.1250	 66.8117	-40.6551	   0.0000	    0.0000	   0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	310.3560	321.7183	314.7043	314.7043	314.7043	314.7043	 -0.1735	 51.2880	  0.5152	   0.0000	  0.0000	    0.8400	  0.9403	   0.8400	  0.7620	  6.4000	  0.0000	  0.0000
2018	  1	   4	  0	  0.1667	 81.1923	-32.9952	   0.0000	    0.0000	   0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	311.5577	321.4691	314.5311	314.5311	314.5311	314.5311	 -0.1941	 51.2705	  0.5152	   0.0000	  0.0000	    0.8400	  0.9403	   0.8400	  0.7630	  6.3458	  0.0000	  0.0000
2018	  1	   5	  0	  0.2083	 94.0973	-25.0357	   0.0000	    0.0000	   0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	312.7557	322.0063	315.1103	315.1103	315.1103	315.1103	 -0.0612	 51.2532	  0.5152	   0.0000	  0.0000	    0.8400	  0.9403	   0.8400	  0.7640	  6.4625	  0.0000	  0.0000
2018	  1	   6	  0	  0.2500	106.2721	-17.1984	   0.0000	    0.0000	   0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	312.5154	321.3929	314.5097	314.5097	314.5097	314.5097	 -0.1869	 51.2583	  0.5152	   0.0000	  0.0000	    0.8400	  0.9403	   0.8400	  0.7638	  6.3292	  0.0000	  0.0000
2018	  1	   7	  0	  0.2917	118.2606	 -9.8361	   0.0102	    0.0000	   0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	310.5230	319.0991	312.2015	312.2015	312.2015	312.2015	 -0.6843	 51.2905	  0.5154	   0.0000	  0.0000	    0.8400	  0.9403	   0.8400	  0.7622	  5.8292	  0.0000	  0.0000
2018	  1	   8	  0	  0.3333	130.4611	 -2.7925	   0.8167	    0.2212	   0.1183	  0.1135	  0.0094	  0.0445	  0.0445	  0.0445	  0.0445	306.7491	316.3254	308.3607	308.2511	308.2511	308.3607	 -1.5157	 47.2665	  0.5672	   0.0000	  0.0006	    0.8400	  0.9403	   0.8400	  0.7593	  5.2208	  0.2247	  0.0000
2018	  1	   9	  0	  0.3750	143.1225	  2.5848	   6.2313	    1.3257	   6.1798	  5.9199	  0.4841	  2.2074	  2.2074	  2.2074	  2.2074	305.3608	312.6679	302.7462	301.4399	301.4399	302.7462	 -2.4262	 51.5124	  0.6751	   0.0000	  0.0572	    0.8400	  0.9403	   0.8400	  0.7581	  4.4125	  1.7936	  0.0000
2018	  1	  10	  0	  0.4167	156.3465	  6.4609	  16.2662	    0.7727	  16.1769	 15.4830	  1.2677	  5.7820	  5.7363	  5.7363	  5.7546	305.5106	310.2602	303.3931	302.0986	302.0986	303.3931	 -1.7308	126.3534	  0.5091	   0.0607	  0.1426	    0.8400	  0.9403	   0.8400	  0.7580	  3.7833	  1.5392	  0.0000
2018	  1	  11	  0	  0.4583	170.0520	  8.7391	  32.0131	    3.5607	  31.4567	 30.4922	  2.4666	 11.3505	 11.2080	 11.2080	 11.2207	306.5350	310.4135	303.4585	302.1623	302.1623	303.4585	 -0.7850	170.2307	  0.5218	   0.0234	  0.1789	    0.8400	  0.9403	   0.8400	  0.7588	  3.8708	  1.6607	  0.0000
2018	  1	  12	  0	  0.5000	183.9902	  9.1528	  59.6831	   17.3919	  56.9109	 56.9415	  4.4781	 21.3948	 20.2873	 20.2396	 20.2459	307.1829	312.5613	302.7379	302.4126	301.4344	301.7597	  0.6592	178.1395	  0.6633	   0.0647	  0.1816	    0.8400	  0.9403	   0.8400	  0.7594	  4.2625	  2.0043	  0.0000
2018	  1	  13	  0	  0.5417	197.8345	  7.6622	  32.1450	    5.2638	  31.4178	 30.6270	  2.4638	 11.3572	 11.2459	 11.1794	 11.1794	308.2918	313.1773	305.1731	305.1731	303.8669	303.8669	 -0.3969	149.3985	  0.5677	   0.0536	  0.1622	    0.8400	  0.9403	   0.8400	  0.7602	  4.4000	  2.2583	  0.0000
2018	  1	  14	  0	  0.5833	211.2863	  4.4197	  14.1929	    2.4174	  14.0051	 13.5155	  1.0974	  5.0232	  5.0089	  4.9955	  4.9955	311.7046	313.7173	305.3973	305.3973	304.0870	304.0870	 -1.3418	 86.7823	  0.6037	   0.0112	  0.0977	    0.8400	  0.9403	   0.8400	  0.7628	  4.6167	  2.9490	  0.0000
2018	  1	  15	  0	  0.6250	224.1936	 -0.1374	   2.7698	    1.5244	   2.0877	  2.0195	  0.1636	  0.7471	  0.7471	  0.7471	  0.7471	315.3681	315.8898	306.1184	306.1184	305.4604	305.4603	 -1.7780	 37.3427	  0.6912	   0.0000	  0.0157	    0.8400	  0.9403	   0.8400	  0.7656	  5.1250	  2.5898	  0.0006
2018	  1	  16	  0	  0.6667	236.5726	 -6.8182	   0.1985	    0.0000	   0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	316.4797	317.1396	310.5532	310.5532	310.5532	310.5532	 -0.9484	 51.2086	  0.5191	   0.0000	  0.0000	    0.8400	  0.9403	   0.8400	  0.7666	  5.4000	  0.0000	  0.0000
2018	  1	  17	  0	  0.7083	248.6166	-13.9419	   0.0031	    0.0000	   0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	314.6945	316.6466	310.0600	310.0600	310.0600	310.0600	 -1.0733	 51.2327	  0.5153	   0.0000	  0.0000	    0.8400	  0.9403	   0.8400	  0.7653	  5.2917	  0.0000	  0.0000
2018	  1	  18	  0	  0.7500	260.6613	-21.6109	   0.0000	    0.0000	   0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	314.2917	316.7224	310.1142	310.1142	310.1142	310.1142	 -1.0671	 51.2364	  0.5152	   0.0000	  0.0000	    0.8400	  0.9403	   0.8400	  0.7650	  5.3083	  0.0000	  0.0000
2018	  1	  19	  0	  0.7917	273.1801	-29.5589	   0.0000	    0.0000	   0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	313.9293	316.8930	310.2604	310.2604	310.2604	310.2604	 -1.0415	 51.2396	  0.5152	   0.0000	  0.0000	    0.8400	  0.9403	   0.8400	  0.7647	  5.3458	  0.0000	  0.0000
2018	  1	  20	  0	  0.8333	286.8295	-37.3998	   0.0000	    0.0000	   0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	312.1407	315.9460	309.2595	309.2595	309.2595	309.2595	 -1.2705	 51.2656	  0.5152	   0.0000	  0.0000	    0.8400	  0.9403	   0.8400	  0.7633	  5.1375	  0.0000	  0.0000
2018	  1	  21	  0	  0.8750	302.4685	-44.6378	   0.0000	    0.0000	   0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	  0.0000	312.0398	316.3058	309.6006	309.6006	309.6006	309.6006	 -1.2012	 51.2651	  0.5152	   0.0000	  0.0000	    0.8400	  0.9403	   0.8400	  0.7633	  5.2167	  0.0000	  0.0000
