 z  paib bScale paiv vScale 
  0 0.099 33.965 0.006 2.909
  1 0.099 33.965 0.006 3.556
  2 0.099 33.965 0.006 6.545
  3 0.099 33.965 0.006 6.545
  4 0.099 33.965 0.005 9.739
  5 0.099 33.965 0.002 30.000
  6 0.099 33.965 0.001 0.000
  7 0.099 33.965 0.000 0.000
  8 0.099 33.965 0.000 0.000
  9 0.099 33.965 0.000 0.000
 10 0.057 33.476 0.000 0.000
 11 0.057 33.476 0.000 0.000
 12 0.057 33.476 0.000 0.000
 13 0.057 33.476 0.000 0.000
 14 0.057 33.476 0.000 0.000
 15 0.057 33.476 0.000 0.000
 16 0.026 31.900 0.000 0.000
 17 0.026 31.900 0.000 0.000
 18 0.026 31.900 0.000 0.000
 19 0.026 31.900 0.000 0.000
