Wd Paved Buildings EvergreenTrees DecidiousTrees Grass Baresoil Water
  0 0.862 0.107 0.000 0.031 0.000 0.000 0.000
  5 0.882 0.108 0.000 0.010 0.000 0.000 0.000
 10 0.864 0.111 0.000 0.025 0.000 0.000 0.000
 15 0.891 0.109 0.000 0.000 0.000 0.000 0.000
 20 0.889 0.111 0.000 0.000 0.000 0.000 0.000
 25 0.893 0.107 0.000 0.000 0.000 0.000 0.000
 30 0.894 0.106 0.000 0.000 0.000 0.000 0.000
 35 0.874 0.126 0.000 0.000 0.000 0.000 0.000
 40 0.886 0.114 0.000 0.000 0.000 0.000 0.000
 45 0.869 0.105 0.000 0.025 0.000 0.000 0.000
 50 0.901 0.099 0.000 0.000 0.000 0.000 0.000
 55 0.866 0.117 0.000 0.016 0.000 0.000 0.000
 60 0.849 0.151 0.000 0.000 0.000 0.000 0.000
 65 0.817 0.183 0.000 0.000 0.000 0.000 0.000
 70 0.814 0.186 0.000 0.000 0.000 0.000 0.000
 75 0.816 0.184 0.000 0.000 0.000 0.000 0.000
 80 0.820 0.180 0.000 0.000 0.000 0.000 0.000
 85 0.818 0.182 0.000 0.000 0.000 0.000 0.000
 90 0.818 0.182 0.000 0.000 0.000 0.000 0.000
 95 0.858 0.142 0.000 0.000 0.000 0.000 0.000
100 0.906 0.094 0.000 0.000 0.000 0.000 0.000
105 0.904 0.096 0.000 0.000 0.000 0.000 0.000
110 0.881 0.097 0.000 0.022 0.000 0.000 0.000
115 0.903 0.097 0.000 0.000 0.000 0.000 0.000
120 0.904 0.096 0.000 0.000 0.000 0.000 0.000
125 0.941 0.059 0.000 0.000 0.000 0.000 0.000
130 0.957 0.026 0.000 0.016 0.000 0.000 0.000
135 0.956 0.044 0.000 0.000 0.000 0.000 0.000
140 0.898 0.102 0.000 0.000 0.000 0.000 0.000
145 0.895 0.105 0.000 0.000 0.000 0.000 0.000
150 0.894 0.106 0.000 0.000 0.000 0.000 0.000
155 0.884 0.107 0.000 0.009 0.000 0.000 0.000
160 0.860 0.111 0.000 0.029 0.000 0.000 0.000
165 0.861 0.109 0.000 0.030 0.000 0.000 0.000
170 0.869 0.111 0.000 0.020 0.000 0.000 0.000
175 0.877 0.108 0.000 0.015 0.000 0.000 0.000
180 0.862 0.107 0.000 0.031 0.000 0.000 0.000
185 0.882 0.108 0.000 0.010 0.000 0.000 0.000
190 0.864 0.111 0.000 0.025 0.000 0.000 0.000
195 0.891 0.109 0.000 0.000 0.000 0.000 0.000
200 0.889 0.111 0.000 0.000 0.000 0.000 0.000
205 0.888 0.112 0.000 0.000 0.000 0.000 0.000
210 0.894 0.106 0.000 0.000 0.000 0.000 0.000
215 0.887 0.113 0.000 0.000 0.000 0.000 0.000
220 0.898 0.102 0.000 0.000 0.000 0.000 0.000
225 0.869 0.105 0.000 0.025 0.000 0.000 0.000
230 0.901 0.099 0.000 0.000 0.000 0.000 0.000
235 0.860 0.124 0.000 0.016 0.000 0.000 0.000
240 0.838 0.162 0.000 0.000 0.000 0.000 0.000
245 0.817 0.183 0.000 0.000 0.000 0.000 0.000
250 0.814 0.186 0.000 0.000 0.000 0.000 0.000
255 0.816 0.184 0.000 0.000 0.000 0.000 0.000
260 0.820 0.180 0.000 0.000 0.000 0.000 0.000
265 0.818 0.182 0.000 0.000 0.000 0.000 0.000
270 0.818 0.182 0.000 0.000 0.000 0.000 0.000
275 0.858 0.142 0.000 0.000 0.000 0.000 0.000
280 0.906 0.094 0.000 0.000 0.000 0.000 0.000
285 0.904 0.096 0.000 0.000 0.000 0.000 0.000
290 0.881 0.097 0.000 0.022 0.000 0.000 0.000
295 0.903 0.097 0.000 0.000 0.000 0.000 0.000
300 0.907 0.093 0.000 0.000 0.000 0.000 0.000
305 0.941 0.055 0.000 0.003 0.000 0.000 0.000
310 0.957 0.026 0.000 0.016 0.000 0.000 0.000
315 0.956 0.044 0.000 0.000 0.000 0.000 0.000
320 0.906 0.094 0.000 0.000 0.000 0.000 0.000
325 0.895 0.105 0.000 0.000 0.000 0.000 0.000
330 0.894 0.106 0.000 0.000 0.000 0.000 0.000
335 0.865 0.112 0.000 0.023 0.000 0.000 0.000
340 0.860 0.111 0.000 0.029 0.000 0.000 0.000
345 0.861 0.109 0.000 0.030 0.000 0.000 0.000
350 0.869 0.111 0.000 0.020 0.000 0.000 0.000
355 0.877 0.108 0.000 0.015 0.000 0.000 0.000
